source,target,mode,line_id,year
32243,32245,0,3770,1981.0
32245,32243,0,3770,1992.0
32245,32246,0,3770,1992.0
32246,32245,0,3770,1996.0
32246,32247,0,3770,1996.0
32247,32246,0,3770,1996.0
32247,32248,0,3770,1996.0
32248,32247,0,3770,1996.0
32248,32249,0,3770,1996.0
32249,32248,0,3770,1997.0
32249,32259,0,3770,1997.0
32259,32249,0,3770,1997.0
32259,32260,0,3770,1997.0
32260,32259,0,3770,1997.0
32260,32261,0,3770,1997.0
32261,32260,0,3770,1997.0
32261,32262,0,3770,1997.0
32262,32261,0,3770,1997.0
32262,32263,0,3770,1997.0
32263,32262,0,3770,2000.0
32263,32264,0,3770,2000.0
32264,32263,0,3770,1997.0
32264,32265,0,3770,1997.0
32265,32264,0,3770,2005.0
32265,32266,0,3770,2005.0
32266,32265,0,3770,1997.0
32266,32267,0,3770,1997.0
32267,32266,0,3770,2005.0
32267,32268,0,3770,2005.0
32268,32267,0,3770,2005.0
32268,32269,0,3770,2005.0
32269,32268,0,3770,2005.0
32269,32270,0,3770,2005.0
32270,32269,0,3770,1989.0
32270,32271,0,3770,1989.0
32271,32270,0,3770,1989.0
32271,32277,0,3770,1989.0
32277,32271,0,3770,1989.0
32277,32278,0,3770,1989.0
32278,32277,0,3770,1995.0
32278,32281,0,3770,1995.0
32281,32278,0,3770,1995.0
32281,32282,0,3770,1995.0
32282,32281,0,3770,1995.0
32282,32288,0,3770,1995.0
32288,32282,0,3770,1990.0
32288,32289,0,3770,1990.0
32289,32288,0,3770,1990.0
32289,32290,0,3770,1990.0
32290,32289,0,3770,1990.0
32290,32291,0,3770,1990.0
32291,32290,0,3770,1990.0
32236,32237,0,3771,1981.0
32237,32236,0,3771,1981.0
32237,32238,0,3771,1981.0
32238,32237,0,3771,1981.0
32238,32240,0,3771,1981.0
32240,32238,0,3771,1981.0
32240,32242,0,3771,1981.0
32242,32240,0,3771,1991.0
32242,32243,0,3771,1991.0
32243,32242,0,3771,1981.0
32243,32244,0,3771,1981.0
32244,32243,0,3771,2018.0
32244,32270,0,3771,2018.0
32270,32244,0,3771,1989.0
32270,32271,0,3771,1989.0
32271,32270,0,3771,1989.0
32271,32272,0,3771,1989.0
32272,32271,0,3771,1989.0
32272,32273,0,3771,1989.0
32273,32272,0,3771,1989.0
32273,32274,0,3771,1989.0
32274,32273,0,3771,1989.0
32274,32275,0,3771,1989.0
32275,32274,0,3771,1989.0
32275,32276,0,3771,1989.0
32276,32275,0,3771,1989.0
32276,32277,0,3771,1989.0
32277,32276,0,3771,1989.0
32277,32278,0,3771,1989.0
32278,32277,0,3771,1995.0
32278,32279,0,3771,1995.0
32279,32278,0,3771,1986.0
32279,32280,0,3771,1986.0
32280,32279,0,3771,1986.0
32280,32281,0,3771,1986.0
32281,32280,0,3771,1995.0
32281,32282,0,3771,1995.0
32282,32281,0,3771,1995.0
32282,32285,0,3771,1995.0
32285,32282,0,3771,1986.0
32285,32286,0,3771,1986.0
32286,32285,0,3771,1986.0
32286,32288,0,3771,1986.0
32288,32286,0,3771,1990.0
32288,32289,0,3771,1990.0
32289,32288,0,3771,1990.0
32289,32290,0,3771,1990.0
32290,32289,0,3771,1990.0
32290,32291,0,3771,1990.0
32291,32290,0,3771,1990.0
32223,32224,0,3772,1981.0
32224,32223,0,3772,1981.0
32224,32225,0,3772,1981.0
32225,32224,0,3772,1981.0
32225,32226,0,3772,1981.0
32226,32225,0,3772,1981.0
32226,32228,0,3772,1981.0
32228,32226,0,3772,1981.0
32228,32229,0,3772,1981.0
32229,32228,0,3772,1986.0
32229,32230,0,3772,1986.0
32230,32229,0,3772,1981.0
32230,32231,0,3772,1981.0
32231,32230,0,3772,1981.0
32231,32232,0,3772,1981.0
32232,32231,0,3772,1981.0
32232,32233,0,3772,1981.0
32233,32232,0,3772,1981.0
32233,32234,0,3772,1981.0
32234,32233,0,3772,1981.0
32234,32235,0,3772,1981.0
32235,32234,0,3772,1981.0
32235,32236,0,3772,1981.0
32236,32235,0,3772,1981.0
32236,32237,0,3772,1981.0
32237,32236,0,3772,1981.0
32237,32238,0,3772,1981.0
32238,32237,0,3772,1981.0
32238,32239,0,3772,1981.0
32239,32238,0,3772,1981.0
32239,32240,0,3772,1981.0
32240,32239,0,3772,1981.0
