source,target,mode,line_id,year
2000,2002,2,200,
2002,2000,0,200,
2002,2004,0,200,
2004,2002,0,200,
4987,4988,0,453,2028.0
4988,4987,0,453,2028.0
4988,4990,0,453,2028.0
4990,4988,0,453,2028.0
4990,4993,0,453,2028.0
4993,4990,0,453,2028.0
4993,4994,0,453,2028.0
4994,4993,0,453,2028.0
4994,4995,0,453,2028.0
4995,4994,0,453,2028.0
4995,4996,0,453,2028.0
4996,4995,0,453,2028.0
4996,4997,0,453,2028.0
4997,4996,0,453,2028.0
4997,4998,0,453,2028.0
4998,4997,0,453,2028.0
4998,22468,0,453,2028.0
22468,4998,0,453,2028.0
7883,7884,0,633,2028.0
7884,7883,0,633,2028.0
7884,7885,0,633,2028.0
7885,7884,0,633,2028.0
7885,7886,0,633,2028.0
7886,7885,0,633,2028.0
7886,7887,0,633,2028.0
7887,7886,0,633,2028.0
7887,39252,0,633,2028.0
39252,7887,0,633,2028.0
22495,22496,0,1107,
22496,22495,0,1107,
39253,39256,0,1109,2032.0
39256,39253,0,1109,2033.0
13833,13834,0,1279,2009.0
13834,13833,0,1279,2009.0
13834,13835,0,1279,2009.0
13835,13834,0,1279,2009.0
13835,15475,0,1279,2009.0
15475,13835,0,1279,2006.0
15475,15476,0,1279,2006.0
15476,15475,0,1279,2006.0
15476,15477,0,1279,2006.0
15477,15476,0,1279,2008.0
15477,15478,0,1279,2008.0
15478,15477,0,1279,2009.0
15478,15479,0,1279,2009.0
15479,15478,0,1279,2013.0
15479,15480,0,1279,2013.0
15480,15479,0,1279,2008.0
15480,15481,0,1279,2008.0
15481,15480,0,1279,2013.0
15481,15482,0,1279,2013.0
15482,15481,0,1279,2008.0
15482,15483,0,1279,2008.0
15483,15482,0,1279,2008.0
15483,15484,0,1279,2008.0
15484,15483,0,1279,2008.0
15484,15485,0,1279,2008.0
15485,15484,0,1279,2008.0
15485,15486,0,1279,2008.0
15486,15485,0,1279,2008.0
15486,15487,0,1279,2008.0
