source,target,mode,line_id,year
19163,19164,0,2166,1974.0
19164,19163,0,2166,1974.0
19164,19165,0,2166,1974.0
19165,19164,0,2166,1974.0
19165,19166,0,2166,1974.0
19166,19165,0,2166,1974.0
19166,19167,0,2166,1974.0
19167,19166,0,2166,1974.0
19167,19168,0,2166,1974.0
19168,19167,0,2166,1974.0
19168,19169,0,2166,1974.0
19169,19168,0,2166,1974.0
19169,19170,0,2166,1974.0
19170,19169,0,2166,1974.0
19170,19171,0,2166,1974.0
19171,19170,0,2166,1974.0
19171,19398,0,2166,1974.0
19398,19171,0,2166,1993.0
19398,19399,0,2166,1993.0
19399,19398,0,2166,1993.0
19399,19400,0,2166,1993.0
19400,19399,0,2166,1993.0
19400,19402,0,2166,1993.0
19402,19400,0,2166,1992.0
19402,19404,0,2166,1992.0
19404,19402,0,2166,1988.0
19404,19405,0,2166,1988.0
19405,19404,0,2166,1988.0
19405,19406,0,2166,1988.0
19406,19405,0,2166,1988.0
19406,19407,0,2166,1988.0
19407,19406,0,2166,1988.0
19407,19408,0,2166,1988.0
19408,19407,0,2166,1988.0
19408,19409,0,2166,1988.0
19409,19408,0,2166,1992.0
19409,19412,0,2166,1992.0
19412,19409,0,2166,1988.0
19412,19656,0,2166,1988.0
19656,19412,0,2166,1980.0
19656,19657,0,2166,1980.0
19657,19656,0,2166,1974.0
19657,19658,0,2166,1974.0
19658,19657,0,2166,1996.0
19658,19659,0,2166,1996.0
19659,19658,0,2166,1980.0
19659,19660,0,2166,1980.0
19660,19659,0,2166,1985.0
19660,19661,0,2166,1985.0
19661,19660,0,2166,1974.0
19661,19662,0,2166,1974.0
19662,19661,0,2166,2013.0
19662,19663,0,2166,2013.0
19663,19662,0,2166,1974.0
19663,19664,0,2166,1974.0
19664,19663,0,2166,1974.0
19664,19665,0,2166,1974.0
19665,19664,0,2166,1974.0
19665,19666,0,2166,1974.0
19666,19665,0,2166,1974.0
19666,19667,0,2166,1974.0
19667,19666,0,2166,1997.0
19667,19668,0,2166,1997.0
19668,19667,0,2166,1974.0
19668,19669,0,2166,1974.0
19669,19668,0,2166,1984.0
19669,19670,0,2166,1984.0
19670,19669,0,2166,1974.0
19670,19684,0,2166,1974.0
19684,19670,0,2166,1995.0
19684,19685,0,2166,1995.0
19685,19684,0,2166,1974.0
19685,19686,0,2166,1974.0
19686,19685,0,2166,1974.0
19686,19687,0,2166,1974.0
19687,19686,0,2166,1988.0
19687,19688,0,2166,1988.0
19688,19687,0,2166,1974.0
19688,19689,0,2166,1974.0
19689,19688,0,2166,1997.0
19689,19690,0,2166,1997.0
19690,19689,0,2166,1974.0
19690,19691,0,2166,1974.0
19691,19690,0,2166,1987.0
19691,19692,0,2166,1987.0
19692,19691,0,2166,1974.0
19692,19693,0,2166,1974.0
19693,19692,0,2166,1996.0
19693,19713,0,2166,1996.0
19713,19693,0,2166,1974.0
19713,19714,0,2166,1974.0
19714,19713,0,2166,1984.0
19714,19715,0,2166,1984.0
19715,19714,0,2166,1974.0
19715,19716,0,2166,1974.0
19716,19715,0,2166,1994.0
19716,19717,0,2166,1994.0
19717,19716,0,2166,1974.0
19717,19718,0,2166,1974.0
19718,19717,0,2166,2001.0
19718,19719,0,2166,2001.0
19719,19718,0,2166,1974.0
19719,19720,0,2166,1974.0
19720,19719,0,2166,1994.0
19720,19721,0,2166,1994.0
19721,19720,0,2166,1974.0
19721,19722,0,2166,1974.0
19722,19721,0,2166,1974.0
19722,19723,0,2166,1974.0
19723,19722,0,2166,1974.0
19723,19724,0,2166,1974.0
19724,19723,0,2166,2005.0
19724,19726,0,2166,2005.0
19726,19724,0,2166,1998.0
19726,19727,0,2166,1998.0
19727,19726,0,2166,1974.0
19727,19729,0,2166,1974.0
19729,19727,0,2166,1982.0
19729,19730,0,2166,1982.0
19730,19729,0,2166,1974.0
19730,19731,0,2166,1974.0
19731,19730,0,2166,1974.0
19731,19732,0,2166,1974.0
19732,19731,0,2166,1974.0
19732,19734,0,2166,1974.0
19734,19732,0,2166,1974.0
19734,19735,0,2166,1974.0
19735,19734,0,2166,2010.0
19735,19736,0,2166,2010.0
19736,19735,0,2166,1974.0
19736,19737,0,2166,1974.0
19737,19736,0,2166,2004.0
19737,19738,0,2166,2004.0
19738,19737,0,2166,1979.0
19738,19739,0,2166,1979.0
19739,19738,0,2166,1984.0
19739,19740,0,2166,1984.0
19740,19739,0,2166,1994.0
19740,19741,0,2166,1994.0
19741,19740,0,2166,1974.0
19741,19742,0,2166,1974.0
19742,19741,0,2166,1974.0
19742,19743,0,2166,1974.0
19743,19742,0,2166,1979.0
19743,19744,0,2166,1979.0
19744,19743,0,2166,1979.0
19744,19745,0,2166,1979.0
19745,19744,0,2166,1980.0
19745,19746,0,2166,1980.0
19746,19745,0,2166,1986.0
19746,19747,0,2166,1986.0
19747,19746,0,2166,1979.0
19747,19748,0,2166,1979.0
19748,19747,0,2166,1980.0
19748,19749,0,2166,1980.0
19749,19748,0,2166,1979.0
19749,19750,0,2166,1979.0
19750,19749,0,2166,1979.0
19750,19751,0,2166,1979.0
19751,19750,0,2166,1985.0
19751,19752,0,2166,1985.0
19752,19751,0,2166,1985.0
19752,19753,0,2166,1985.0
19753,19752,0,2166,1985.0
19753,19754,0,2166,1985.0
19754,19753,0,2166,1986.0
19754,19755,0,2166,1986.0
19755,19754,0,2166,1986.0
19755,19756,0,2166,1986.0
19756,19755,0,2166,1986.0
19756,19757,0,2166,1986.0
19757,19756,0,2166,1988.0
19757,19758,0,2166,1988.0
19758,19757,0,2166,1986.0
19758,19759,0,2166,1986.0
19759,19758,0,2166,1986.0
19759,19760,0,2166,1986.0
19760,19759,0,2166,1986.0
19760,19761,0,2166,1986.0
19761,19760,0,2166,1987.0
19761,19762,0,2166,1987.0
19762,19761,0,2166,2006.0
19762,19763,0,2166,2006.0
19763,19762,0,2166,2005.0
19763,19764,0,2166,2005.0
19764,19763,0,2166,2003.0
19764,19765,0,2166,2003.0
19765,19764,0,2166,2003.0
19765,19766,0,2166,2003.0
19766,19765,0,2166,2005.0
19766,19767,0,2166,2005.0
19767,19766,0,2166,2005.0
19767,19768,0,2166,2005.0
19768,19767,0,2166,2005.0
19768,19769,0,2166,2005.0
19769,19768,0,2166,2006.0
19769,19770,0,2166,2006.0
19770,19769,0,2166,2005.0
19770,19771,0,2166,2005.0
19771,19770,0,2166,2005.0
19771,19772,0,2166,2005.0
19772,19771,0,2166,2006.0
19772,19773,0,2166,2006.0
19773,19772,0,2166,2005.0
19773,19774,0,2166,2005.0
19774,19773,0,2166,2005.0
19774,19775,0,2166,2005.0
19775,19774,0,2166,2005.0
