source,target,mode,line_id,year
32452,32453,0,3794,1998.0
32453,32452,0,3794,1998.0
32453,32454,0,3794,1998.0
32454,32453,0,3794,1998.0
32454,32455,0,3794,1998.0
32455,32454,0,3794,1998.0
32455,32456,0,3794,1998.0
32456,32455,0,3794,1998.0
32456,32457,0,3794,1998.0
32457,32456,0,3794,1999.0
32457,32458,0,3794,1999.0
32458,32457,0,3794,2000.0
32458,32459,0,3794,2000.0
32459,32458,0,3794,2009.0
32459,32460,0,3794,2009.0
32460,32459,0,3794,2009.0
32460,32461,0,3794,2009.0
32461,32460,0,3794,2009.0
32461,32462,0,3794,2009.0
32462,32461,0,3794,2009.0
32462,32463,0,3794,2009.0
32463,32462,0,3794,2009.0
32463,32464,0,3794,2009.0
32464,32463,0,3794,2009.0
32464,32465,0,3794,2009.0
32465,32464,0,3794,2015.0
32465,32466,0,3794,2015.0
32466,32465,0,3794,2015.0
32466,32467,0,3794,2015.0
32467,32466,0,3794,2015.0
32448,32449,0,3795,2015.0
32449,32448,0,3795,2015.0
32449,32450,0,3795,2015.0
32450,32449,0,3795,2015.0
32450,32451,0,3795,2015.0
32451,32450,0,3795,2015.0
32451,32452,0,3795,2015.0
32452,32451,0,3795,1998.0
32452,32453,0,3795,1998.0
32453,32452,0,3795,1998.0
32453,32454,0,3795,1998.0
32454,32453,0,3795,1998.0
32454,32455,0,3795,1998.0
32455,32454,0,3795,1998.0
32455,32456,0,3795,1998.0
32456,32455,0,3795,1998.0
32456,32457,0,3795,1998.0
32457,32456,0,3795,1999.0
32457,32458,0,3795,1999.0
32458,32457,0,3795,2000.0
32458,32459,0,3795,2000.0
32459,32458,0,3795,2009.0
32459,32460,0,3795,2009.0
32460,32459,0,3795,2009.0
32460,32461,0,3795,2009.0
32461,32460,0,3795,2009.0
32461,32462,0,3795,2009.0
32462,32461,0,3795,2009.0
32462,32463,0,3795,2009.0
32463,32462,0,3795,2009.0
32463,32464,0,3795,2009.0
32464,32463,0,3795,2009.0
32464,32468,0,3795,2009.0
32468,32464,0,3795,2003.0
32468,32469,0,3795,2003.0
32469,32468,0,3795,2012.0
32469,32470,0,3795,2012.0
32470,32469,0,3795,2012.0
32470,32471,0,3795,2012.0
32471,32470,0,3795,2012.0
32471,32472,0,3795,2012.0
32472,32471,0,3795,2012.0
32472,32473,0,3795,2012.0
32473,32472,0,3795,2012.0
32473,32474,0,3795,2012.0
32474,32473,0,3795,2012.0
32474,32475,0,3795,2012.0
32475,32474,0,3795,2012.0
32475,32476,0,3795,2012.0
32476,32475,0,3795,2012.0
32476,32477,0,3795,2012.0
32477,32476,0,3795,2012.0
32477,32478,0,3795,2012.0
32478,32477,0,3795,2012.0
32478,32479,0,3795,2012.0
32479,32478,0,3795,2012.0
32479,32480,0,3795,2012.0
32480,32479,0,3795,2016.0
32480,32481,0,3795,2016.0
32481,32480,0,3795,2012.0
32481,32482,0,3795,2012.0
32482,32481,0,3795,2012.0
32477,32483,0,3796,2012.0
32483,32477,0,3796,2020.0
32483,32484,0,3796,2020.0
32484,32483,0,3796,2020.0
32484,32485,0,3796,2020.0
32485,32484,0,3796,2020.0
32485,32486,0,3796,2020.0
32486,32485,0,3796,2020.0
32486,32487,0,3796,2020.0
32487,32486,0,3796,2020.0
32487,32488,0,3796,2020.0
32488,32487,0,3796,2020.0
32488,32489,0,3796,2020.0
32489,32488,0,3796,2020.0
32489,32490,0,3796,2020.0
32490,32489,0,3796,2021.0
32490,32491,0,3796,2021.0
32491,32490,0,3796,2021.0
32491,32492,0,3796,2021.0
32492,32491,0,3796,2021.0
32492,32493,0,3796,2021.0
32493,32492,0,3796,2021.0
32448,32449,0,3797,2015.0
32449,32448,0,3797,2015.0
32449,32450,0,3797,2015.0
32450,32449,0,3797,2015.0
32450,32451,0,3797,2015.0
32451,32450,0,3797,2015.0
32451,32452,0,3797,2015.0
32452,32451,0,3797,1998.0
32452,32453,0,3797,1998.0
32453,32452,0,3797,1998.0
32453,32454,0,3797,1998.0
32454,32453,0,3797,1998.0
32454,32455,0,3797,1998.0
32455,32454,0,3797,1998.0
32455,32456,0,3797,1998.0
32456,32455,0,3797,1998.0
32456,32457,0,3797,1998.0
32457,32456,0,3797,1999.0
32457,32458,0,3797,1999.0
32458,32457,0,3797,2000.0
32458,32459,0,3797,2000.0
32459,32458,0,3797,2009.0
32459,32460,0,3797,2009.0
32460,32459,0,3797,2009.0
32460,32461,0,3797,2009.0
32461,32460,0,3797,2009.0
32461,32462,0,3797,2009.0
32462,32461,0,3797,2009.0
32462,32463,0,3797,2009.0
32463,32462,0,3797,2009.0
32463,32464,0,3797,2009.0
32464,32463,0,3797,2009.0
32464,32468,0,3797,2009.0
32468,32464,0,3797,2003.0
32468,32481,0,3797,2003.0
32481,32468,0,3797,2012.0
32481,32482,0,3797,2012.0
32482,32481,0,3797,2012.0
