source,target,mode,line_id,year
991,992,0,145,1950.0
992,991,0,145,1951.0
992,11422,0,145,1951.0
11422,992,0,145,0.0
11422,11424,0,145,0.0
11424,11422,0,145,0.0
11424,11425,0,145,0.0
11425,11424,0,145,0.0
11425,11426,0,145,0.0
11426,11425,0,145,0.0
11426,12721,0,145,0.0
12721,11426,0,145,0.0
12721,16744,0,145,0.0
16744,12721,0,145,1957.0
16744,16745,0,145,1957.0
16745,16744,0,145,1957.0
16745,16746,0,145,1957.0
16746,16745,0,145,1952.0
16746,16747,0,145,1952.0
16747,16746,0,145,1952.0
16747,16756,0,145,1952.0
16756,16747,0,145,1952.0
16756,16757,0,145,1952.0
16757,16756,0,145,1952.0
16757,16758,0,145,1952.0
16758,16757,0,145,1956.0
991,11422,0,219,1950.0
11422,991,0,219,0.0
11422,11424,0,219,0.0
11424,11422,0,219,0.0
11424,15443,0,219,0.0
15443,11424,0,219,0.0
15443,15444,0,219,0.0
15444,15443,0,219,0.0
15444,15448,0,219,0.0
15448,15444,0,219,0.0
15448,15449,0,219,0.0
15449,15448,0,219,0.0
15449,15450,0,219,0.0
15450,15449,0,219,0.0
15450,15451,0,219,0.0
15451,15450,0,219,0.0
11422,11423,0,220,0.0
11423,11422,0,220,1977.0
991,11422,0,1089,1950.0
11422,991,0,1089,0.0
11422,11424,0,1089,0.0
11424,11422,0,1089,0.0
11424,15444,0,1089,0.0
15444,11424,0,1089,0.0
15444,15445,0,1089,0.0
15445,15444,0,1089,1967.0
15445,15446,0,1089,1967.0
15446,15445,0,1089,0.0
15446,15447,0,1089,0.0
15447,15446,0,1089,0.0
991,11422,0,1090,1950.0
11422,991,0,1090,0.0
11422,11424,0,1090,0.0
11424,11422,0,1090,0.0
11424,11425,0,1090,0.0
11425,11424,0,1090,0.0
11425,11426,0,1090,0.0
11426,11425,0,1090,0.0
11426,12721,0,1090,0.0
12721,11426,0,1090,0.0
12721,12722,0,1090,0.0
12722,12721,0,1090,0.0
12722,12723,0,1090,0.0
12723,12722,0,1090,0.0
12723,12724,0,1090,0.0
12724,12723,0,1090,0.0
12724,12725,0,1090,0.0
12725,12724,0,1090,0.0
12725,16744,0,1090,0.0
16744,12725,0,1090,1957.0
16744,16745,0,1090,1957.0
16745,16744,0,1090,1957.0
16745,16746,0,1090,1957.0
16746,16745,0,1090,1952.0
16746,16747,0,1090,1952.0
16747,16746,0,1090,1952.0
991,11422,0,1091,1950.0
11422,991,0,1091,0.0
11422,11424,0,1091,0.0
11424,11422,0,1091,0.0
11424,11425,0,1091,0.0
11425,11424,0,1091,0.0
11425,11426,0,1091,0.0
11426,11425,0,1091,0.0
11426,12721,0,1091,0.0
12721,11426,0,1091,0.0
12721,12722,0,1091,0.0
12722,12721,0,1091,0.0
12722,16744,0,1091,0.0
16744,12722,0,1091,1957.0
16744,16745,0,1091,1957.0
16745,16744,0,1091,1957.0
16745,16746,0,1091,1957.0
16746,16745,0,1091,1952.0
16746,16747,0,1091,1952.0
16747,16746,0,1091,1952.0
11422,11423,0,1092,0.0
11423,11422,0,1092,1977.0
16559,16560,0,1636,0.0
16560,16559,0,1636,0.0
16560,16561,0,1636,0.0
16561,16560,0,1636,0.0
