source,target,mode,line_id,year
36044,36046,0,4517,2021.0
36046,36044,0,4517,2021.0
36046,36047,0,4517,2021.0
36047,36046,0,4517,2021.0
36047,36048,0,4517,2021.0
36048,36047,0,4517,2021.0
36048,36050,0,4517,2021.0
36050,36048,0,4517,2021.0
36050,36051,0,4517,2021.0
36051,36050,0,4517,2021.0
36051,36052,0,4517,2021.0
36052,36051,0,4517,2021.0
36052,36053,0,4517,2021.0
36053,36052,0,4517,2021.0
36053,36054,0,4517,2021.0
36054,36053,0,4517,2021.0
36054,36055,0,4517,2021.0
36055,36054,0,4517,2021.0
36055,36056,0,4517,2021.0
36056,36055,0,4517,2021.0
36056,36057,0,4517,2021.0
36057,36056,0,4517,2021.0
36057,36058,0,4517,2021.0
36058,36057,0,4517,2021.0
36058,36059,0,4517,2021.0
36059,36058,0,4517,2021.0
36059,36060,0,4517,2021.0
36060,36059,0,4517,2021.0
36060,36061,0,4517,2021.0
36061,36060,0,4517,2021.0
36061,36062,0,4517,2021.0
36062,36061,0,4517,2021.0
36062,36063,0,4517,2021.0
36063,36062,0,4517,2021.0
