source,target,mode,line_id,year
18837,18838,0,2128,2010.0
18838,18837,0,2128,2002.0
18838,18839,0,2128,2002.0
18839,18838,0,2128,2002.0
18839,18840,0,2128,2002.0
18840,18839,0,2128,2002.0
18840,18841,0,2128,2002.0
18841,18840,0,2128,2002.0
18841,18842,0,2128,2002.0
18842,18841,0,2128,2002.0
18842,18843,0,2128,2002.0
18843,18842,0,2128,2002.0
18843,18844,0,2128,2002.0
18844,18843,0,2128,2002.0
18844,18845,0,2128,2002.0
18845,18844,0,2128,2002.0
18845,18846,0,2128,2002.0
18846,18845,0,2128,2002.0
18846,18847,0,2128,2002.0
18847,18846,0,2128,2002.0
