source,target,mode,line_id,year
20890,20891,0,2299,0.0
20891,20890,0,2299,0.0
20891,20892,0,2299,0.0
20892,20891,0,2299,0.0
20892,20893,0,2299,0.0
20893,20892,0,2299,0.0
20893,20894,0,2299,0.0
20894,20893,0,2299,0.0
20894,20895,0,2299,0.0
20895,20894,0,2299,0.0
20895,20896,0,2299,0.0
20896,20895,0,2299,0.0
20896,20897,0,2299,0.0
20897,20896,0,2299,0.0
20897,33536,0,2299,0.0
33536,20897,0,2299,0.0
33536,33537,0,2299,0.0
33537,33536,0,2299,0.0
20909,20910,0,2300,0.0
20910,20909,0,2300,0.0
20910,20911,0,2300,0.0
20911,20910,0,2300,0.0
20911,20912,0,2300,0.0
20912,20911,0,2300,0.0
20912,20913,0,2300,0.0
20913,20912,0,2300,0.0
20913,20914,0,2300,0.0
20914,20913,0,2300,0.0
20914,20915,0,2300,0.0
20915,20914,0,2300,0.0
20915,20916,0,2300,0.0
20916,20915,0,2300,0.0
20916,20917,0,2300,0.0
20917,20916,0,2300,0.0
20917,20918,0,2300,0.0
20918,20917,0,2300,0.0
20918,20919,0,2300,0.0
20919,20918,0,2300,0.0
20919,20920,0,2300,0.0
20920,20919,0,2300,0.0
20920,20921,0,2300,0.0
20921,20920,0,2300,0.0
20921,20922,0,2300,0.0
20922,20921,0,2300,0.0
20922,20923,0,2300,0.0
20923,20922,0,2300,0.0
20923,20924,0,2300,0.0
20924,20923,0,2300,0.0
20924,20925,0,2300,0.0
20925,20924,0,2300,0.0
20925,20926,0,2300,0.0
20926,20925,0,2300,0.0
20927,20928,0,2301,0.0
20928,20927,0,2301,0.0
20928,20929,0,2301,0.0
20929,20928,0,2301,0.0
20929,20930,0,2301,0.0
20930,20929,0,2301,0.0
20930,20931,0,2301,0.0
20931,20930,0,2301,0.0
20931,20932,0,2301,0.0
20932,20931,0,2301,0.0
20932,20933,0,2301,0.0
20933,20932,0,2301,0.0
20933,20934,0,2301,0.0
20934,20933,0,2301,0.0
20934,20935,0,2301,0.0
20935,20934,0,2301,0.0
20935,20938,0,2301,0.0
20938,20935,0,2301,0.0
20936,20937,0,2302,0.0
20937,20936,0,2302,0.0
20937,20939,0,2302,0.0
20939,20937,0,2302,0.0
20939,20940,0,2302,0.0
20940,20939,0,2302,0.0
20940,20941,0,2302,0.0
20941,20940,0,2302,0.0
20941,20942,0,2302,0.0
20942,20941,0,2302,0.0
20942,20944,0,2302,0.0
20944,20942,0,2302,0.0
20944,20945,0,2302,0.0
20945,20944,0,2302,0.0
20945,20946,0,2302,0.0
20946,20945,0,2302,0.0
20947,20948,0,2303,0.0
20948,20947,0,2303,0.0
20948,20949,0,2303,0.0
20949,20948,0,2303,0.0
20949,20950,0,2303,0.0
20950,20949,0,2303,0.0
20950,20951,0,2303,0.0
20951,20950,0,2303,0.0
20951,20952,0,2303,0.0
20952,20951,0,2303,0.0
20952,20953,0,2303,0.0
20953,20952,0,2303,0.0
20953,20954,0,2303,0.0
20954,20953,0,2303,0.0
33517,33518,0,4109,0.0
33518,33517,0,4109,0.0
33518,33519,0,4109,0.0
33519,33518,0,4109,0.0
33519,33521,0,4109,0.0
33521,33519,0,4109,0.0
33521,33522,0,4109,0.0
33522,33521,0,4109,0.0
33522,33523,0,4109,0.0
33523,33522,0,4109,0.0
33523,33524,0,4109,0.0
33524,33523,0,4109,0.0
33529,33535,0,4110,0.0
33535,33529,0,4110,0.0
