source,target,mode,line_id,year
34026,36007,0,4134,2012.0
36007,34026,0,4134,
35585,35979,0,4135,2023.0
35979,35585,0,4135,2024.0
34026,34043,0,4137,2012.0
34043,34026,0,4137,2017.0
34043,34050,0,4137,2017.0
34050,34043,0,4137,2017.0
34050,34079,0,4137,2017.0
34079,34050,0,4137,2019.0
34079,34080,0,4137,2019.0
34080,34079,0,4137,2019.0
34080,34081,0,4137,2019.0
34081,34080,0,4137,2019.0
34081,34082,0,4137,2019.0
34082,34081,0,4137,2019.0
34082,34083,0,4137,2019.0
34083,34082,0,4137,2019.0
34083,34084,0,4137,2019.0
34084,34083,0,4137,2019.0
34084,34085,0,4137,2019.0
34085,34084,0,4137,2019.0
34085,34086,0,4137,2019.0
34086,34085,0,4137,2019.0
34086,34087,0,4137,2019.0
34087,34086,0,4137,2019.0
34087,34088,0,4137,2019.0
34088,34087,0,4137,2019.0
34088,34089,0,4137,2019.0
34089,34088,0,4137,
34089,34090,0,4137,
34090,34089,0,4137,2024.0
34090,34092,0,4137,2024.0
34092,34090,0,4137,2023.0
34092,34093,0,4137,2023.0
34093,34092,0,4137,2023.0
34093,35979,0,4137,2023.0
35979,34093,0,4137,2024.0
35979,35980,0,4137,2024.0
35980,35979,0,4137,
35980,35981,0,4137,
35981,35980,0,4137,
35981,36094,0,4137,
36094,35981,0,4137,2023.0
36094,36095,0,4137,2023.0
36095,36094,0,4137,2024.0
36095,36096,0,4137,2024.0
36096,36095,0,4137,2023.0
36096,36097,0,4137,2023.0
36097,36096,0,4137,2023.0
34042,34043,0,4138,2017.0
34043,34042,0,4138,2017.0
34043,34049,0,4138,2017.0
34049,34043,0,4138,2017.0
34049,34050,0,4138,2017.0
34050,34049,0,4138,2017.0
34050,34051,0,4138,2017.0
34051,34050,0,4138,2017.0
34051,34052,0,4138,2017.0
34052,34051,0,4138,2017.0
34052,34053,0,4138,2017.0
34053,34052,0,4138,2017.0
34053,34054,0,4138,2017.0
34054,34053,0,4138,2017.0
34054,35415,0,4138,2017.0
35415,34054,0,4138,2023.0
35415,35978,0,4138,2023.0
35978,35415,0,4138,2023.0
35401,35402,0,4447,2023.0
35402,35401,0,4447,2023.0
35402,35403,0,4447,2023.0
35403,35402,0,4447,
35403,42882,0,4447,
42882,35403,0,4447,2025.0
42882,42915,0,4447,2025.0
42915,42882,0,4447,
