source,target,mode,line_id,year
35416,35417,0,4437,2023.0
35417,35416,0,4437,2023.0
35417,35418,0,4437,2023.0
35418,35417,0,4437,2023.0
35418,35419,0,4437,2023.0
35419,35418,0,4437,2023.0
35419,35420,0,4437,2023.0
35420,35419,0,4437,2023.0
35420,35421,0,4437,2023.0
35421,35420,0,4437,2023.0
35421,35422,0,4437,2023.0
35422,35421,0,4437,2023.0
35422,35423,0,4437,2023.0
35423,35422,0,4437,2023.0
35423,35424,0,4437,2023.0
35424,35423,0,4437,2023.0
35424,35425,0,4437,2023.0
35425,35424,0,4437,2023.0
35425,35426,0,4437,2023.0
35426,35425,0,4437,2023.0
35426,35427,0,4437,2023.0
35427,35426,0,4437,2023.0
35427,35428,0,4437,2023.0
35428,35427,0,4437,2023.0
35428,35429,0,4437,2023.0
35429,35428,0,4437,2023.0
35429,35430,0,4437,2023.0
35430,35429,0,4437,2023.0
35430,35431,0,4437,2023.0
35431,35430,0,4437,2023.0
35431,35432,0,4437,2023.0
35432,35431,0,4437,2023.0
35432,35433,0,4437,2023.0
35433,35432,0,4437,2023.0
35433,35434,0,4437,2023.0
35434,35433,0,4437,2023.0
35434,35435,0,4437,2023.0
35435,35434,0,4437,2023.0
35435,35436,0,4437,2023.0
35436,35435,0,4437,2023.0
35436,35437,0,4437,2023.0
35437,35436,0,4437,2023.0
35437,35438,0,4437,2023.0
35438,35437,0,4437,2023.0
35438,35439,0,4437,2023.0
35439,35438,0,4437,2023.0
35439,35440,0,4437,2023.0
35440,35439,0,4437,2023.0
35440,35441,0,4437,2023.0
35441,35440,0,4437,2023.0
35441,35442,0,4437,2023.0
35442,35441,0,4437,2023.0
35442,35443,0,4437,2023.0
35443,35442,0,4437,2023.0
35443,35444,0,4437,2023.0
35444,35443,0,4437,2023.0
35444,35445,0,4437,2023.0
35445,35444,0,4437,2023.0
35445,35446,0,4437,2023.0
35446,35445,0,4437,2023.0
35446,35447,0,4437,2023.0
35447,35446,0,4437,2023.0
35447,35448,0,4437,2023.0
35448,35447,0,4437,2023.0
35448,35449,0,4437,2023.0
35449,35448,0,4437,2023.0
