source,target,mode,line_id,year
29764,29782,0,3551,1984.0
29782,29764,0,3551,2006.0
29782,29783,0,3551,2006.0
29783,29782,0,3551,2006.0
29783,29784,0,3551,2006.0
29784,29783,0,3551,2006.0
29784,29920,0,3551,2006.0
29920,29784,0,3551,2006.0
29920,29921,0,3551,2006.0
29921,29920,0,3551,2006.0
29921,29922,0,3551,2006.0
29922,29921,0,3551,2006.0
29922,29923,0,3551,2006.0
29923,29922,0,3551,2006.0
29923,29924,0,3551,2006.0
29924,29923,0,3551,2006.0
29924,29925,0,3551,2006.0
29925,29924,0,3551,2006.0
29925,29926,0,3551,2006.0
29926,29925,0,3551,1984.0
29926,29927,0,3551,1984.0
29927,29926,0,3551,1980.0
29927,29928,0,3551,1980.0
29928,29927,0,3551,1980.0
29928,29929,0,3551,1980.0
29929,29928,0,3551,1980.0
29929,29930,0,3551,1980.0
29930,29929,0,3551,1980.0
29930,29931,0,3551,1980.0
29931,29930,0,3551,1980.0
29931,29932,0,3551,1980.0
29932,29931,0,3551,2006.0
29932,29933,0,3551,2006.0
29933,29932,0,3551,1980.0
29933,29934,0,3551,1980.0
29934,29933,0,3551,2006.0
29934,29935,0,3551,2006.0
29935,29934,0,3551,2006.0
29935,29936,0,3551,2006.0
29936,29935,0,3551,2006.0
29936,29937,0,3551,2006.0
29937,29936,0,3551,2006.0
29937,29939,0,3551,2006.0
29939,29937,0,3551,2018.0
29939,29940,0,3551,2018.0
29940,29939,0,3551,2019.0
29940,29941,0,3551,2019.0
29941,29940,0,3551,2019.0
29941,29942,0,3551,2019.0
29942,29941,0,3551,2019.0
29942,29943,0,3551,2019.0
29943,29942,0,3551,2019.0
29943,40275,0,3551,2019.0
40275,29943,0,3551,2023.0
40275,40276,0,3551,2023.0
40276,40275,0,3551,2024.0
40276,40277,0,3551,2024.0
40277,40276,0,3551,
40277,40278,0,3551,
40278,40277,0,3551,
40278,40279,0,3551,
40279,40278,0,3551,
29785,29786,0,3552,2012.0
29786,29785,0,3552,2012.0
29786,29803,0,3552,2012.0
29803,29786,0,3552,2012.0
