source,target,mode,line_id,year
10270,10271,0,950,2013.0
10271,10270,0,950,2013.0
10271,10272,0,950,2013.0
10272,10271,0,950,2013.0
10272,10273,0,950,2013.0
10273,10272,0,950,2013.0
10273,10274,0,950,2013.0
10274,10273,0,950,2013.0
10274,10275,0,950,2013.0
10275,10274,0,950,2013.0
10275,10276,0,950,2013.0
10276,10275,0,950,2013.0
10276,10277,0,950,2013.0
10277,10276,0,950,2013.0
10277,10278,0,950,2013.0
10278,10277,0,950,2013.0
10278,10279,0,950,2013.0
10279,10278,0,950,2013.0
10279,10280,0,950,2013.0
10280,10279,0,950,2013.0
10280,10281,0,950,2013.0
10281,10280,0,950,2013.0
10281,10282,0,950,2013.0
10282,10281,0,950,2013.0
10282,10283,0,950,2013.0
10283,10282,0,950,2013.0
10283,10284,0,950,2013.0
10284,10283,0,950,2013.0
10284,10285,0,950,2013.0
10285,10284,0,950,2013.0
10285,10286,0,950,2013.0
10286,10285,0,950,2013.0
10286,10287,0,950,2013.0
10287,10286,0,950,2013.0
10287,10288,0,950,2013.0
10288,10287,0,950,2013.0
10288,10289,0,950,2013.0
10289,10288,0,950,2013.0
10289,10290,0,950,2013.0
10290,10289,0,950,2013.0
10290,10291,0,950,2013.0
10291,10290,0,950,2013.0
10291,10292,0,950,2013.0
10292,10291,0,950,2013.0
10292,10293,0,950,2013.0
10293,10292,0,950,2013.0
10293,10294,0,950,2013.0
10294,10293,0,950,2013.0
10294,10295,0,950,2013.0
10295,10294,0,950,2013.0
10295,10296,0,950,2013.0
10296,10295,0,950,2013.0
10296,10297,0,950,2013.0
10297,10296,0,950,2013.0
10297,10298,0,950,2013.0
10298,10297,0,950,2013.0
10298,10299,0,950,2013.0
10299,10298,0,950,2013.0
10299,10300,0,950,2013.0
10300,10299,0,950,2013.0
10300,10301,0,950,2013.0
10301,10300,0,950,2013.0
10301,10302,0,950,2013.0
10302,10301,0,950,2013.0
10302,10303,0,950,2013.0
10303,10302,0,950,2013.0
10303,10304,0,950,2013.0
10304,10303,0,950,2013.0
10304,10305,0,950,2013.0
10305,10304,0,950,2013.0
10305,10306,0,950,2013.0
10306,10305,0,950,2013.0
10306,10307,0,950,2013.0
10307,10306,0,950,2013.0
10307,10308,0,950,2013.0
10308,10307,0,950,2013.0
10308,10309,0,950,2013.0
10309,10308,0,950,2013.0
10309,10310,0,950,2013.0
10310,10309,0,950,2013.0
10310,10311,0,950,2013.0
10311,10310,0,950,2013.0
10311,10312,0,950,2013.0
10312,10311,0,950,2013.0
10312,10313,0,950,2013.0
10313,10312,0,950,2013.0
10313,10314,0,950,2013.0
10314,10313,0,950,2013.0
10314,10315,0,950,2013.0
10315,10314,0,950,2013.0
10315,10316,0,950,2013.0
10316,10315,0,950,2013.0
10316,10317,0,950,2013.0
10317,10316,0,950,2013.0
10317,10318,0,950,2013.0
10318,10317,0,950,2013.0
10318,10319,0,950,2013.0
10319,10318,0,950,2013.0
10319,10320,0,950,2013.0
10320,10319,0,950,2013.0
10320,10321,0,950,2013.0
10321,10320,0,950,2013.0
10321,10322,0,950,2013.0
10322,10321,0,950,2013.0
10322,10323,0,950,2013.0
10323,10322,0,950,2013.0
10323,10324,0,950,2013.0
10324,10323,0,950,2013.0
10324,10325,0,950,2013.0
10325,10324,0,950,2013.0
10325,10326,0,950,2013.0
10326,10325,0,950,2013.0
10326,10327,0,950,2013.0
10327,10326,0,950,2013.0
10327,10328,0,950,2013.0
10328,10327,0,950,2013.0
10328,10329,0,950,2013.0
10329,10328,0,950,2013.0
10329,10330,0,950,2013.0
10330,10329,0,950,2013.0
10330,10331,0,950,2013.0
10331,10330,0,950,2013.0
