source,target,mode,line_id,year
30984,30985,0,3640,2006.0
30985,30984,0,3640,2006.0
30985,30986,0,3640,2006.0
30986,30985,0,3640,2006.0
30986,30987,0,3640,2006.0
30987,30986,0,3640,2006.0
30987,30988,0,3640,2006.0
30988,30987,0,3640,2007.0
30988,30989,0,3640,2007.0
30989,30988,0,3640,2006.0
30989,30990,0,3640,2006.0
30990,30989,0,3640,2006.0
30990,30991,0,3640,2006.0
30991,30990,0,3640,2006.0
30991,30992,0,3640,2006.0
30992,30991,0,3640,2006.0
30992,30993,0,3640,2006.0
30993,30992,0,3640,2006.0
30993,30994,0,3640,2006.0
30994,30993,0,3640,2006.0
30994,30995,0,3640,2006.0
30995,30994,0,3640,2006.0
30995,30996,0,3640,2006.0
30996,30995,0,3640,2007.0
30996,30997,0,3640,2007.0
30997,30996,0,3640,2011.0
30997,30998,0,3640,2011.0
30998,30997,0,3640,2011.0
30998,30999,0,3640,2011.0
30999,30998,0,3640,2011.0
30999,31000,0,3640,2011.0
31000,30999,0,3640,2011.0
31000,31001,0,3640,2011.0
31001,31000,0,3640,2011.0
31001,31002,0,3640,2011.0
31002,31001,0,3640,2007.0
31002,31003,0,3640,2007.0
31003,31002,0,3640,2007.0
31003,31004,0,3640,2007.0
31004,31003,0,3640,2011.0
31004,31005,0,3640,2011.0
31005,31004,0,3640,2021.0
31005,31006,0,3640,2021.0
31006,31005,0,3640,2021.0
