source,target,mode,line_id,year
37136,37137,0,152,2017.0
37137,37136,0,152,2017.0
37137,37138,0,152,2017.0
37138,37137,0,152,2017.0
37138,37139,0,152,2017.0
37139,37138,0,152,2017.0
37139,37140,0,152,2017.0
37140,37139,0,152,2017.0
37140,37354,0,152,2017.0
37354,37140,0,152,1978.0
37354,37365,0,152,1978.0
37365,37354,0,152,1978.0
37365,37366,0,152,1978.0
37366,37365,0,152,1978.0
37366,37367,0,152,1978.0
37367,37366,0,152,1978.0
37367,37368,0,152,1978.0
37368,37367,0,152,1978.0
37134,37135,0,153,1980.0
37135,37134,0,153,1978.0
37135,37141,0,153,1978.0
37141,37135,0,153,1980.0
37141,37355,0,153,1980.0
37355,37141,0,153,1980.0
37355,37358,0,153,1980.0
37358,37355,0,153,1993.0
37358,37368,0,153,1993.0
37368,37358,0,153,1978.0
37368,37399,0,153,1978.0
37399,37368,0,153,2008.0
37399,37400,0,153,2008.0
37400,37399,0,153,2008.0
37400,37401,0,153,2008.0
37401,37400,0,153,2008.0
37401,37402,0,153,2008.0
37402,37401,0,153,2010.0
37402,37403,0,153,2010.0
37403,37402,0,153,2008.0
37403,37404,0,153,2008.0
37404,37403,0,153,1980.0
37404,37405,0,153,1980.0
37405,37404,0,153,1980.0
37405,37406,0,153,1980.0
37406,37405,0,153,2010.0
37406,37467,0,153,2010.0
37467,37406,0,153,2027.0
37467,37468,0,153,2027.0
37468,37467,0,153,2027.0
37468,37469,0,153,2027.0
37469,37468,0,153,2027.0
6934,6936,0,154,2000.0
6936,6934,0,154,2000.0
6936,6939,0,154,2000.0
6939,6936,0,154,2000.0
6939,6941,0,154,2000.0
6941,6939,0,154,2000.0
6941,6943,0,154,2000.0
6943,6941,0,154,1991.0
6943,6944,0,154,1991.0
6944,6943,0,154,1991.0
6944,6946,0,154,1991.0
6946,6944,0,154,1991.0
6946,6948,0,154,1991.0
6948,6946,0,154,1991.0
6948,37144,0,154,1991.0
37144,6948,0,154,1978.0
37144,37352,0,154,1978.0
37352,37144,0,154,1991.0
37352,37353,0,154,1991.0
37353,37352,0,154,1991.0
37353,37354,0,154,1991.0
37354,37353,0,154,1978.0
37354,37355,0,154,1978.0
37355,37354,0,154,1980.0
37355,37356,0,154,1980.0
37356,37355,0,154,1993.0
37356,37357,0,154,1993.0
37357,37356,0,154,1993.0
37357,37358,0,154,1993.0
37358,37357,0,154,1993.0
6998,7017,0,155,1980.0
7017,6998,0,155,1981.0
7017,7019,0,155,1981.0
7019,7017,0,155,1981.0
7019,7020,0,155,1981.0
7020,7019,0,155,1981.0
7020,7021,0,155,1981.0
7021,7020,0,155,1981.0
7021,7024,0,155,1981.0
7024,7021,0,155,1981.0
7024,7028,0,155,1981.0
7028,7024,0,155,1980.0
7028,37135,0,155,1980.0
37135,7028,0,155,1978.0
37135,37141,0,155,1978.0
37141,37135,0,155,1980.0
37141,37142,0,155,1980.0
37142,37141,0,155,1980.0
37142,37143,0,155,1980.0
37143,37142,0,155,1978.0
37143,37144,0,155,1978.0
37144,37143,0,155,1978.0
37144,37368,0,155,1978.0
37368,37144,0,155,1978.0
37368,37387,0,155,1978.0
37387,37368,0,155,1976.0
37387,37389,0,155,1976.0
37389,37387,0,155,1978.0
7001,7003,0,156,1989.0
7003,7001,0,156,1989.0
7003,7005,0,156,1989.0
7005,7003,0,156,1995.0
7005,7007,0,156,1995.0
7007,7005,0,156,1995.0
7007,7008,0,156,1995.0
7008,7007,0,156,1995.0
7008,7010,0,156,1995.0
7010,7008,0,156,1995.0
7010,7012,0,156,1995.0
7012,7010,0,156,1995.0
7012,7014,0,156,1995.0
7014,7012,0,156,1995.0
7014,37357,0,156,1995.0
37357,7014,0,156,1993.0
37357,37391,0,156,1993.0
37391,37357,0,156,1989.0
37391,37392,0,156,1989.0
37392,37391,0,156,1989.0
37392,37393,0,156,1989.0
37393,37392,0,156,1989.0
37393,37394,0,156,1989.0
37394,37393,0,156,1989.0
37394,37395,0,156,1989.0
37395,37394,0,156,1989.0
37395,37396,0,156,1989.0
37396,37395,0,156,1989.0
37396,37397,0,156,1989.0
37397,37396,0,156,1989.0
37397,37398,0,156,1989.0
37398,37397,0,156,1989.0
37355,37368,0,4678,1980.0
37368,37355,0,4678,1978.0
37368,37404,0,4678,1978.0
37404,37368,0,4678,1980.0
37404,37419,0,4678,1980.0
37419,37404,0,4678,2027.0
37419,37469,0,4678,2027.0
37469,37419,0,4678,2027.0
