source,target,mode,line_id,year
17380,17381,0,2065,2005.0
17381,17380,0,2065,1998.0
17381,17382,0,2065,1998.0
17382,17381,0,2065,1995.0
17382,17383,0,2065,1995.0
17383,17382,0,2065,1995.0
17383,17384,0,2065,1995.0
17384,17383,0,2065,1995.0
17384,17385,0,2065,1995.0
17385,17384,0,2065,1995.0
17385,17386,0,2065,1995.0
17386,17385,0,2065,1995.0
17386,17387,0,2065,1995.0
17387,17386,0,2065,1995.0
17387,17388,0,2065,1995.0
17388,17387,0,2065,1995.0
17388,17389,0,2065,1995.0
17389,17388,0,2065,1995.0
17389,17390,0,2065,1995.0
17390,17389,0,2065,2001.0
17390,17391,0,2065,2001.0
17391,17390,0,2065,1995.0
17391,17392,0,2065,1995.0
17392,17391,0,2065,1995.0
17392,17393,0,2065,1995.0
17393,17392,0,2065,1995.0
17393,17394,0,2065,1995.0
17394,17393,0,2065,2001.0
17394,17395,0,2065,2001.0
17395,17394,0,2065,2003.0
17395,17396,0,2065,2003.0
17396,17395,0,2065,2006.0
17396,17397,0,2065,2006.0
17397,17396,0,2065,2008.0
17397,17398,0,2065,2008.0
17398,17397,0,2065,2008.0
17398,17399,0,2065,2008.0
17399,17398,0,2065,2008.0
17399,17400,0,2065,2008.0
17400,17399,0,2065,2008.0
17394,17402,0,2066,2001.0
17402,17394,0,2066,2015.0
17402,17403,0,2066,2015.0
17403,17402,0,2066,2015.0
17403,17404,0,2066,2015.0
17404,17403,0,2066,2015.0
17404,17405,0,2066,2015.0
17405,17404,0,2066,2015.0
17405,17406,0,2066,2015.0
17406,17405,0,2066,2015.0
17406,17407,0,2066,2015.0
17407,17406,0,2066,2015.0
17407,32562,0,2066,2015.0
32562,17407,0,2066,2019.0
32562,32563,0,2066,2019.0
32563,32562,0,2066,2019.0
32563,32564,0,2066,2019.0
32564,32563,0,2066,2019.0
32564,32565,0,2066,2019.0
32565,32564,0,2066,2020.0
32565,32566,0,2066,2020.0
32566,32565,0,2066,2020.0
32566,32567,0,2066,2020.0
32567,32566,0,2066,2020.0
32567,35555,0,2066,2020.0
35555,32567,0,2066,2022.0
35555,35556,0,2066,2022.0
35556,35555,0,2066,2022.0
35556,35557,0,2066,2022.0
35557,35556,0,2066,2022.0
35558,35559,0,4460,2028.0
35559,35558,0,4460,2028.0
35559,35560,0,4460,2028.0
35560,35559,0,4460,2028.0
35560,35561,0,4460,2028.0
35561,35560,0,4460,2028.0
35561,35562,0,4460,2028.0
35562,35561,0,4460,2028.0
35562,35563,0,4460,2028.0
35563,35562,0,4460,2028.0
