source,target,mode,line_id,year
3874,3927,0,339,1977.0
3927,3874,0,339,1983.0
3927,3951,0,339,1983.0
3951,3927,0,339,1991.0
3951,3952,0,339,1991.0
3952,3951,0,339,1991.0
3952,3956,0,339,1991.0
3956,3952,0,339,1991.0
3956,3962,0,339,1991.0
3962,3956,0,339,1991.0
3962,3963,0,339,1991.0
3963,3962,0,339,1991.0
3963,3964,0,339,1991.0
3964,3963,0,339,1991.0
3964,3966,0,339,1991.0
3966,3964,0,339,1993.0
3966,3967,0,339,1993.0
3967,3966,0,339,1993.0
3967,3971,0,339,1993.0
3971,3967,0,339,1999.0
3971,3972,0,339,1999.0
3972,3971,0,339,1999.0
3972,3973,0,339,1999.0
3973,3972,0,339,2001.0
3973,3974,0,339,2001.0
3974,3973,0,339,2001.0
3974,3975,0,339,2001.0
3975,3974,0,339,2001.0
3975,3976,0,339,2001.0
3976,3975,0,339,2001.0
3976,3977,0,339,2001.0
3977,3976,0,339,2001.0
3862,3863,0,340,1977.0
3863,3862,0,340,1977.0
3863,3864,0,340,1977.0
3864,3863,0,340,1977.0
3864,3865,0,340,1977.0
3865,3864,0,340,1977.0
3865,3866,0,340,1977.0
3866,3865,0,340,1977.0
3866,3867,0,340,1977.0
3867,3866,0,340,1977.0
3867,3868,0,340,1977.0
3868,3867,0,340,1977.0
3868,3869,0,340,1977.0
3869,3868,0,340,1977.0
3869,3870,0,340,1977.0
3870,3869,0,340,1977.0
3870,3872,0,340,1977.0
3872,3870,0,340,1977.0
3872,3873,0,340,1977.0
3873,3872,0,340,1977.0
3873,3874,0,340,1977.0
3874,3873,0,340,1977.0
3874,3876,0,340,1977.0
3876,3874,0,340,1977.0
3876,3877,0,340,1977.0
3877,3876,0,340,1977.0
3877,3878,0,340,1977.0
3878,3877,0,340,1977.0
3878,3879,0,340,1977.0
3879,3878,0,340,1977.0
3879,3892,0,340,1977.0
3892,3879,0,340,1977.0
3892,3906,0,340,1977.0
3906,3892,0,340,1978.0
3906,3908,0,340,1978.0
3908,3906,0,340,1978.0
3908,3910,0,340,1978.0
3910,3908,0,340,1978.0
3910,3912,0,340,1978.0
3912,3910,0,340,1978.0
3912,3916,0,340,1978.0
3916,3912,0,340,1980.0
3916,3917,0,340,1980.0
3917,3916,0,340,1980.0
3917,3918,0,340,1980.0
3918,3917,0,340,1980.0
3918,3931,0,340,1980.0
3931,3918,0,340,1983.0
3931,3932,0,340,1983.0
3932,3931,0,340,1983.0
3932,3978,0,340,1983.0
3978,3932,0,340,2004.0
3978,3979,0,340,2004.0
3979,3978,0,340,2004.0
3979,34388,0,340,2004.0
34388,3979,0,340,2022.0
34388,36245,0,340,2022.0
36245,34388,0,340,1991.0
36245,36255,0,340,1991.0
36255,36245,0,340,1995.0
3862,3863,0,341,1977.0
3863,3862,0,341,1977.0
3863,3864,0,341,1977.0
3864,3863,0,341,1977.0
3864,3865,0,341,1977.0
3865,3864,0,341,1977.0
3865,3866,0,341,1977.0
3866,3865,0,341,1977.0
3866,3867,0,341,1977.0
3867,3866,0,341,1977.0
3867,3868,0,341,1977.0
3868,3867,0,341,1977.0
3868,3869,0,341,1977.0
3869,3868,0,341,1977.0
3869,3870,0,341,1977.0
3870,3869,0,341,1977.0
3870,3872,0,341,1977.0
3872,3870,0,341,1977.0
3872,3873,0,341,1977.0
3873,3872,0,341,1977.0
3873,3874,0,341,1977.0
3874,3873,0,341,1977.0
3874,3876,0,341,1977.0
3876,3874,0,341,1977.0
3876,3877,0,341,1977.0
3877,3876,0,341,1977.0
3877,3878,0,341,1977.0
3878,3877,0,341,1977.0
3878,3879,0,341,1977.0
3879,3878,0,341,1977.0
3879,3892,0,341,1977.0
3892,3879,0,341,1977.0
3892,3902,0,341,1977.0
3902,3892,0,341,1979.0
3902,3903,0,341,1979.0
