source,target,mode,line_id,year
35355,35356,0,4441,1937.0
35356,35355,0,4441,1963.0
35356,35357,0,4441,1963.0
35357,35356,0,4441,1885.0
35357,35358,0,4441,1885.0
35358,35357,0,4441,1938.0
35358,35359,0,4441,1938.0
35359,35358,0,4441,1938.0
35359,35361,0,4441,1938.0
35361,35359,0,4441,1940.0
35361,35362,0,4441,1940.0
35362,35361,0,4441,1885.0
35355,35363,0,4442,1937.0
35363,35355,0,4442,1937.0
35363,35364,0,4442,1937.0
35364,35363,0,4442,1963.0
35364,35365,0,4442,1963.0
35365,35364,0,4442,1885.0
35365,35366,0,4442,1885.0
35366,35365,0,4442,1940.0
35366,35367,0,4442,1940.0
35367,35366,0,4442,1963.0
35367,35368,0,4442,1963.0
35368,35367,0,4442,1885.0
35368,35369,0,4442,1885.0
35369,35368,0,4442,1885.0
35369,35370,0,4442,1885.0
35370,35369,0,4442,1949.0
35370,35371,0,4442,1949.0
35371,35370,0,4442,1881.0
35371,35372,0,4442,1881.0
35372,35371,0,4442,1885.0
35372,35373,0,4442,1885.0
35373,35372,0,4442,1886.0
35373,35375,0,4442,1886.0
35375,35373,0,4442,1882.0
35375,35376,0,4442,1882.0
35376,35375,0,4442,1874.0
35355,35376,0,4443,1937.0
35376,35355,0,4443,1874.0
35376,35377,0,4443,1874.0
35377,35376,0,4443,1874.0
35377,35378,0,4443,1874.0
35378,35377,0,4443,1908.0
35378,35379,0,4443,1908.0
35379,35378,0,4443,
