source,target,mode,line_id,year
31079,31080,0,3644,2019.0
31080,31079,0,3644,2019.0
31080,31081,0,3644,2019.0
31081,31080,0,3644,2019.0
31081,31082,0,3644,2019.0
31082,31081,0,3644,2019.0
31082,31083,0,3644,2019.0
31083,31082,0,3644,2019.0
31083,31084,0,3644,2019.0
31084,31083,0,3644,2019.0
31084,31085,0,3644,2019.0
31085,31084,0,3644,2019.0
31085,31086,0,3644,2019.0
31086,31085,0,3644,2019.0
31086,31087,0,3644,2019.0
31087,31086,0,3644,2019.0
31087,31088,0,3644,2019.0
31088,31087,0,3644,2019.0
31088,31089,0,3644,2019.0
31089,31088,0,3644,2019.0
31089,31090,0,3644,2019.0
31090,31089,0,3644,2019.0
31090,31091,0,3644,2019.0
31091,31090,0,3644,2019.0
31091,31092,0,3644,2019.0
31092,31091,0,3644,2019.0
31092,31094,0,3644,2019.0
31094,31092,0,3644,2019.0
31094,31095,0,3644,2019.0
31095,31094,0,3644,2019.0
31095,31096,0,3644,2019.0
31096,31095,0,3644,2019.0
31096,31097,0,3644,2019.0
31097,31096,0,3644,2019.0
