source,target,mode,line_id,year
11261,11262,0,1057,2016.0
11262,11261,0,1057,2016.0
11262,11263,0,1057,2016.0
11263,11262,0,1057,2016.0
11263,11291,0,1057,2016.0
11291,11263,0,1057,2016.0
11291,11292,0,1057,2016.0
11292,11291,0,1057,2017.0
11292,11293,0,1057,2017.0
11293,11292,0,1057,2017.0
11293,11294,0,1057,2017.0
11294,11293,0,1057,2017.0
11294,11295,0,1057,2017.0
11295,11294,0,1057,2017.0
11295,11296,0,1057,2017.0
11296,11295,0,1057,2017.0
11296,11297,0,1057,2017.0
11297,11296,0,1057,2018.0
11297,11298,0,1057,2018.0
11298,11297,0,1057,2016.0
11298,11299,0,1057,2016.0
11299,11298,0,1057,2018.0
11299,11300,0,1057,2018.0
11300,11299,0,1057,2020.0
11300,11301,0,1057,2020.0
11301,11300,0,1057,2020.0
11301,11302,0,1057,2020.0
11302,11301,0,1057,2020.0
11276,11281,0,1058,2017.0
11281,11276,0,1058,2017.0
11281,11289,0,1058,2017.0
11289,11281,0,1058,2020.0
11264,11265,0,1059,2018.0
11265,11264,0,1059,2018.0
11265,11266,0,1059,2018.0
11266,11265,0,1059,2018.0
11266,11267,0,1059,2018.0
11267,11266,0,1059,2018.0
11267,11268,0,1059,2018.0
11268,11267,0,1059,2018.0
11268,11269,0,1059,2018.0
11269,11268,0,1059,2018.0
11269,11270,0,1059,2018.0
11270,11269,0,1059,2018.0
11270,11271,0,1059,2018.0
11271,11270,0,1059,2018.0
11271,11272,0,1059,2018.0
11272,11271,0,1059,2018.0
11272,11273,0,1059,2018.0
11273,11272,0,1059,2018.0
11273,11328,0,1059,2018.0
11328,11273,0,1059,2019.0
11328,11329,0,1059,2019.0
11329,11328,0,1059,2019.0
11329,11341,0,1059,2019.0
11341,11329,0,1059,2017.0
11296,11298,0,1060,2017.0
11298,11296,0,1060,2016.0
11298,11303,0,1060,2016.0
11303,11298,0,1060,2017.0
11303,11304,0,1060,2017.0
11304,11303,0,1060,2017.0
11304,11305,0,1060,2017.0
11305,11304,0,1060,2017.0
11305,11306,0,1060,2017.0
11306,11305,0,1060,2016.0
11306,11307,0,1060,2016.0
11307,11306,0,1060,2016.0
11307,11308,0,1060,2016.0
11308,11307,0,1060,2016.0
11308,11309,0,1060,2016.0
11309,11308,0,1060,2016.0
11309,11310,0,1060,2016.0
11310,11309,0,1060,2017.0
11310,11311,0,1060,2017.0
11311,11310,0,1060,2017.0
11311,11312,0,1060,2017.0
11312,11311,0,1060,2018.0
11312,11313,0,1060,2018.0
11313,11312,0,1060,2018.0
11313,11314,0,1060,2018.0
11314,11313,0,1060,2018.0
11314,11315,0,1060,2018.0
11315,11314,0,1060,2019.0
11315,11316,0,1060,2019.0
11316,11315,0,1060,2020.0
11316,11317,0,1060,2020.0
11317,11316,0,1060,2020.0
11317,11318,0,1060,2020.0
11318,11317,0,1060,2021.0
11319,11322,0,1061,2016.0
11322,11319,0,1061,2016.0
11322,11323,0,1061,2016.0
11323,11322,0,1061,2017.0
11323,11324,0,1061,2017.0
11324,11323,0,1061,2017.0
11324,11325,0,1061,2017.0
11325,11324,0,1061,2017.0
11325,11326,0,1061,2017.0
11326,11325,0,1061,2017.0
11333,11334,0,1062,2017.0
11334,11333,0,1062,2017.0
11334,11335,0,1062,2017.0
11335,11334,0,1062,2017.0
11335,11336,0,1062,2017.0
11336,11335,0,1062,2017.0
11336,11337,0,1062,2017.0
11337,11336,0,1062,2017.0
11337,11338,0,1062,2017.0
11338,11337,0,1062,2017.0
11338,11339,0,1062,2017.0
11339,11338,0,1062,2017.0
11339,11340,0,1062,2017.0
11340,11339,0,1062,2017.0
11340,11341,0,1062,2017.0
11341,11340,0,1062,2017.0
11264,11315,0,1063,2018.0
11315,11264,0,1063,2019.0
11315,11341,0,1063,2019.0
11341,11315,0,1063,2017.0
11341,16150,0,1063,2017.0
16150,11341,0,1063,2019.0
16150,16152,0,1063,2019.0
16152,16150,0,1063,2019.0
16152,16153,0,1063,2019.0
16153,16152,0,1063,2019.0
16153,16154,0,1063,2019.0
16154,16153,0,1063,2019.0
16154,16155,0,1063,2019.0
16155,16154,0,1063,2019.0
