id_station,name,geometry,mode,opening
34379,Mercado,POINT(-0.484715134777339 38.3481973306404),0.0,2007.0
34380,Luceros,POINT(-0.490613261096351 38.34602247857403),0.0,2010.0
34382,La Marina,POINT(-0.4729404 38.3489846),,
34381,Porta del Mar,POINT(-0.4788414 38.345082),0.0,2019.0
34383,La Marina,POINT(-0.473278 38.3487878),0.0,2019.0
34384,Porta del Mar,POINT(-0.478839290832013 38.34507958967603),0.0,1999.0
34376,Sangueta,POINT(-0.4678768 38.351832),0.0,2019.0
34385,Estación Central,POINT(-0.495569934332167 38.34464359995167),0.0,
34377,MARQ-Castillo,POINT(-0.476240015513227 38.352002095849286),0.0,2007.0
34378,MARQ-Castillo,POINT(-0.47624 38.35199694198199),0.0,2013.0
