id_station,name,geometry,mode,opening
32977,Owings Mills,POINT(-76.779941 39.4073218),0.0,1987.0
32982,Upton–Avenue Market,POINT(-76.6354785 39.3041734),0.0,1983.0
32980,Milford Mill,POINT(-76.7206532 39.3596123),0.0,1987.0
32979,Old Court,POINT(-76.7441445 39.3712259),0.0,1987.0
32984,Lexington Market,POINT(-76.621168 39.2927281),0.0,1983.0
32983,State Center/Cultural Center,POINT(-76.623198 39.3014242),0.0,1983.0
32988,Penn–North,POINT(-76.6425812 39.3100964),0.0,1983.0
32990,Mondawmin,POINT(-76.6532786 39.3182303),0.0,1983.0
32993,West Cold Spring,POINT(-76.6724268 39.3362278),0.0,1983.0
32994,Rogers Avenue,POINT(-76.6919077 39.3447918),0.0,1983.0
32997,Reisterstown Plaza,POINT(-76.7047103 39.3518838),0.0,1983.0
32998,Shot Tower/Market Place,POINT(-76.6060037 39.2899838),,
32999,Johns Hopkins Hospital,POINT(-76.5942737 39.29936),0.0,1995.0
33001,Shot Tower/Market Place,POINT(-76.6060206 39.2900295),0.0,1995.0
33009,Mount Vernon,POINT(-76.6199592 39.2964953),0.0,1992.0
33007,Mount Royal/MICA,POINT(-76.6198799 39.3070189),0.0,1992.0
33006,Baltimore Penn Station,POINT(-76.6157593 39.307619),0.0,1997.0
33015,Lexington Market,POINT(-76.619633 39.2918517),0.0,1992.0
33013,Cultural Center,POINT(-76.620419 39.303321),0.0,1992.0
33020,Camden Yards,POINT(-76.6194521 39.282782),0.0,1992.0
33017,Baltimore Arena,POINT(-76.619454 39.2884165),0.0,1992.0
33021,Stadium/Federal Hill,POINT(-76.6200901 39.2786313),0.0,1992.0
33023,Westport,POINT(-76.6323464 39.2615074),0.0,1992.0
33028,Patapsco,POINT(-76.6301588 39.2416505),0.0,1992.0
33025,Cherry Hill,POINT(-76.6350009 39.2556485),0.0,1992.0
33027,Baltimore Highlands,POINT(-76.633093 39.2347624),0.0,1993.0
33031,Nursery Road,POINT(-76.6415902 39.221238),0.0,1993.0
33034,North Linthicum,POINT(-76.6463356 39.2140487),0.0,1993.0
33033,Linthicum,POINT(-76.6555573 39.2020396),0.0,1993.0
33038,Ferndale,POINT(-76.6400636 39.1832627),0.0,1993.0
33037,BWI Business District,POINT(-76.6736979 39.191453),0.0,1997.0
33073,Pier 5 (Landing 5),POINT(-76.60521822642222 39.28403546476383),0.0,2019.0
33072,Federal Hill (Landing 4),POINT(-76.60713002113505 39.28192879908852),0.0,2014.0
33046,Woodberry,POINT(-76.6432977 39.3308414),0.0,1992.0
33045,Cold Spring Lane,POINT(-76.6478223 39.3437393),0.0,1992.0
33042,BWI Airport,POINT(-76.669334 39.1822268),0.0,1997.0
33049,Falls Road,POINT(-76.6500948 39.376425),0.0,1992.0
33054,Lutherville,POINT(-76.6270861 39.4285983),0.0,1992.0
33055,Timonium,POINT(-76.6281313 39.4335004),0.0,1992.0
33058,Fairgrounds,POINT(-76.6347728 39.4482084),0.0,1992.0
33059,Warren Road,POINT(-76.6532885 39.47584),0.0,1997.0
33063,McCormick Road,POINT(-76.6594979 39.4894681),0.0,1997.0
33066,Pepper Road,POINT(-76.6566848 39.4920653),0.0,1997.0
33062,Hunt Valley,POINT(-76.6545121 39.4963062),0.0,1997.0
33070,Tide Point (Landing 10),POINT(-76.5897895357736 39.27578219859876),0.0,2009.0
33071,Canton Waterfront Park (Landing 16),POINT(-76.57408307903141 39.2769174712345),0.0,2009.0
33074,Harborview (Landing 9),POINT(-76.60351550053389 39.27777098283266),,2011.0
33075,Harbor East (Landing 7),POINT(-76.6032788419918 39.28294736324986),,2011.0
33076,Boston Street & Ellwood Avenue EB,POINT(-76.57201954183628 39.27739603250308),0.0,
33078,Tide Point (Alternate Stop),POINT(-76.5907882838205 39.27551771485213),0.0,
33082,North Avenue,POINT(-76.6226088233244 39.311875376272724),0.0,1992.0
33068,Gilroy Road,POINT(-76.6618117 39.4818715),0.0,1997.0
33069,Maritime Park (Landing 8),POINT(-76.59596134873134 39.27910632911002),0.0,2009.0
33077,Maritime Park,POINT(-76.596407474651 39.27967671107535),0.0,2011.0
33002,Charles Center,POINT(-76.6146013 39.2895794),0.0,1983.0
33008,Convention Center,POINT(-76.6193848 39.2854124),0.0,1992.0
33050,Mount Washington,POINT(-76.6519371 39.368156),0.0,1992.0
33040,Glen Burnie,POINT(-76.6330937 39.1720479),0.0,1993.0
