id_station,name,geometry,mode,opening
702,Montgat,POINT(2.272239567965283 41.46287475236799),0.0,1848.0
22616,Sagrera TAV,POINT(2.193508797285908 41.42193035505844),0.0,2027.0
26411,Barcelona-Passeig de Gràcia,POINT(2.164919717266907 41.392262239888204),0.0,1990.0
22116,Barcelona Sants,POINT(2.140443648062586 41.37915810246196),0.0,1881.0
9186,Mundet,POINT(2.147767145765553 41.435256518974974),0.0,0.0
9188,Roquetes,POINT(2.177206703582101 41.44820258617585),0.0,0.0
721,Llinars del Vallès,POINT(2.404607314855607 41.63789374386861),0.0,1860.0
731,Mollet-Santa Rosa,POINT(2.206012894760488 41.53660844896828),0.0,1886.0
736,Les Franqueses del Vallès,POINT(2.295013641698258 41.629730921851255),0.0,1875.0
22414,Pàdua,POINT(2.14289462519389 41.40339714395893),0.0,1953.0
22413,Provença,POINT(2.157890151891735 41.39297862942061),0.0,1882.0
3437,Pep Ventura,POINT(2.238042531344149 41.44393335195582),0.0,2002.0
3434,Artigues | Sant Adrià,POINT(2.217117013735788 41.43350105095476),0.0,2002.0
3433,Verneda,POINT(2.209874862398607 41.43000257429773),0.0,2002.0
3435,Sant Roc,POINT(2.228666101683416 41.4359546209771),0.0,2002.0
3436,Gorg,POINT(2.233447243036054 41.44019526630651),0.0,2002.0
3438,Badalona Pompeu Fabra,POINT(2.244364571674083 41.449305364586564),0.0,2010.0
9190,Canyelles,POINT(2.166666942985134 41.44177790271176),0.0,0.0
10847,Joanic,POINT(2.163155102271694 41.40544741193254),0.0,1982.0
10846,Verdaguer,POINT(2.168822573644347 41.39984945766301),0.0,1982.0
22654,Bon Pastor,POINT(2.204814188146581 41.4360701204605),0.0,2010.0
22677,Francesc Macià,POINT(2.143254754462333 41.39222306148443),0.0,2004.0
27019,Sant Martí Sesgueioles,POINT(1.48612929367772 41.70123122142667),0.0,1917.0
23909,Santa Coloma de Cervelló,POINT(2.023658969790915 41.37045855675942),0.0,2000.0
23911,Can Ros,POINT(2.005188440922865 41.398994648910985),0.0,1972.0
23912,Quatre Camins,POINT(2.001507839147422 41.40672502549225),0.0,2003.0
23913,Pallejà,POINT(1.995443163611554 41.420941515941564),0.0,2007.0
23914,Sant Andreu de la Barca,POINT(1.973111416431806 41.446854762750945),0.0,2001.0
23910,Sant Vicenç dels Horts,POINT(2.012430955421592 41.388036840142725),0.0,1912.0
23940,El Palau,POINT(1.962237253674374 41.45581205014997),0.0,2002.0
22429,Francesc Macià,POINT(2.1454103228133 41.392040507419495),0.0,2028.0
24149,Montserrat-Aeri,POINT(1.853312119617783 41.591233394747206),0.0,1930.0
24151,Castellbell i El Vilar,POINT(1.854776702003505 41.64052603821278),0.0,1924.0
24157,La Beguda,POINT(1.838791229975072 41.50176652690226),0.0,1893.0
24158,Can Parellada,POINT(1.830811737189094 41.50222868337934),0.0,1970.0
24168,Peu del Funicular,POINT(2.111471933846644 41.40906337932495),0.0,1906.0
24169,Baixador de Vallvidrera,POINT(2.096987310976829 41.42004684922941),0.0,1916.0
24170,Les Planes,POINT(2.09166318156818 41.42739651656967),0.0,1916.0
24148,Olesa de Montserrat,POINT(1.888560311557143 41.54104515677599),0.0,1922.0
24152,Sant Vicenç | Castellgalí,POINT(1.859568692999346 41.667906210862185),0.0,1924.0
24153,Manresa-Viladordis,POINT(1.83413019714888 41.72442438723289),0.0,1985.0
24154,Manresa - Alta,POINT(1.832964547565723 41.732193425343524),0.0,1924.0
24155,Manresa Baixador,POINT(1.82794291518934 41.73143757755548),0.0,1969.0
24156,Sant Esteve Sesrovires,POINT(1.872416531362347 41.49767781824167),0.0,1893.0
24159,Masquefa,POINT(1.812649626549046 41.5028946254661),0.0,1893.0
24160,Piera,POINT(1.754505279548738 41.5259273020242),0.0,1893.0
24161,Vallbona d'Anoia,POINT(1.70902037262033 41.520283289481824),0.0,1893.0
24162,Capellades,POINT(1.695091641249348 41.521573780084),0.0,1893.0
24165,Vilanova del Camí,POINT(1.642034534932208 41.573324179646306),0.0,1893.0
24166,Igualada,POINT(1.630282649388192 41.57785658178369),0.0,1978.0
24167,Pere IV,POINT(2.198389523433832 41.40642616190917),0.0,
24137,Martorell Central,POINT(1.925401625215471 41.47874836283975),0.0,1859.0
24129,Martorell Vila - Castellbisbal,POINT(1.939149671472649 41.47642713506835),0.0,1912.0
24135,Martorell Central,POINT(1.925187210900191 41.47918697154813),0.0,1859.0
24136,Martorell Enllaç,POINT(1.918779084408271 41.4838086307702),0.0,1912.0
24138,Abrera,POINT(1.906816035198432 41.5225581063103),0.0,1922.0
24200,Hospital General,POINT(2.046484540828004 41.476261572330884),0.0,1985.0
24201,Rubí,POINT(2.031641086460184 41.48618631925834),0.0,1918.0
24199,Mira-Sol,POINT(2.061519787343883 41.46932412772364),0.0,1948.0
24225,Les Fonts,POINT(2.033620733551999 41.52850544766065),0.0,1920.0
24226,Terrassa - Rambla,POINT(2.007572843895446 41.55974188887956),0.0,1987.0
24227,Vallparadís Universitat,POINT(2.018985694931814 41.56338072265817),0.0,2015.0
24229,Terrassa Nacions Unides,POINT(2.013481480011364 41.580191402432405),0.0,2015.0
24233,Sant Quirze,POINT(2.088763951408595 41.529969834188336),0.0,1922.0
24234,Can Feu | Gràcia,POINT(2.100977325318013 41.542631378613095),0.0,2016.0
24235,Sabadell Plaça Major,POINT(2.108675973251707 41.54735449856321),0.0,2016.0
24236,La Creu Alta,POINT(2.100006298359034 41.554835261604865),0.0,2017.0
24237,Sabadell Parc del Nord,POINT(2.090104287435963 41.57123051249084),0.0,2017.0
24238,Manresa,POINT(1.826423285085781 41.72025938701472),0.0,1859.0
24231,Sant Joan,POINT(2.076941057151146 41.49042146403045),0.0,1965.0
24272,Molins De Rei,POINT(2.020939747745416 41.41005633983838),0.0,1854.0
24273,Sant Feliu de Llobregat,POINT(2.048014530634646 41.383066374153174),0.0,1854.0
24274,L'Hospitalet de Llobregat,POINT(2.100581348423134 41.36422199744672),0.0,1987.0
24283,Cristòfol de Moura,POINT(2.20683266142268 41.41139047298151),0.0,
24284,Parc del Besòs,POINT(2.217945678644696 41.419412439041),0.0,
27075,Torelló,POINT(2.260032381566134 42.052124106656436),0.0,1879.0
27077,Sant Quirze de Besora,POINT(2.217564151194125 42.10476654459791),0.0,1879.0
27078,La Farga de Bebié,POINT(2.203752377892982 42.1302350312904),0.0,1880.0
24303,Caldes d'Estrac,POINT(2.526137690272833 41.568456426576915),0.0,1857.0
24302,Cabrera de Mar - Vilasar de Mar,POINT(2.402001783430109 41.50689112175931),0.0,2003.0
24299,Montgat Nord,POINT(2.286790829339452 41.46866364519161),0.0,1848.0
27074,Manlleu,POINT(2.269122291800731 41.999850992678105),0.0,1879.0
27076,Borgonyà,POINT(2.241993843978156 42.064676040299034),0.0,1879.0
21840,Singuerlín,POINT(2.20558359563978 41.4595598374097),0.0,2009.0
21839,Can Zam,POINT(2.198212939910263 41.45755635634788),0.0,2009.0
22617,La Sagrera,POINT(2.186716419923905 41.42156733249219),0.0,2020.0
21886,Ernest Lluch      ,POINT(2.11119 41.375916886813556),0.0,2021.0
21885,El Coll | La Teixonera,POINT(2.149466650366647 41.42158598262158),0.0,2010.0
21884,El Carmel,POINT(2.155111665685179 41.42370080248602),0.0,2010.0
21892,Cornellà Centre,POINT(2.070608035615379 41.357308654183456),0.0,1983.0
21889,Can Boixeres,POINT(2.091617263677392 41.36664264068608),0.0,1976.0
21890,Sant Ildefons,POINT(2.084082927508206 41.36328298656946),0.0,1976.0
21891,Gavarra,POINT(2.078948997190366 41.35787966861756),0.0,1983.0
22801,Monumental,POINT(2.181117954317813 41.401860105357855),0.0,2024.0
22802,Glòries,POINT(2.187809113983435 41.40268563504037),0.0,2004.0
22816,Wellington,POINT(2.188566856586118 41.390174653460214),0.0,2004.0
26982,Rajadell,POINT(1.698569947793772 41.732284648217956),0.0,1860.0
26983,Aguilar de Segarra,POINT(1.623758840841219 41.73871872008212),0.0,1860.0
27017,Seguers-Sant Pere Sallavinera,POINT(1.574115762326045 41.74796116444526),0.0,1860.0
22656,Plaça de Maragall,POINT(2.180481267077727 41.42004518990194),0.0,2027.0
