id_station,name,geometry,mode,opening
1703,万寿路 Wànshòu Lù,POINT(116.28896686311626 39.90628944193913),0.0,1971.0
1947,大望路 Dàwàng Lù ,POINT(116.47174379950614 39.90649668654711),0.0,2015.0
20128,大望路 Dàwàng Lù ,POINT(116.4714546097228 39.9070054539759),0.0,1999.0
20127,国贸 Guómào,POINT(116.45418468827762 39.90707780397899),0.0,1999.0
20126,永安里 Yǒng'ānlǐ,POINT(116.44406497433886 39.90715415499861),0.0,1999.0
1789,国贸 Guómào,POINT(116.45555179832613 39.90797814677893),0.0,2008.0
1797,芍药居 Sháoyàojū,POINT(116.43050767957943 39.97535293600941),0.0,2008.0
20213,芍药居 Sháoyàojū,POINT(116.42986 39.97627884210522),0.0,2003.0
1796,太阳宫 Tàiyanggōng,POINT(116.44189487306706 39.97091659610956),0.0,2008.0
20144,东四十条 Dōngsì Shítiáo,POINT(116.42787716406008 39.93229839290601),0.0,1984.0
1708,安河桥北 Ānhéqiáo Běi (Anheqiao North),POINT(116.26394413749266 40.01124244456842),0.0,2009.0
1742,天宫院 Tiāngōngyuàn,POINT(116.31389577397948 39.6680821915565),0.0,2010.0
1750,灯市口 Dēngshìkǒu,POINT(116.41156789457237 39.915258241090626),0.0,2007.0
23526,草桥 Cǎoqiáo,POINT(116.34169199575803 39.84655204844963),0.0,2019.0
23525,大兴机场 Dàxīng Jīchǎng (Daxing Airport),POINT(116.41072803156521 39.51230139287631),0.0,2019.0
23560,Fushouling,POINT(116.16455741261973 39.93848889463965),0.0,999999.0
1712,北京大学东门 Běijīng Dàxué Dōngmén (Peking Univ. East Gate),POINT(116.30998704475682 39.9908430992558),0.0,2009.0
1720,新街口 Xīnjiēkǒu,POINT(116.36118694052381 39.939097839856856),0.0,2009.0
1775,平安里 Ping'anli,POINT(116.36504340758678 39.93113612212882),0.0,2012.0
1722,西四 Xīsì,POINT(116.36722264490538 39.92170609104952),0.0,2009.0
1726,宣武门 Xuānwǔmén,POINT(116.36828257232492 39.89794814103304),0.0,2009.0
1764,天通苑 Tiantongyuan,POINT(116.406462345019 40.07373495512864),0.0,2007.0
1762,立水桥 Lìshuǐqiáo,POINT(116.4060177686232 40.05170789009197),0.0,2007.0
1761,立水桥南 Lìshuǐqiáo Nán (Lishuiqiao South),POINT(116.40803542655712 40.04084843596263),0.0,2007.0
1760,北苑路北 Běiyuànlù Běi (Beiyuanlu North),POINT(116.4119735476207 40.02893658763608),0.0,2007.0
1759,大屯路东 Dàtúnlù Dōng (Datunlu East),POINT(116.41100056308642 40.00234821654465),0.0,2007.0
1758,惠新西街北口 Huìxīn Xījiē Běikǒu,POINT(116.41088902186007 39.98592604408038),0.0,2007.0
1756,和平西桥 Hépíng Xīqiáo,POINT(116.41191827228428 39.96604744693494),0.0,2007.0
1752,张自忠路 Zhāngzìzhōng Lù,POINT(116.4109270807171 39.93188780942083),0.0,2007.0
1769,慈寿寺 Císhòusì,POINT(116.28842360746376 39.93156434623735),0.0,2012.0
1771,白石桥南 Èrlǐgōu,POINT(116.32717308559015 39.93113315549492),0.0,2022.0
1773,车公庄西 Chēgōngzhuāng Xī (Chegongzhuang West),POINT(116.33814336052339 39.93106010334201),0.0,2012.0
1777,南锣鼓巷 Nánluógǔ Xiàng,POINT(116.39630942724776 39.93167),0.0,2012.0
1891,湾子 Wānzǐ,POINT(116.32125966746577 39.88876798904016),0.0,2014.0
23561,金鱼胡同 Jīnyú Hútòng,POINT(116.4049744846858 39.91427283611105),0.0,2021.0
1888,六里桥 Liùlǐqiáo,POINT(116.29680379992408 39.878919700485625),0.0,2012.0
1879,草桥 Cǎoqiáo,POINT(116.34540047349344 39.84476767005643),0.0,2012.0
1885,西钓鱼台 Xīdiàoyútái,POINT(116.29176645435942 39.92186189318059),0.0,2012.0
1755,和平里北街 Hépínglǐ Běijiē,POINT(116.41206894277929 39.957159960887225),0.0,2007.0
23562,王府井 Wángfǔjǐng,POINT(116.40518 39.907810889099004),0.0,2021.0
23563,前门 Qiánmén,POINT(116.39340176046233 39.89851332520763),0.0,2021.0
1739,黄村火车站 Huángcūn Huǒchē zhàn (Huangcun Railway Station),POINT(116.3267327246659 39.7216298049596),0.0,2010.0
23564,Moshikou,POINT(116.14972999822618 39.932315006932555),0.0,999999.0
1719,西直门 Xīzhímén,POINT(116.34950801782537 39.93902639599849),0.0,2009.0
1774,车公庄 Chēgōngzhuāng,POINT(116.35025640083664 39.93106931581579),0.0,2012.0
1717,国家图书馆 Guójiā Túshūguǎn (National Library),POINT(116.31881100267972 39.94366768192745),0.0,2009.0
1727,陶然亭 Táorántíng,POINT(116.36823593991235 39.87701069866685),0.0,2009.0
1729,马家堡 Mǎjiāpù,POINT(116.36515049121313 39.851557331308506),0.0,2009.0
1878,角门西 Jiǎomén Xī (Jiaomen West),POINT(116.36481699758515 39.8444622528625),0.0,2012.0
