id_station,name,geometry,mode,opening
11746,Ashmont,POINT(-71.06347346061678 42.283827237166406),0.0,1928.0
15074,North Station,POINT(-71.0619222882767 42.36605253878724),0.0,1893.0
14863,Downtown Crossing,POINT(-71.06051048626259 42.35546175010131),1.0,1908.0
14764,Babcock Street,POINT(-71.12137628473566 42.351823364579815),0.0,1896.0
14765,Pleasant Street,POINT(-71.11861887280831 42.35148603136665),0.0,1896.0
14766,St. Paul Street,POINT(-71.11591043129931 42.351155951447254),0.0,1896.0
14835,Longwood Medical Area,POINT(-71.10018831830561 42.335878565344245),0.0,1883.0
14836,Brigham Circle,POINT(-71.10414493368658 42.334405989951435),0.0,1859.0
14865,Green Street,POINT(-71.10727974550693 42.31029721728265),0.0,1987.0
14872,Back Bay,POINT(-71.0752090111128 42.347243979750914),0.0,1987.0
14876,Rowes Wharf,POINT(-71.05012388762812 42.35701623760653),0.0,1901.0
14869,Roxbury Crossing,POINT(-71.09527284784069 42.33120611679817),0.0,1987.0
14870,Ruggles,POINT(-71.08921384904461 42.336515913816754),0.0,1987.0
14867,Stony Brook,POINT(-71.10403862389752 42.31719720211311),0.0,1987.0
14868,Jackson Square,POINT(-71.09990727120069 42.32275010616786),0.0,1987.0
14871,Massachusetts Avenue,POINT(-71.08307700269107 42.34151808005663),0.0,1987.0
14898,Orient Heights,POINT(-71.0047029678721 42.386936292786714),0.0,1952.0
14899,Airport,POINT(-71.03026551675617 42.374387547422),0.0,1952.0
14900,Government Center,POINT(-71.05967110947091 42.3593518612338),0.0,1916.0
14901,Bowdoin,POINT(-71.06215169004612 42.36121009048807),0.0,1916.0
14904,Yawkey,POINT(-71.09962795150625 42.347586792712775),0.0,1988.0
14934,Harvard,POINT(-71.11875191223001 42.37354363974836),0.0,1912.0
14935,Central,POINT(-71.10368907391933 42.365431466373764),0.0,1912.0
14936,Kendall/MIT,POINT(-71.08595805711431 42.362405423266125),0.0,1912.0
14937,Charles/MGH,POINT(-71.07055452593426 42.361125744917956),0.0,1932.0
15159,Ayer,POINT(-71.58848800298023 42.55902305365632),0.0,1980.0
15160,Ayer,POINT(-71.58849431131709 42.55908810607775),0.0,1845.0
15087,Concord,POINT(-71.35776456984229 42.4566458322694),0.0,1845.0
15161,South Acton,POINT(-71.45870980829069 42.460441383287474),0.0,1976.0
15175,Pawtucket-Central Falls,POINT(-71.38605606274514 41.88341854969684),0.0,1916.0
15177,Dodgeville,POINT(-71.3012379656056 41.91781467513093),0.0,1847.0
15178,Hebronville,POINT(-71.31968417150986 41.904047912039005),0.0,1847.0
15179,Central Falls,POINT(-71.38547511211344 41.88609921778712),0.0,1847.0
15176,Providence,POINT(-71.41328260973998 41.82911241446379),0.0,1988.0
11748,Butler,POINT(-71.0593466524429 42.274581439029696),0.0,1929.0
11749,Milton,POINT(-71.06614161973386 42.27064834147589),0.0,1929.0
11750,Central Avenue,POINT(-71.07302123283834 42.27012899747575),0.0,1929.0
11751,Valley Road,POINT(-71.08153027103002 42.26842311597878),0.0,1929.0
11752,Capen Street,POINT(-71.08739246908583 42.26756236393851),0.0,1929.0
11753,Mattapan,POINT(-71.0932207665049 42.26744880954317),0.0,1929.0
11747,Cedar Grove,POINT(-71.06082124510702 42.27996315874742),0.0,1929.0
14747,Babcock Street,POINT(-71.1213835391638 42.35178958800597),0.0,1900.0
14722,Waban,POINT(-71.23094817094531 42.32601226637115),0.0,1959.0
14723,Eliot,POINT(-71.21568056790618 42.3185341836205),0.0,1959.0
14751,Boston University Central,POINT(-71.1068558950317 42.35004702223944),0.0,1900.0
14724,Newton Highlands,POINT(-71.20558169178261 42.32224194715221),0.0,1959.0
14735,South Street,POINT(-71.1577754448696 42.33961816854122),0.0,1896.0
14707,Longwood,POINT(-71.10999634867463 42.34146301598099),0.0,1847.0
14713,Chestnut Hill,POINT(-71.1652157833956 42.32659962498609),0.0,1852.0
14736,Chestnut Avenue,POINT(-71.15317393421545 42.33815625042408),0.0,1896.0
14710,Brookline Hills,POINT(-71.12604699976706 42.33116862965616),0.0,1852.0
14709,Newton Highlands,POINT(-71.20534347642261 42.322204290607516),0.0,1852.0
14726,Chestnut Hill,POINT(-71.16535827890178 42.3266683841066),0.0,1959.0
14711,Beaconsfield,POINT(-71.14056402213983 42.335737593894464),0.0,1906.0
14725,Newton Centre,POINT(-71.19221589220409 42.32946277825177),0.0,1959.0
14712,Reservoir,POINT(-71.14951679356437 42.334821130064284),0.0,1852.0
14749,St. Paul Street,POINT(-71.11590934245176 42.35113202163038),0.0,1900.0
14737,Chiswick Road,POINT(-71.15082134214414 42.34068511164568),0.0,1900.0
14714,Newton Centre,POINT(-71.19116204890256 42.329788724357286),0.0,1852.0
14727,Reservoir,POINT(-71.14959565490517 42.334888988772434),0.0,1959.0
14715,Waban,POINT(-71.23091493755813 42.32583508061734),0.0,1886.0
14716,Woodland,POINT(-71.24392429744104 42.33306479779634),0.0,1886.0
14728,Beaconsfield,POINT(-71.14068460615573 42.335827641899016),0.0,1959.0
