id_station,name,geometry,mode,opening
35119,Basarab,POINT(26.068563233192435 44.450536591342825),0.0,1992.0
35122,Piața Romană,POINT(26.09767977536626 44.4453718492189),0.0,1988.0
35123,Universitate,POINT(26.1024431579728 44.43551638283526),0.0,1987.0
35124,Piața Unirii,POINT(26.104015866239195 44.42784568269343),0.0,1986.0
35121,Gara de Nord,POINT(26.076313606648142 44.44708507517808),0.0,1987.0
35120,Gara de Nord,POINT(26.074149528542222 44.4471422175252),0.0,2000.0
35125,Piața Unirii,POINT(26.101821498497316 44.427606196194404),0.0,1979.0
35126,Piața Victoriei,POINT(26.087073302560725 44.451868164053565),0.0,1989.0
35127,Piața Victoriei,POINT(26.08636059821012 44.45270281918488),0.0,1987.0
35128,Timpuri Noi,POINT(26.113378427281788 44.416851159932605),0.0,1979.0
35129,Izvor,POINT(26.08961365684948 44.43309037313733),0.0,1979.0
35130,Eroilor,POINT(26.075544677859483 44.435113501019316),0.0,1979.0
35131,Eroilor,POINT(26.074238826101862 44.43509021353864),0.0,2020.0
35132,Grozăvești,POINT(26.05993565258774 44.44289459829966),0.0,1979.0
35133,Petrache Poenaru,POINT(26.0465405610787 44.445308029315896),0.0,1979.0
35134,Crângași,POINT(26.04700614738269 44.451985838436286),0.0,1984.0
35135,Politehnica,POINT(26.055468083214294 44.43532564171343),0.0,1983.0
35136,Lujerului,POINT(26.032411430201734 44.434219259368916),0.0,1983.0
35137,Gorjului,POINT(26.02117840168563 44.434066736200435),0.0,1994.0
35138,Păcii,POINT(26.004115589829496 44.433842027983104),0.0,1983.0
35139,Preciziei,POINT(25.9908670244034 44.43056815634503),0.0,1983.0
35140,Academia Militară,POINT(26.062913039466423 44.428851561219176),0.0,2020.0
35141,Orizont,POINT(26.055875121929603 44.42583755100631),0.0,2020.0
35142,Favorit,POINT(26.04843940202599 44.424672804941395),0.0,2020.0
35143,Tudor Vladimirescu,POINT(26.041344662042007 44.42306556274838),0.0,2020.0
35144,Parc Drumul Taberei,POINT(26.033887745199507 44.422252137350796),0.0,2020.0
35145,Romancierilor,POINT(26.02462547447513 44.42310530482308),0.0,2020.0
35146,Valea Ialomiței,POINT(26.015066895105377 44.42111619832852),0.0,2020.0
35147,Constantin Brâncuși,POINT(26.02015266289871 44.41909863798031),0.0,2020.0
35148,Râul Doamnei,POINT(26.024257362744493 44.41517786030033),0.0,2020.0
35149,Mihai Bravu,POINT(26.125883350022264 44.41116380332261),0.0,1981.0
35150,Dristor,POINT(26.14020544939484 44.41933733237292),0.0,1981.0
35151,Dristor,POINT(26.139314009541238 44.42038593374386),0.0,1989.0
35152,Nicolae Grigorescu,POINT(26.160918554635117 44.41357388959614),0.0,1981.0
35153,Grivița,POINT(26.057582242811804 44.46173479650153),0.0,2000.0
35154,1 Mai,POINT(26.050779975221076 44.470413512117545),0.0,2000.0
35155,Tineretului,POINT(26.104602335883555 44.41538761586406),0.0,1986.0
35156,Eroii Revoluției,POINT(26.09662046487469 44.403817423481854),0.0,1986.0
35157,Constantin Brâncoveanu,POINT(26.10913646046484 44.39856538902396),0.0,1988.0
35158,Piața Sudului,POINT(26.12236430144111 44.39274774247204),0.0,1986.0
35159,Apărătorii Patriei,POINT(26.134975036850562 44.37929370876196),0.0,1986.0
35160,Dimitrie Leonida,POINT(26.143425274057336 44.368693795860395),0.0,1986.0
35161,Berceni,POINT(26.14921711530846 44.361180900567575),0.0,1986.0
35162,Aviatorilor,POINT(26.086449173345642 44.46540835971334),0.0,1987.0
35163,Aurel Vlaicu,POINT(26.100254811679207 44.47911769987277),0.0,1987.0
35164,Pipera,POINT(26.11650812415823 44.48067284691646),0.0,1987.0
35165,Titan,POINT(26.16304723044766 44.42512778247183),0.0,1981.0
35166,Costin Georgian,POINT(26.169155751017712 44.435399142778124),0.0,1981.0
35167,Republica,POINT(26.185246155551653 44.43432973915128),0.0,1981.0
35168,Pantelimon,POINT(26.192528440902976 44.440621059949166),0.0,1991.0
35169,Ștefan cel Mare,POINT(26.104704636481443 44.45279317887258),0.0,1989.0
35170,Obor,POINT(26.124571719487562 44.449423818043954),0.0,1989.0
35171,Piața Iancului,POINT(26.132358426948144 44.441724913657595),0.0,1989.0
35172,Piața Muncii,POINT(26.138683257902017 44.43183059648925),0.0,1989.0
35174,Nicolae Teclu,POINT(26.194307585545346 44.40730028510825),0.0,2008.0
35175,Anghel Saligny,POINT(26.209517069427307 44.40537287265798),0.0,2008.0
35176,Tudor Arghezi,POINT(26.159559108574143 44.34766168195364),0.0,2023.0
35177,Jiului,POINT(26.04140657504712 44.48187565251163),0.0,2011.0
35178,Parc Bazilescu,POINT(26.037683437832243 44.486693872541935),0.0,2011.0
35179,Laminorului,POINT(26.031933984495623 44.494324724113085),0.0,2017.0
35180,Străulești,POINT(26.026374059587113 44.50147865839929),0.0,2017.0
