id_station,name,geometry,mode,opening
22824,Special Events,POINT(-78.8773800318038 42.87651553035491),0.0,1985.0
22825,Erie Canal Harbor,POINT(-78.8769557233055 42.87780712396946),0.0,1984.0
22826,Merchants Insurance @ Seneca,POINT(-78.8758104499225 42.88122232597706),0.0,1984.0
22827,Church,POINT(-78.87499473995086 42.88379549382765),0.0,1984.0
22828,Evans Bank @ Lafayette Square,POINT(-78.87415621892092 42.88638210277071),0.0,1984.0
22829,Fountain Plaza,POINT(-78.87315289804573 42.88945095448935),0.0,1984.0
22830,Theater,POINT(-78.8723594579456 42.89189294232958),0.0,1984.0
22831,Allen/Medical Campus,POINT(-78.869867275094 42.899621412302025),0.0,1985.0
22832,Summer-Best,POINT(-78.86811977835822 42.904801393636006),0.0,1985.0
22833,Utica,POINT(-78.86585337271264 42.91149437284437),0.0,1985.0
22834,Delavan/Canisius College,POINT(-78.85692985205881 42.92254718050137),0.0,1985.0
22835,Humboldt-Hospital,POINT(-78.85170722991592 42.927485527658746),0.0,1985.0
22836,Amherst Street,POINT(-78.83796246221853 42.94025533703805),0.0,1985.0
22837,LaSalle,POINT(-78.83019822879139 42.94731290475352),0.0,1986.0
22838,University,POINT(-78.82025255443996 42.954571084520694),0.0,1986.0
