id_station,name,geometry,mode,opening
33612,Sadat,POINT(31.235741932501355 30.044066433337306),0.0,1987.0
33613,Attaba,POINT(31.246825637191705 30.053554346094927),0.0,1996.0
33614,Nasser,POINT(31.238809040440486 30.053475195971217),0.0,1987.0
38559,Wadi El Nile,POINT(31.199641990377277 30.060465973774214),0.0,
33702,Bulaq El-Dakroor,POINT(31.195667364078112 30.036851482292487),0.0,2024.0
34554,War Veterans,POINT(31.355604229457526 30.040670391241875),0.0,
34550,Marshal Tantawy,POINT(31.38342611335372 30.019103876347145),0.0,
38560,Bashteel,POINT(31.187347695359193 30.062041172532076),0.0,
33703,Nativity Cathedral,POINT(31.71594357998595 29.979495498213794),0.0,
38561,Octagon,POINT(31.68765945024964 29.959681744869798),0.0,
38562,Central Capital,POINT(31.716021388329324 29.88498586617044),0.0,
38563,International Sports City,POINT(31.694821512712508 29.89617870249252),0.0,
33750,Mariouteya,POINT(31.130982164928167 30.065668933976195),0.0,
33742,Cairo-Alexandria Desert Road,POINT(31.05402875926211 30.046750818946663),0.0,
33743,Hyper One,POINT(31.02215314084441 30.02847104468053),0.0,
33744,Nile University,POINT(30.98724751256401 30.00894721014602),0.0,
33745,Engineers Association,POINT(30.963020538712044 29.996423752360684),0.0,
33746,6th of October City Authority,POINT(30.942457241526014 29.975134252114426),0.0,
33747,Sadat,POINT(30.908020071947618 29.952751396567336),0.0,
33749,Industrial Zone,POINT(30.88373412103971 29.936948904480104),0.0,
33748,New October,POINT(30.84054333275415 29.907502963600123),0.0,
34551,Air Force Hospital,POINT(31.433138252451982 30.016243203462338),0.0,
34553,Narjis District,POINT(31.459986439039398 30.025468931377986),0.0,
34552,Mohammed Naguib,POINT(31.490879643064602 30.025314104499245),0.0,
34549,Egypt Mosque,POINT(31.750577218453913 29.994865426516498),0.0,
