id_station,name,geometry,mode,opening
17934,Tyvola,POINT(-80.87753845256906 35.16291786019039),0.0,2007.0
17933,Archdale,POINT(-80.87753690652714 35.15286136093913),0.0,2007.0
17932,Arrowood,POINT(-80.87634591814964 35.13562096850893),0.0,2007.0
17931,Sharon Rd. West,POINT(-80.88195658205618 35.119641378664454),0.0,2007.0
17930,I-485/South Blvd.,POINT(-80.88288899994323 35.10702913858856),0.0,2007.0
17939,Bland St.,POINT(-80.85525436517163 35.215735729638766),0.0,2007.0
17938,East/West Blvd.,POINT(-80.85913495258767 35.21201092508312),0.0,2007.0
17937,New Bern,POINT(-80.86910303907072 35.19965247746194),0.0,2007.0
17936,Scaleybark,POINT(-80.87500965408648 35.190839763719936),0.0,2007.0
17935,Woodlawn,POINT(-80.87911153707408 35.17576017819471),0.0,2007.0
18097,Hawthorne & 8th,POINT(-80.82132659946573 35.21640819918963),0.0,2021.0
18098,Sunnyside Ave.,POINT(-80.81876196763585 35.22003841311336),0.0,2021.0
18099,Tryon St.,POINT(-80.84305296544235 35.22718425376756),0.0,2021.0
18100,Mint St.,POINT(-80.8457587895943 35.22951936018431),0.0,2021.0
18101,Charlotte Gateway Station,POINT(-80.8483590202191 35.231767310886326),0.0,2021.0
18102,Johnson & Wales,POINT(-80.85012284823479 35.233116436369),0.0,2021.0
18103,Irwin,POINT(-80.85255951139861 35.23485439680425),0.0,2021.0
18104,Wesley Heights,POINT(-80.85885957768687 35.23753124317868),0.0,2021.0
18105,Bruns,POINT(-80.85845497117465 35.239979962111846),0.0,2021.0
18106,Johnson C. Smith University,POINT(-80.8581097428402 35.24370716839337),0.0,2021.0
18107,French St.,POINT(-80.85684635407856 35.24658222431975),0.0,2021.0
