id_station,name,geometry,mode,opening
30961,New Washermanpet,POINT(80.2930205 13.1345123),,
30956,Tondiarpet Metro,POINT(80.2888383 13.1245289),,
30957,Wimco Nagar Metro,POINT(80.3073683 13.1792864),,
30958,Thiruvottriyur Metro,POINT(80.3052869 13.1717989),,
30959,Kaladipet,POINT(80.2994102 13.1506607),,
30960,Tollgate,POINT(80.2963435 13.1431299),,
30949,Little Mount,POINT(80.2241682 13.0146226),0.0,2016.0
30950,Guindy Metro,POINT(80.2130891 13.0092464),0.0,2016.0
30948,Nanganallur Road,POINT(80.1940028 12.9998483),0.0,2016.0
30953,Meenambakkam Metro,POINT(80.1764698 12.9876388),0.0,2016.0
30951,Alandur,POINT(80.2015605 13.0042124),0.0,2016.0
30954,Alandur,POINT(80.2015164 13.0042275),0.0,2015.0
30932,Saidapet,POINT(80.2280916 13.0239394),0.0,2018.0
30935,AG-DMS,POINT(80.2483032 13.0458615),0.0,2018.0
30934,Teynampet,POINT(80.2464553 13.0368085),0.0,2018.0
30933,Nandanam,POINT(80.2411933 13.0316813),0.0,2018.0
30944,Central Metro,POINT(80.273894 13.081782),0.0,2018.0
30943,Thousand Lights,POINT(80.258773 13.0585796),0.0,2019.0
30942,LIC,POINT(80.265862 13.0643478),0.0,2019.0
30941,Government Estate,POINT(80.2731105 13.0696147),0.0,2019.0
30940,Central Metro,POINT(80.2739208 13.08167),0.0,2019.0
30947,High Court,POINT(80.2849935 13.0872079),0.0,2019.0
30945,Mannadi,POINT(80.2861592 13.0953587),0.0,2019.0
30955,Shenoy Nagar,POINT(80.2251765 13.0785966),0.0,2017.0
30952,Airport,POINT(80.1641832 12.9807725),0.0,2016.0
30946,Washermanpet,POINT(80.2811473 13.1083835),0.0,2019.0
30962,Tondiarpet Metro,POINT(80.2888785 13.1245171),0.0,2021.0
30963,Sir Theagaraya College,POINT(80.284756 13.1157558),,
30964,Sir Theagaraya College,POINT(80.2847109 13.1157667),0.0,2021.0
30965,New Washermanpet,POINT(80.2929776 13.1345238),,2021.0
30966,Tollgate,POINT(80.296314 13.1431384),0.0,2021.0
30967,Kaladipet,POINT(80.2993728 13.1506701),0.0,2021.0
30968,Thiruvottriyur Metro,POINT(80.3052521 13.1718029),0.0,2021.0
30969,Wimco Nagar Metro,POINT(80.307318 13.1792941),0.0,2021.0
41696,Kotturpuram,POINT(80.2484112 13.0145658),,
41697,Greenways Road,POINT(80.252532 13.0214925),,
41698,Kasturiba Nagar,POINT(80.2477555 13.0062918),,
