id_station,name,geometry,mode,opening
19671,Córdoba,POINT(-64.1750403771368 -31.420449524845466),0.0,2004.0
19672,Toledo,POINT(-64.00952963230809 -31.556224417725502),0.0,2004.0
19673,Río Segundo,POINT(-63.91034792371606 -31.653794464039663),0.0,2004.0
19674,Pilar,POINT(-63.88539502520372 -31.682534500774118),0.0,2004.0
19675,Laguna Larga,POINT(-63.802779008400975 -31.77725512209426),0.0,2004.0
19676,Manfredi,POINT(-63.74532232253175 -31.842997549364902),0.0,2004.0
19677,Oncativo,POINT(-63.68324424513983 -31.913995702888613),0.0,2004.0
19678,Oliva,POINT(-63.57123157939212 -32.041845518384264),0.0,2004.0
19679,James Craik,POINT(-63.46381225913919 -32.16404020669727),0.0,2004.0
19680,Tío Pujio,POINT(-63.35507348868944 -32.287632494339086),0.0,2004.0
19681,Villa María,POINT(-63.2446842611445 -32.412639694636816),0.0,2004.0
