id_station,name,geometry,mode,opening
28005,Greystones,POINT(-6.060818363246159 53.14405103530442),0.0,1855.0
28006,Bray Daly,POINT(-6.100532748851885 53.20433178374636),0.0,1854.0
28008,St. Stephen's Green,POINT(-6.261328465734138 53.33906755895479),0.0,2004.0
28009,Harcourt,POINT(-6.262595332344525 53.333358286926796),0.0,2004.0
28010,Charlemont,POINT(-6.258677115747809 53.33073345918186),0.0,2004.0
28011,Ranelagh,POINT(-6.25619675410924 53.32645027131913),0.0,2004.0
28013,Beechwood,POINT(-6.254633800384018 53.3209465459509),0.0,2002.0
28012,Cowper,POINT(-6.253422173326461 53.31648066794121),0.0,2004.0
28014,Milltown,POINT(-6.251726446204686 53.31003622430446),0.0,2004.0
28015,Windy Arbour,POINT(-6.250699637294252 53.3016717047247),0.0,2004.0
28016,Dundrum,POINT(-6.245146023827536 53.29238745326053),0.0,2002.0
28017,Balally,POINT(-6.236716521792906 53.28605502229848),0.0,2004.0
28018,Kilmacud,POINT(-6.223791631987948 53.282983251388494),0.0,2004.0
28019,Stillorgan,POINT(-6.210173662109927 53.27938632727408),0.0,2004.0
28020,Sandyford,POINT(-6.204903999027724 53.27767288597727),0.0,2004.0
28007,Grand Canal Dock,POINT(-6.237924043939849 53.33970698495594),0.0,2001.0
28021,Central Park,POINT(-6.203644089831908 53.27022180483985),0.0,2010.0
28022,Glencairn,POINT(-6.210006626606844 53.26627566611772),0.0,2010.0
28023,The Gallops,POINT(-6.205956133438355 53.26113529698432),0.0,2010.0
28024,Leopardstown Valley,POINT(-6.198400227965668 53.258263271157894),0.0,2010.0
28025,Ballyogan Wood,POINT(-6.184507883897032 53.25502959186659),0.0,2010.0
28026,Tara Street,POINT(-6.254278965487814 53.34714009245607),0.0,
28027,Dublin Pearse,POINT(-6.248518155464954 53.34335638399086),0.0,
32561,Dublin Heuston,POINT(-6.29340923331813 53.34646477168744),0.0,1846.0
