id_station,name,geometry,mode,opening
25262,Xianghu,POINT(120.22977297691148 30.1708840352846),0.0,2012.0
25263,Binkang Road,POINT(120.22640156135014 30.18596904344217),0.0,2012.0
25264,Xixing,POINT(120.2160788285646 30.189778443669866),0.0,2012.0
25265,Binhe Road,POINT(120.21312618651802 30.20105941901548),0.0,2012.0
25266,Jiangling Road,POINT(120.21190515300367 30.2120557585166),0.0,2012.0
25267,Jinjiang,POINT(120.19261784871225 30.2338501713687),0.0,2012.0
25268,Wujiang Road,POINT(120.18640513289051 30.239227901470798),0.0,2012.0
25269,Chengzhan,POINT(120.17635617415743 30.247087110372988),0.0,2012.0
25270,Ding'an Road,POINT(120.16282495029566 30.24825050683951),0.0,2012.0
25271,Longxiangqiao,POINT(120.15936578619886 30.256995044018325),0.0,2012.0
25272,Fengqi Road,POINT(120.15890022237204 30.2659804993974),0.0,2012.0
25273,Wulin Square,POINT(120.1597669829805 30.274379490854614),0.0,2012.0
25275,Datieguan,POINT(120.1703343875036 30.287883282581703),0.0,2012.0
25274,West Lake Cultural Square,POINT(120.16097264215836 30.28206092676443),0.0,2012.0
25276,Zhalongkou,POINT(120.1879432036273 30.287058167484446),0.0,2012.0
25277,East Railway Station,POINT(120.21143364359162 30.29512883101102),0.0,2013.0
25278,Pengbu,POINT(120.21918147068476 30.29648268346301),0.0,2012.0
25279,Qibao,POINT(120.23619222043965 30.302188360708683),0.0,2012.0
25280,Jiuhe Road,POINT(120.24749489534167 30.307634854975134),0.0,2012.0
25281,Jiubao,POINT(120.26113315691589 30.310336096405848),0.0,2012.0
25282,Coach Center,POINT(120.27414020032182 30.314306698321545),0.0,2012.0
25287,West Xiasha,POINT(120.30815766541497 30.312221671389096),0.0,2012.0
25288,Jinshahu,POINT(120.31977558058344 30.31159046380087),0.0,2012.0
25290,Wenze Road,POINT(120.34373288958017 30.312333501520868),0.0,2012.0
25291,South Wenhai Road,POINT(120.3687033688073 30.313391153459165),0.0,2012.0
25292,Yunshui,POINT(120.37707547240097 30.305996397633848),0.0,2015.0
25293,Xiasha Jiangbin,POINT(120.37718810529395 30.28789827140689),0.0,2015.0
25294,Hangzhou Grand Convention and Exhibition Center,POINT(120.40768150812465 30.27348396846409),0.0,2020.0
25295,Gangcheng Avenue,POINT(120.42213123126118 30.272940381904647),0.0,2020.0
25296,Nanyang,POINT(120.43211759546728 30.27242283134484),0.0,2020.0
25289,Gaosha Road,POINT(120.32786326404357 30.31176904352975),0.0,2012.0
25297,Xiangyang Road,POINT(120.43794097910813 30.26220936855708),0.0,2020.0
25298,Xiaoshan International Airport,POINT(120.42599086529827 30.23630412029165),0.0,2020.0
25301,Chaoyang,POINT(120.26422108725603 30.124175484970877),0.0,2014.0
25302,Caojiaqiao,POINT(120.26320723301939 30.13644585260562),0.0,2014.0
25303,Panshui,POINT(120.2631266920364 30.150910353527095),0.0,2014.0
25304,Renmin Road,POINT(120.26302772918768 30.161489324481295),0.0,2014.0
25305,Hangfachang,POINT(120.26267118535498 30.17388903320783),0.0,2014.0
25306,People Square,POINT(120.26231268109149 30.18237769482063),0.0,2014.0
25312,Qianjiang Century City,POINT(120.23955221911757 30.24357158038724),0.0,2016.0
25316,Fengqi Road,POINT(120.15765336942127 30.266156643240635),0.0,2017.0
25317,Qingling Road,POINT(120.18834189812429 30.260050870951417),0.0,2017.0
25318,North Zhonghe Road,POINT(120.16717290250284 30.26695718455666),0.0,2017.0
25319,Wulinmen,POINT(120.15076446327134 30.271669378535123),0.0,2017.0
25320,Shentangqiao,POINT(120.1457547821426 30.282117107927647),0.0,2017.0
25321,Xianing Bridge,POINT(120.13515297144312 30.285559612271072),0.0,2017.0
25323,Gucui Road,POINT(120.11292373299881 30.284529805351255),0.0,2017.0
25324,Fengtan Road,POINT(120.10482862842588 30.284297611603947),0.0,2017.0
25325,Wenxin,POINT(120.09345710396173 30.291316822354048),0.0,2017.0
25326,Sanba,POINT(120.09311414711061 30.302274507979476),0.0,2017.0
25328,Sandun,POINT(120.08816612447941 30.322162166342977),0.0,2017.0
25329,Dunxiang Street,POINT(120.08260324439613 30.33442156963052),0.0,2017.0
25330,Jinjiadu,POINT(120.07902197888023 30.341318902633603),0.0,2017.0
25331,Baiyang,POINT(120.06752909734462 30.354198895219838),0.0,2017.0
25332,Dufucun,POINT(120.05274625743363 30.36120690825568),0.0,2017.0
25333,Liangzhu,POINT(120.03557138818576 30.36149411423257),0.0,2017.0
25327,Xialongwei,POINT(120.09152369288341 30.312081196634523),0.0,2017.0
25322,Xueyuan Road,POINT(120.125070043297 30.28498224979127),0.0,2017.0
25307,Jiansheyi Road,POINT(120.26204196585974 30.19670861703284),0.0,2014.0
25308,Jianshesan Road,POINT(120.26366240322244 30.20634848931074),0.0,2014.0
25309,Zhenning Road,POINT(120.26493664482479 30.21967349330515),0.0,2014.0
25310,Feihong Road,POINT(120.25881526612443 30.233474467000278),0.0,2014.0
25311,Yingfeng Road,POINT(120.25133178300666 30.237510414390584),0.0,2014.0
25313,Qianjiang Road,POINT(120.20959135182 30.257979696287407),0.0,2014.0
25314,Qingchun Square,POINT(120.19681702035797 30.260074513658296),0.0,2017.0
25334,Pengbu,POINT(120.21917667760414 30.296280458839263),0.0,2015.0
25335,East Railway Station,POINT(120.21165847555307 30.294740547545658),0.0,2015.0
25336,Xinfeng,POINT(120.20377396662616 30.290091031004366),0.0,2015.0
25337,Xintang,POINT(120.20264050822118 30.278422837755798),0.0,2015.0
25338,Jingfang,POINT(120.20324459408681 30.268451854875153),0.0,2015.0
25339,Qianjiang Road,POINT(120.20964958668213 30.25825307514573),0.0,2015.0
25340,Citizen Center,POINT(120.20664241608881 30.24718438408094),0.0,2015.0
25342,Jiangjin Road,POINT(120.21122940755305 30.2520460696596),0.0,2015.0
25341,Chengxing Road,POINT(120.20175683893633 30.241482729649302),0.0,2015.0
25315,Jianguo North Road,POINT(120.17702670081997 30.266690929226243),0.0,2017.0
25343,Jinjiang,POINT(120.19335430013615 30.233359494860167),,2015.0
25344,Yongjiang Road,POINT(120.18443968517204 30.225438391673308),0.0,2014.0
25347,Shuicheng Bridge,POINT(120.14715271838247 30.206329227153603),0.0,2015.0
25346,Fuxing Road,POINT(120.15958813169442 30.213039969942855),0.0,2015.0
25345,Nanxingqiao,POINT(120.17255688654069 30.21965136556517),0.0,2015.0
25348,Lianzhuang,POINT(120.14702296698397 30.18815612407188),0.0,2015.0
25349,Zhejiang Chinese Medical University,POINT(120.14175201338531 30.177036551955354),0.0,2015.0
25350,Yangjiadun,POINT(120.14419081775242 30.170149417395876),0.0,2015.0
25351,Puyan,POINT(120.14965155852747 30.16016040303603),0.0,2015.0
