id_station,name,geometry,mode,opening
36391,Porvoonkatu,POINT(24.94532 60.190762092245464),0.0,1972.0
36397,Karhupuisto,POINT(24.952417302220226 60.18369841094497),0.0,1972.0
36400,Hakaniemi,POINT(24.950169070590704 60.17908456857424),0.0,1972.0
23672,Myllypuro,POINT(25.0760257 60.2245421),0.0,1986.0
42486,Haakoninlahti,POINT(25.01704101145006 60.16285717098225),0.0,2027.0
36269,Saukonkatu,POINT(24.9112420710959 60.15660267076291),0.0,2021.0
40407,Tahitinkatu,POINT(24.908843341140795 60.15283905966902),0.0,2024.0
23651,Sörnäinen,POINT(24.959920358373203 60.18764924049968),0.0,
23625,Lauttasaari,POINT(24.8775184 60.1593126),0.0,
23627,Koivusaari,POINT(24.8542296 60.1633866),0.0,
23626,Lauttasaari,POINT(24.8793291 60.1594623),0.0,
23628,Koivusaari,POINT(24.8533041 60.1637417),0.0,
23645,Helsinki,POINT(24.9414913 60.1717271),,
23646,Helsinki,POINT(24.9415834 60.1717295),,
23649,Ruoholahti,POINT(24.9166576 60.1630845),0.0,
23650,Sörnäinen,POINT(24.9600336 60.1869231),0.0,
23654,Helsingin yliopisto,POINT(24.9493423 60.1728248),0.0,
23662,Kalasatama,POINT(24.9779495 60.1873494),0.0,
23667,Herttoniemi,POINT(25.0311416 60.1949113),0.0,
23668,Itäkeskus,POINT(25.0778265 60.2100486),0.0,
23748,Savio,POINT(25.0975911 60.3804147),0.0,2004.0
23721,Rekola,POINT(25.0683644 60.3325771),0.0,2004.0
23677,Kontula,POINT(25.0842844 60.2360866),0.0,
23637,Matinkylä,POINT(24.7394974 60.1596837),0.0,
37528,Kaitaa,POINT(24.6900773 60.1493457),,
23636,Urheilupuisto,POINT(24.7823804 60.1744566),0.0,
23658,Kamppi,POINT(24.9328074 60.1691095),0.0,
23656,Rautatientori,POINT(24.9404669 60.1702606),0.0,
23653,Hakaniemi,POINT(24.9502811 60.1810998),0.0,
23660,Kulosaari,POINT(25.008992 60.1888733),0.0,
23664,Siilitie,POINT(25.0446948 60.2056824),0.0,
23720,Koivukylä,POINT(25.0598861 60.3233178),0.0,2004.0
23717,Hiekkaharju,POINT(25.049200790994863 60.3030683511196),0.0,2004.0
