id_station,name,geometry,mode,opening
41001,Tân Bình,POINT(106.63067246051588 10.820592910067617),0.0,
41002,Phạm Văn Bạch,POINT(106.63266061431966 10.814089862894491),0.0,
41003,Bà Quẹo,POINT(106.63518821718844 10.80582716209338),0.0,
41004,Nguyễn Hồng Đào,POINT(106.64374047594714 10.798216223346827),0.0,
41005,Bảy Hiền,POINT(106.65203637431097 10.79361853922667),0.0,
41006,Phạm Văn Hai,POINT(106.66087960458282 10.788898319147833),0.0,
41007,Lê Thị Riêng,POINT(106.66595333306259 10.786208750303587),0.0,
41008,Hòa Hưng,POINT(106.67456028063458 10.781599661782337),0.0,
41009,Dân Chủ,POINT(106.68206267064619 10.777594578179688),0.0,
41010,Tao Đàn,POINT(106.69091460746989 10.77279930044351),0.0,
35276,Ben Thanh,POINT(106.69737906720309 10.770600453130825),0.0,2024.0
35277,Opera House,POINT(106.70214789135645 10.775473691916758),0.0,2024.0
35278,Ba Son,POINT(106.7080047638139 10.781603749647601),0.0,2024.0
35279,Van Thanh Park,POINT(106.71554126544032 10.796127397524216),0.0,2024.0
35280,Tan Cang,POINT(106.7233007789415 10.798616472927463),0.0,2024.0
35281,Thao Dien,POINT(106.73367801092724 10.800534375285423),0.0,2024.0
35282,An Phu,POINT(106.74234161436323 10.802150470909908),0.0,2024.0
35283,Rach Chiec,POINT(106.7552875152092 10.808541849268892),0.0,2024.0
35284,Phuoc Long,POINT(106.75819585504831 10.821458615189997),0.0,2024.0
35285,Binh Thai,POINT(106.76388592638267 10.832655669925941),0.0,2024.0
35286,Thu Duc,POINT(106.77166733399969 10.84641372138283),0.0,2024.0
35287,High-Tech Park,POINT(106.78888696228097 10.8590462954745),0.0,2024.0
35289,Suối Tiên Terminal,POINT(106.8141143521492 10.879522447966806),0.0,2024.0
35288,National University,POINT(106.80125892362861 10.866340974281485),0.0,2024.0
