id_station,name,geometry,mode,opening
32894,TMC Transit Center,POINT(-95.4029478 29.7046196),0.0,2004.0
32895,UH-Downtown,POINT(-95.3586365 29.7661691),0.0,2004.0
32896,Museum District,POINT(-95.3879756 29.7245984),0.0,2004.0
32897,Wheeler,POINT(-95.3832951 29.7330403),0.0,2004.0
32898,Ensemble/HCC,POINT(-95.3786187 29.7396216),0.0,2004.0
32899,McGowen,POINT(-95.373557 29.7460228),0.0,2004.0
32900,Downtown Transit Center,POINT(-95.3697568 29.7508248),0.0,2004.0
32901,Bell,POINT(-95.3673883 29.7538165),0.0,2004.0
32902,Main Street Square,POINT(-95.3644195 29.7575648),0.0,2004.0
32903,Central Station Main,POINT(-95.3632773 29.759002),0.0,2004.0
32904,Preston,POINT(-95.3608061 29.7621264),0.0,2004.0
32905,Dryden/TMC,POINT(-95.4003308 29.7103744),0.0,2004.0
32906,Memorial Hermann Hospital/Houston Zoo,POINT(-95.3971331 29.7144167),0.0,2004.0
32907,Hermann Park/Rice U,POINT(-95.3933628 29.7202568),0.0,2004.0
32908,Museum District,POINT(-95.389263 29.7245412),0.0,2004.0
32909,Smith Lands,POINT(-95.4048388 29.69679),0.0,2004.0
32910,Stadium Park/Astrodome,POINT(-95.4033392 29.6861991),0.0,2004.0
32911,Fannin South,POINT(-95.4027687 29.6732934),0.0,2004.0
32912,Burnett Transit Center,POINT(-95.3593555 29.7721209),0.0,2013.0
32913,Melbourne/North Lindale,POINT(-95.3706065 29.8160912),0.0,2013.0
32914,Lindale Park,POINT(-95.3694661 29.8084541),0.0,2013.0
32915,Cavalcade,POINT(-95.3681792 29.8029973),0.0,2013.0
32916,Moody Park,POINT(-95.3660662 29.7956237),0.0,2013.0
32917,Fulton/North Central,POINT(-95.3606948 29.7857079),0.0,2013.0
32918,Quitman/Near Northside,POINT(-95.3642166 29.781554),0.0,2013.0
32919,Northline Transit Center/HCC,POINT(-95.3759495 29.8327512),0.0,2013.0
32920,EaDo/Stadium,POINT(-95.3516957 29.7533298),0.0,2015.0
32921,Theater District,POINT(-95.3674514 29.7606356),0.0,2015.0
32922,Theater District,POINT(-95.3664464 29.7611278),0.0,2015.0
32923,Central Station Capitol,POINT(-95.3621956 29.7585499),0.0,2015.0
32924,Central Station Rusk,POINT(-95.3622746 29.7575093),0.0,2015.0
32925,Convention District,POINT(-95.3574839 29.7546147),0.0,2015.0
32926,Convention District,POINT(-95.3565515 29.7551527),0.0,2015.0
32927,UH South/University Oaks,POINT(-95.340857 29.7159951),0.0,2015.0
32928,Leeland/Third Ward,POINT(-95.3461197 29.7385343),0.0,2015.0
32929,TSU/UH Athletics District,POINT(-95.3515685 29.7217916),0.0,2015.0
32930,Elgin/Third Ward,POINT(-95.349944 29.7280985),0.0,2015.0
32931,Palm Center Transit Center,POINT(-95.332049 29.6963556),0.0,2015.0
32933,Coffee Plant/Second Ward,POINT(-95.339832 29.7473306),0.0,2015.0
32934,Lockwood/Eastwood,POINT(-95.3289841 29.7435074),0.0,2015.0
32935,Altic/Howard Hughes,POINT(-95.3198229 29.7410159),0.0,2015.0
32936,Cesar Chavez/67th Street,POINT(-95.3073643 29.737245),0.0,2017.0
32937,Magnolia Park Transit Center,POINT(-95.3026411 29.735766),0.0,2017.0
