id_station,name,geometry,mode,opening
32301,Kemer,POINT(27.15615781421323 38.42177000491051),0.0,2010.0
32305,Şemikler,POINT(27.090117294027948 38.474724023964995),0.0,2010.0
32307,Nergiz,POINT(27.104799205284536 38.459480911163496),0.0,2010.0
32306,Dmeirköprü,POINT(27.09640255200199 38.46800481883818),0.0,2010.0
32309,Alaybey,POINT(27.12141204360006 38.46063218063222),0.0,2010.0
32312,Bayraklı,POINT(27.164389661686016 38.46396789137657),0.0,2010.0
32311,Turan,POINT(27.1494291502772 38.46693262249437),0.0,2010.0
32310,Naldöken,POINT(27.12864147213284 38.46464294773472),0.0,2010.0
32318,Menemen,POINT(27.076536908475646 38.6031298772767),0.0,2011.0
32319,Hatundere,POINT(27.017455430420483 38.69002238311438),0.0,2011.0
32320,Biçerova,POINT(26.96077765511282 38.749172039708185),0.0,2011.0
32313,Salhane,POINT(27.172189977594854 38.450843409450584),0.0,2010.0
32314,Ata Sanayi,POINT(27.05304328462111 38.49920918250075),0.0,2011.0
32315,Egekent,POINT(27.045948414046165 38.50730568265024),0.0,2011.0
32316,Ulukent,POINT(27.035578662737578 38.54785624192081),0.0,2011.0
32317,Egekent-2,POINT(27.04425398254915 38.56062083128896),0.0,2011.0
32308,Karşıyaka,POINT(27.115103613079384 38.45787514058611),0.0,2010.0
32321,Aliağa,POINT(26.967325452812275 38.78876580040898),0.0,2011.0
32323,Balçova,POINT(27.05681638111509 38.39531170391748),0.0,2024.0
32330,Fahrettin Altay,POINT(27.069385485455086 38.39781912838299),0.0,2018.0
32331,Üçkuyular İskele,POINT(27.07143929135134 38.403096276948446),0.0,2018.0
32332,Ahmed Adnan Saygun Sanat Merkezi,POINT(27.07738414660082 38.400652255583395),0.0,2018.0
32333,Güzelyalı,POINT(27.08401874347311 38.39888936864307),0.0,2018.0
32334,Göztepe,POINT(27.09156742048239 38.40047030266766),0.0,2018.0
32335,Sadıkbey,POINT(27.095379886228613 38.40313295215759),0.0,2018.0
32336,Köprü,POINT(27.09878851084713 38.40587309102466),0.0,2018.0
32337,Karantina,POINT(27.10550029116149 38.40784082165152),0.0,2018.0
32338,Karataş,POINT(27.118741810357392 38.4105564210891),0.0,2018.0
32339,Konak İskele,POINT(27.12723515876212 38.41877715992479),0.0,2018.0
32340,Gazi Bulvarı,POINT(27.13706547017108 38.424203731691506),0.0,2018.0
32341,Kültürpark-Atatürk Lisesi,POINT(27.141491823737795 38.42903135943371),0.0,2018.0
32342,Hocazade Camii,POINT(27.14406366629737 38.43306265137659),0.0,2018.0
32343,Atatürk Spor Salonu,POINT(27.147211609370174 38.434624400159805),0.0,2018.0
32344,Alsancak Gar,POINT(27.1480274712965 38.43951765725399),0.0,2018.0
32345,Alsancak Stadyumu,POINT(27.151963703301504 38.43822518597244),0.0,2018.0
32346,Üniversite,POINT(27.16060025521716 38.43729251882493),0.0,2018.0
32347,Halkapınar,POINT(27.171901322969973 38.43408208745842),0.0,2018.0
32348,Havagazı,POINT(27.158262080734573 38.43990193513781),0.0,2018.0
32352,Mustafa Kemal Atatürk Spor Salonu,POINT(27.074682631679167 38.47529187548207),0.0,2017.0
32353,Bilim Müzesi,POINT(27.082346344359024 38.474195042865745),0.0,2017.0
32351,Mavişehir,POINT(27.067819769995623 38.47549557069007),0.0,2017.0
32354,Atakent,POINT(27.087895033398866 38.467848329857475),0.0,2017.0
32355,Selçuk Yaşar,POINT(27.08608991212793 38.46390174717263),0.0,2017.0
32356,Vilayet Evi,POINT(27.090161730912598 38.46053115265812),0.0,2017.0
32357,Çarşı,POINT(27.09447873716016 38.45806663434317),0.0,2017.0
32360,Nikah Sarayı,POINT(27.110528050397647 38.449713942654256),0.0,2017.0
32361,Karşıyaka İskele,POINT(27.119093060633617 38.454554729555355),0.0,2017.0
32362,Alaybey,POINT(27.127134636475375 38.46008943303593),0.0,2017.0
32365,General Asım Gündüz,POINT(27.13260309302362 38.39637161934593),0.0,2027.0
32371,Çamlıkule,POINT(27.167124846032266 38.3703925718431),0.0,2027.0
32358,Bostanlı İskele,POINT(27.09794452727337 38.454470988867456),0.0,2017.0
32157,Bornova,POINT(27.2126088 38.458457),0.0,2000.0
32154,Bölge,POINT(27.2012796 38.4550168),0.0,2000.0
32153,Sanayi,POINT(27.1903903 38.4483553),0.0,2000.0
32152,Stadyum,POINT(27.1806783 38.4424121),0.0,2000.0
32156,Hilal,POINT(27.154132407926195 38.42628414847764),0.0,2000.0
32155,Halkapınar,POINT(27.16864152766235 38.43500030378344),0.0,2000.0
32158,Ege Üniversitesi,POINT(27.228862 38.459733),0.0,2012.0
32159,Evka 3,POINT(27.22830446623701 38.465196484152855),0.0,2012.0
32166,Hatay,POINT(27.103220579870438 38.401539767046174),0.0,2012.0
32164,İzmirspor,POINT(27.109934944801612 38.401693047206244),0.0,2012.0
32165,Göztepe,POINT(27.0944153 38.395997),0.0,2014.0
32168,Poligon,POINT(27.0848136 38.3932235),0.0,2014.0
32295,Gaziemir,POINT(27.139870278517435 38.32656644160315),0.0,2010.0
32160,Basmane,POINT(27.1448786 38.4228663),0.0,2000.0
32161,Çankaya,POINT(27.1360056 38.4225425),0.0,2000.0
32299,Koşu,POINT(27.147260927742508 38.38293097380017),0.0,2010.0
32298,İnkılap,POINT(27.14163311874657 38.36901495815235),0.0,2010.0
32297,Semt Garajı,POINT(27.136643058805475 38.35705533904968),0.0,2010.0
32296,Esbaş,POINT(27.136448712549196 38.33693149443792),0.0,2010.0
32294,Sarnıç,POINT(27.144638972697948 38.31189404553638),0.0,2010.0
32293,Adnan Menderes Havalimanı,POINT(27.148107637931844 38.29074768319907),0.0,2010.0
32292,Cumaovası,POINT(27.163096101375714 38.263255911335335),0.0,2010.0
35406,Develi,POINT(27.166731415406957 38.2034351398768),0.0,2016.0
35407,Tekeli,POINT(27.185407112109715 38.18122207327497),0.0,2016.0
35408,Pancar,POINT(27.239761628309452 38.19753799450129),0.0,2016.0
35409,Kuşçuburun,POINT(27.309311706126635 38.20921478831326),0.0,2016.0
35410,Torbalı,POINT(27.347348087229932 38.169914472726134),0.0,2016.0
35411,Tepeköy,POINT(27.361472023329185 38.14724002821106),0.0,2016.0
35412,Sağlık,POINT(27.400524565766403 38.085212965578336),0.0,2017.0
35413,Belevi,POINT(27.43313602081048 38.030790414292),0.0,2019.0
35414,Selçuk,POINT(27.372951258700482 37.95039328643068),0.0,2017.0
32304,Mavişehir,POINT(27.08319694994219 38.48195963528562),0.0,2010.0
35469,Çiğli-Semra Aksu,POINT(27.06166187151257 38.49231275199321),0.0,2024.0
32367,Kasaplar Meydanı,POINT(27.172276345889514 38.38852207572603),0.0,2027.0
35553,Katip Çelebi Üni.,POINT(27.036543888504013 38.51835170640453),0.0,2025.0
35554,Gürçeşme,POINT(27.156358032349686 38.40908792775889),0.0,2025.0
32329,100. Yıl Cumhuriyet - Şehitlik,POINT(27.00086808750024 38.39566773128106),0.0,2024.0
32327,Narlıdere İtfaiye,POINT(27.014775281516513 38.39394917769221),0.0,2024.0
32325,Dokuz Eylül Üniversitesi Hastanesi,POINT(27.037207459253843 38.39398424905603),0.0,2024.0
32324,Çağdaş,POINT(27.045336381115032 38.39426488583734),0.0,2024.0
32326,Güzel Sanatlar,POINT(27.023328427166497 38.39280454093256),0.0,2024.0
32328,Kaymakamlık,POINT(26.991447189965896 38.39501781482224),0.0,2024.0
32163,Üçyol,POINT(27.120476627024008 38.40553120808),0.0,2000.0
32300,Şirinyer,POINT(27.147154082337863 38.391956217902816),0.0,2010.0
32368,Hasanağa Bahçesi,POINT(27.18197060135097 38.38280813105783),0.0,2027.0
32369,Dokuz Eylül Üniversitesi,POINT(27.1941864578244 38.37339838312391),0.0,2027.0
32370,Buca Koop.,POINT(27.180136975467406 38.369602855806136),0.0,2027.0
36672,Yeni Mahalle,POINT(27.05067281370438 38.49390363649141),0.0,2024.0
36661,Çiğli Bölge Hastanesi,POINT(27.04856611795745 38.49772994463024),0.0,2024.0
