id_station,name,geometry,mode,opening
17279,Pondok Cina,POINT(106.83193778658635 -6.36959448114516),0.0,2011.0
16977,Equestrian,POINT(106.89135795463113 -6.183449336807396),0.0,2019.0
17031,ASEAN,POINT(106.7984453997833 -6.238990138781958),0.0,2019.0
16973,Pegangsaan Dua,POINT(106.91415209609221 -6.157740398546538),0.0,2019.0
16976,Pulomas,POINT(106.89351878760733 -6.177124923842087),0.0,2019.0
16990,Cipinang,POINT(106.88611544205577 -6.214192737212315),0.0,2011.0
16993,Buaran Lama,POINT(106.92854068337346 -6.216229472346214),0.0,2011.0
16989,Jatinegara,POINT(106.87021627105077 -6.215039965264609),0.0,2011.0
16992,Buaran,POINT(106.92246134219693 -6.215481864350181),0.0,2018.0
16995,Cakung,POINT(106.9526255427408 -6.2191726462882),0.0,2011.0
17009,Sawah Besar,POINT(106.81921591427167 -6.160236328961945),0.0,2004.0
17011,Monas,POINT(106.82287435604965 -6.176220972071746),0.0,2004.0
17010,Harmoni,POINT(106.82046804492074 -6.165883868340714),0.0,2004.0
17005,Kota,POINT(106.81389378800286 -6.137810460382172),0.0,2004.0
17006,Glodok,POINT(106.81551003332646 -6.144545384461921),0.0,2004.0
17007,Olimo,POINT(106.81661367254299 -6.148891283365046),0.0,2004.0
17008,Mangga Besar,POINT(106.81736098205823 -6.152099477645379),0.0,2004.0
16999,Bekasi Timur,POINT(107.01809693554277 -6.246799257193814),0.0,2017.0
17017,Tosari,POINT(106.8231561895175 -6.198463176876684),0.0,2004.0
17032,Blok M,POINT(106.80161872985158 -6.243301015738735),0.0,2004.0
17030,Masjid Agung,POINT(106.79842697882384 -6.23641),0.0,2004.0
17027,Gelora Bung Karno,POINT(106.805687817626 -6.224249714428018),0.0,2004.0
17013,Sarinah,POINT(106.82305276051478 -6.187929210474976),0.0,2004.0
17023,Bendungan Hilir,POINT(106.81789034865616 -6.215036597911777),0.0,2019.0
17029,Senayan,POINT(106.8024805009956 -6.226714541244343),0.0,2019.0
17015,Bundaran HI,POINT(106.82299569818468 -6.191868082632629),0.0,2019.0
17016,Bundaran HI,POINT(106.82303109625731 -6.193263767723328),0.0,2004.0
17018,Dukuh Atas 1,POINT(106.82221426021636 -6.20596525649934),0.0,2004.0
17024,Bendungan Hilir,POINT(106.815193161401 -6.217159752466259),0.0,2004.0
17025,Polda Metro Jaya,POINT(106.81021557352608 -6.221121194564716),0.0,2014.0
17028,Bunderan Senayan,POINT(106.80123904731818 -6.227633378299217),0.0,2004.0
17022,Karet Sudirman,POINT(106.8201201326213 -6.212234097553278),0.0,2014.0
17012,Bank Indonesia,POINT(106.82299672955355 -6.182812225724561),0.0,2004.0
17165,Duri,POINT(106.80138004564262 -6.155395031031484),0.0,2011.0
17169,Sudirman Baru (BNI City),POINT(106.81970761000973 -6.201621996709223),0.0,2018.0
17203,Kampung Melayu,POINT(106.8669128844898 -6.224531767392293),0.0,2007.0
17205,Jatinegara RS Premier,POINT(106.86805572354052 -6.22146951549972),0.0,2011.0
17206,Pasar Jatinegara,POINT(106.86627155782742 -6.21565568262389),0.0,2007.0
17208,Slamet Riyadi,POINT(106.85926054219328 -6.208458075330995),0.0,2007.0
17209,Tegalan,POINT(106.85713995904553 -6.202975963983221),0.0,2007.0
17225,Duri,POINT(106.80114848970902 -6.155355741759402),0.0,2011.0
17211,Salemba Carolus,POINT(106.85112107073166 -6.196822378647013),0.0,2007.0
17212,Salemba UI,POINT(106.84879787153174 -6.193249103174694),0.0,2007.0
17213,Kramat Sentiong NU,POINT(106.84594979497837 -6.188050046802004),0.0,2007.0
17214,Pal Putih,POINT(106.84395149595679 -6.184551583893295),0.0,2007.0
17216,Budi Utomo,POINT(106.83906633785227 -6.166049229475846),0.0,2007.0
17218,Jembatan Merah,POINT(106.83425760209923 -6.146579473594556),0.0,2007.0
17219,Jembatan Merah,POINT(106.83431881353312 -6.146572726915835),0.0,2013.0
17220,Gunung Sahari Mangga Dua,POINT(106.83233433783164 -6.136763989089332),0.0,2007.0
17221,Gunung Sahari Mangga Dua,POINT(106.83237940286875 -6.136755610324187),0.0,2013.0
17223,Ancol,POINT(106.83048427101414 -6.127727736670977),0.0,2007.0
17224,Grogol,POINT(106.7887309440097 -6.162049660393389),0.0,2011.0
17226,Pesing,POINT(106.77221302741681 -6.16130013036308),0.0,2011.0
17222,Pademangan,POINT(106.83163624181174 -6.133620679395356),0.0,2007.0
17217,Pasar Baru Timur,POINT(106.83814708538453 -6.162368591111407),0.0,2007.0
17207,Kebon Pala,POINT(106.86120268220651 -6.212918666746749),0.0,2007.0
17210,Matraman 1,POINT(106.85439539774165 -6.199899395312599),0.0,2007.0
17215,Senen Sentral,POINT(106.84199772993814 -6.178150331342299),0.0,2007.0
17227,Palmerah,POINT(106.79753647320922 -6.207342493970742),0.0,2011.0
17237,SHIA Airport,POINT(106.65221692748307 -6.127441353906226),0.0,2018.0
17238,Pondok Ranji,POINT(106.74494478893315 -6.276513282821731),0.0,2011.0
17228,Kebayoran,POINT(106.78261337750178 -6.236977695228194),0.0,2011.0
17236,Tangerang,POINT(106.63190111777004 -6.176899488421441),0.0,2011.0
17235,Tanah Tinggi,POINT(106.64654003260597 -6.175203922115173),0.0,2011.0
17233,Poris,POINT(106.68069126130152 -6.169781059011606),0.0,2011.0
17232,Kali Deres,POINT(106.70386112577215 -6.165954125803836),0.0,2011.0
17229,Taman Kota,POINT(106.75646545387796 -6.158582868368742),0.0,2011.0
17231,Rawa Buaya,POINT(106.72306351710343 -6.162681910699581),0.0,2011.0
17230,Bojong Indah,POINT(106.7365661772263 -6.160061952012414),0.0,2011.0
17241,Rawa Buntu,POINT(106.67610299379845 -6.314922091308091),0.0,2011.0
17240,Sudimara,POINT(106.7125768442711 -6.296887833147736),0.0,2011.0
17239,Jurang Mangu,POINT(106.72910618246414 -6.288598899641713),0.0,2011.0
17252,SHIA Airport,POINT(106.6529542308559 -6.127146455338279),0.0,2017.0
17253,Terminal 2,POINT(106.65307382155302 -6.123119854121374),0.0,2017.0
17243,Fatmawati,POINT(106.79240067058491 -6.292451453606466),0.0,2019.0
17247,Blok A,POINT(106.79719084767362 -6.25581700353834),0.0,2019.0
17250,Bekasi,POINT(106.99927704957658 -6.236472527987064),0.0,2018.0
17251,Terminal 1,POINT(106.65584511248994 -6.130305934046689),0.0,2017.0
17254,Terminal 3,POINT(106.6661853667677 -6.119346107928095),0.0,2017.0
17246,Haji Nawi,POINT(106.79734645160164 -6.266799496115109),0.0,2019.0
17245,Cipete Raya,POINT(106.79733351194405 -6.278309180102776),0.0,2019.0
17255,Pulogadung,POINT(106.90874035543459 -6.182931778975032),0.0,2007.0
17256,Pasar Pulo Gadung,POINT(106.90592573105494 -6.18749220542368),0.0,2007.0
17259,Pemuda Rawamangun,POINT(106.89182060161988 -6.193486437313552),0.0,2007.0
17261,Sunan Giri,POINT(106.88372610599095 -6.193293314943759),0.0,2007.0
17262,UNJ,POINT(106.88032231939587 -6.192936544451811),0.0,2007.0
17263,Pramuka BPKP,POINT(106.87402921213885 -6.192172647422098),0.0,2007.0
17265,Pramuka LIA,POINT(106.8683541546884 -6.192241873778158),0.0,2007.0
17266,Utan Kayu,POINT(106.8644096127889 -6.192778594505114),0.0,2007.0
17248,Dukuh Atas 2,POINT(106.82380758277418 -6.204325128809486),0.0,2007.0
17244,Lebak Bulus,POINT(106.77436987704925 -6.289313189416461),0.0,2015.0
17264,Pemuda Pramuka,POINT(106.8749997224334 -6.192842612760096),0.0,2010.0
17257,TU Gas,POINT(106.90477736893007 -6.192465237961656),0.0,2007.0
17258,Layur,POINT(106.8989248441851 -6.19353541005762),0.0,2007.0
17267,Pasar Genjing,POINT(106.8609799280153 -6.194405545424559),0.0,2007.0
17249,Matraman 2,POINT(106.85438205215785 -6.199007004570574),0.0,2007.0
17268,Pasar Rumput,POINT(106.84120542456105 -6.207091879942212),0.0,2007.0
17270,Latuharhari,POINT(106.82767353441515 -6.202747476800234),0.0,2007.0
17271,Cikoko St. Cawang,POINT(106.85837824963284 -6.243206017122105),0.0,2010.0
17269,Halimun,POINT(106.83344403761117 -6.205180703900159),0.0,2007.0
17377,Flyover Raya Bogor,POINT(106.86584983902344 -6.306455994476423),0.0,2007.0
17378,Kampung Rambutan,POINT(106.88194927354806 -6.309629410034546),0.0,2007.0
17379,Tanah Merdeka,POINT(106.87398612312336 -6.308166528958353),0.0,2007.0
17372,BKN,POINT(106.86995798885366 -6.257847437286947),0.0,2007.0
17419,Senayan JCC,POINT(106.80869856192143 -6.214010093102428),0.0,2010.0
17408,Cawang Ciliwung,POINT(106.86329198907782 -6.243166044547848),0.0,2010.0
17409,Tebet BUMD,POINT(106.8520424356862 -6.243197460544479),0.0,2010.0
17410,Pancoran Tugu,POINT(106.84387141431085 -6.243344580928678),0.0,2010.0
17411,Pancoran Barat,POINT(106.83763282977611 -6.241659129737471),0.0,2010.0
17412,Tegal Parang,POINT(106.83067620617061 -6.238925189841069),0.0,2010.0
17413,Kuningan Barat,POINT(106.82751931252608 -6.236979908192097),0.0,2010.0
17415,Gatot Subroto Jamsostek,POINT(106.82179000000005 -6.233009262778854),0.0,2010.0
17416,Gatot Subroto LIPI,POINT(106.81753570815238 -6.226977009867653),0.0,2010.0
17417,Semanggi,POINT(106.81359467577369 -6.221157013453336),0.0,2010.0
17420,Slipi Petamburan,POINT(106.799768278344 -6.201850804432681),0.0,2010.0
17421,Slipi Kemanggisan,POINT(106.7971118885095 -6.190140859162526),0.0,2010.0
17422,RS Harapan Kita,POINT(106.79691461036003 -6.184852890645075),0.0,2010.0
17423,S. Parman Podomoro City,POINT(106.79264293378753 -6.175693310531372),0.0,2010.0
17424,Latumenten Stasiun Grogol,POINT(106.7905030751636 -6.161116956611409),0.0,2010.0
17425,Jembatan Besi,POINT(106.79500469263144 -6.152017671606728),0.0,2010.0
17426,Jembatan Dua,POINT(106.79356527978962 -6.143195907327339),0.0,2010.0
17427,Jembatan Tiga,POINT(106.79266967777886 -6.133301698859782),0.0,2010.0
17428,Penjaringan,POINT(106.79203486058111 -6.126051054238118),0.0,2010.0
17432,Pluit Landmark Auto Plaza,POINT(106.79954566055196 -6.12522),0.0,2013.0
17430,Pluit,POINT(106.79008903414486 -6.115734500947537),0.0,2010.0
17431,Pluit,POINT(106.79003542360961 -6.115732315179341),0.0,2013.0
17433,Pakin,POINT(106.80462157634474 -6.127344195258033),0.0,2013.0
17434,Gedong Panjang,POINT(106.80593577828824 -6.13243159684103),0.0,2013.0
17435,Muesum Fatahillah,POINT(106.81221278916126 -6.133850205146644),0.0,2013.0
17436,Kota,POINT(106.8141574505226 -6.137829240120595),0.0,2013.0
17437,Kali Besar Barat,POINT(106.81148406031423 -6.135565129699444),0.0,2013.0
17438,Pangeran Jayakarta,POINT(106.81781592346425 -6.137569422375719),0.0,2013.0
17439,Mangga Dua,POINT(106.82609260190765 -6.136141803731348),0.0,2013.0
17440,Bandengan Selatan,POINT(106.8033194700273 -6.136309098703123),0.0,2013.0
17429,Penjaringan,POINT(106.79192822741783 -6.126064423507168),0.0,2013.0
17441,Kemayoran Landas Pacu Timur,POINT(106.85461739949505 -6.152105694474798),0.0,2013.0
17442,Sunter SMP 140,POINT(106.85930561739707 -6.139731300495001),0.0,2013.0
17443,Danau Agung,POINT(106.85812883560868 -6.146923275024449),0.0,2013.0
17414,Kuningan Timur,POINT(106.82892680594156 -6.234943294766772),0.0,2007.0
17444,Sunter Karya,POINT(106.8705437568326 -6.137662433644451),0.0,2013.0
17457,JIS,POINT(106.8581619271825 -6.12526417059324),0.0,9999.0
17465,Kampung Melayu,POINT(106.86691011276775 -6.224708792786004),0.0,2007.0
17446,Sunter Boulevard Barat,POINT(106.88894621504406 -6.149646397089913),0.0,2013.0
17447,Sunter Kelapa Gading,POINT(106.89071445213094 -6.142700098209955),0.0,2013.0
17448,Sunter Kelapa Gading,POINT(106.8909161739825 -6.142750196435699),0.0,2010.0
17494,PGC 2,POINT(106.8658839187469 -6.261832395783633),0.0,2010.0
17472,Walikota Jakarta Utara,POINT(106.8932479445549 -6.118699000468837),0.0,2013.0
17473,Walikota Jakarta Utara,POINT(106.89333330203357 -6.118696617626711),0.0,2010.0
17475,Permai Koja,POINT(106.89322146444312 -6.114264247819875),0.0,2010.0
17476,Enggano,POINT(106.89246907887372 -6.110173598964948),0.0,2013.0
17477,Tanjung Priok,POINT(106.88195438403102 -6.109582719410042),0.0,2013.0
17478,Tanjung Priok,POINT(106.88206255828027 -6.109556556215523),0.0,2010.0
17479,Enggano,POINT(106.89246283459977 -6.110104501389046),0.0,2010.0
17474,Permai Koja,POINT(106.89310213774054 -6.114262605839057),0.0,2013.0
17480,Plumpang Pertamina,POINT(106.89377731060694 -6.128305866864338),0.0,2010.0
17471,Plumpang Pertamina,POINT(106.89363499887283 -6.12830864305662),0.0,2013.0
17481,Yos Sudarso Kodamar,POINT(106.88178941028212 -6.161884010388832),0.0,2010.0
17482,Cempaka Putih,POINT(106.87647907253893 -6.174171300690503),0.0,2010.0
17483,Pulomas Bypass,POINT(106.87606476779717 -6.176928851190638),0.0,2010.0
17484,Kayu Putih Rawasari,POINT(106.87551561593801 -6.187448395098002),0.0,2010.0
17485,Utan Kayu Rawamangun,POINT(106.87411316943655 -6.197223596524921),0.0,2010.0
17486,Ahmad Yani Bea Cukai,POINT(106.87376751224934 -6.205471775050214),0.0,2010.0
17487,Stasiun Jatinegara,POINT(106.87418856574726 -6.215330259242535),0.0,2011.0
17489,Pedati Prumpung,POINT(106.87441408864817 -6.219956480861228),0.0,2010.0
17490,Cipinang Kebon Nanas,POINT(106.87631972968683 -6.231382097652187),0.0,2010.0
17491,Penas Kalimalang,POINT(106.87809399010473 -6.239152506194756),0.0,2010.0
17492,Cawang UKI,POINT(106.8736442137679 -6.250407169184122),0.0,2010.0
17493,BKN,POINT(106.86987623827066 -6.257796325025201),0.0,2010.0
17495,Setiabudi Utara AINI,POINT(106.82986144360802 -6.207974710182583),0.0,2007.0
17496,Kuningan Madya,POINT(106.83048045759534 -6.212652016153342),0.0,2007.0
17488,Flyover Jatinegara,POINT(106.87356422190464 -6.215141165131698),0.0,2011.0
17500,Patra Kuningan,POINT(106.83158564841335 -6.233369555284852),0.0,2007.0
17501,Mampang Prapatan,POINT(106.82577048837607 -6.242453262604698),0.0,2007.0
17502,Duren Tiga,POINT(106.82692477432244 -6.252150732071854),0.0,2007.0
17499,Departemen Kesehatan,POINT(106.83284301470108 -6.22393328829155),0.0,2007.0
17498,GOR Sumantri,POINT(106.8319357623794 -6.220473436892496),0.0,2007.0
17504,Warung Jati,POINT(106.82974546239905 -6.262343435635344),0.0,2007.0
17503,Imigrasi Jakarta Selatan,POINT(106.82807817034607 -6.256799829919046),0.0,2007.0
17505,Buncit Indah,POINT(106.83031440990482 -6.274368738684615),0.0,2007.0
17506,Pejaten,POINT(106.82975849823066 -6.27839169469155),0.0,2007.0
17507,Jati Padang,POINT(106.82623976736545 -6.285499677792359),0.0,2007.0
17508,SMK 57,POINT(106.82361358872777 -6.291152345133881),0.0,2007.0
17509,Departemen Pertanian,POINT(106.82223176972741 -6.2944039528236),0.0,2007.0
17510,Ragunan,POINT(106.81879263340636 -6.30569827903264),0.0,2007.0
