id_station,name,geometry,mode,opening
42519,Chunniganj,POINT(80.33717863722717 26.47704363899916),0.0,2025.0
42520,Naveen Market,POINT(80.34558216202174 26.474117207966145),0.0,2025.0
42522,Nayaganj,POINT(80.35954385755548 26.464294238868533),0.0,2025.0
42523,Kanpur Central,POINT(80.35120239538958 26.453709228088236),0.0,2025.0
30767,Gurudev Chauraha,POINT(80.2844916 26.4914596),0.0,2021.0
30768,SPM Hospital,POINT(80.2588935 26.4988842),0.0,2021.0
30769,Kalyanpur Railway Station,POINT(80.2524785 26.5036932),0.0,2021.0
30770,Rawatpur,POINT(80.3000741 26.4828454),0.0,2021.0
30771,Lala Lajpat Rai Hospital,POINT(80.3115654 26.4792518),0.0,2021.0
30763,IIT Kanpur,POINT(80.2482012 26.5091437),0.0,2021.0
30764,Moti Jheel,POINT(80.3186355 26.4790926),0.0,2021.0
30765,Geeta Nagar,POINT(80.292134 26.4869799),0.0,2021.0
30766,CSJM University,POINT(80.2707245 26.4954798),0.0,2021.0
