id_station,name,geometry,mode,opening
32884,Kauffman Center,POINT(-94.5835345 39.0941912),0.0,2016.0
32885,North Loop,POINT(-94.5831247 39.1051412),0.0,2016.0
32886,Library,POINT(-94.5831407 39.1029222),0.0,2016.0
32887,River Market West,POINT(-94.5843845 39.1087955),0.0,2016.0
32888,City Market,POINT(-94.581894 39.1085087),0.0,2016.0
32889,Crossroads,POINT(-94.5837436 39.0901009),0.0,2016.0
32890,Power and Light,POINT(-94.5833865 39.0966845),0.0,2016.0
32891,Metro Center,POINT(-94.5832673 39.0996112),0.0,2016.0
32892,River Market North,POINT(-94.5816185 39.1102479),0.0,2016.0
32893,Union Station,POINT(-94.58415113724094 39.08494062668859),0.0,2016.0
