id_station,name,geometry,mode,opening
36767,Gebze OSB,POINT(29.432217333630177 40.83988277536281),0.0,2026.0
36768,Mutlukent,POINT(29.417179749370632 40.82727067434263),0.0,2026.0
36769,Adliye,POINT(29.419113812857773 40.8138628021502),0.0,2026.0
36770,Akse Sapağı,POINT(29.431411675636383 40.80775934758452),0.0,2026.0
36771,Gebze Stadyum,POINT(29.438676572826324 40.8044733851973),0.0,2026.0
36772,Gebze Kent Meydanı,POINT(29.43239354607033 40.797897040061684),0.0,2026.0
36773,Fatih Devlet Hastanesi,POINT(29.421613824174273 40.79040521318257),0.0,2026.0
36774,Gebze YHT,POINT(29.41002415939755 40.78270830460349),0.0,2026.0
36775,Farabi Devlet Hastanesi ,POINT(29.406331057758763 40.77185865906898),0.0,2026.0
36776,Darıca Cumhuriyet Meydanı,POINT(29.388698658285932 40.76155718873423),0.0,2026.0
36777,Darıca Sahil,POINT(29.375788901636923 40.75741906899009),0.0,2026.0
36778,Seka Park,POINT(29.910913270705095 40.76139927348919),0.0,2017.0
36780,Fevziye,POINT(29.925818928151813 40.762190382788305),0.0,2017.0
36781,Yeni Cuma,POINT(29.932090000448795 40.762236965172434),0.0,2017.0
36782,Fuar,POINT(29.9365831247446 40.76233801846365),0.0,2017.0
36783,Milli İrade Meydanı,POINT(29.940600474036643 40.76546548391764),0.0,2017.0
36779,Gar - İzmit YHT ,POINT(29.918341670404118 40.76230780714229),0.0,2017.0
36784,Doğu Kışla,POINT(29.95119196345749 40.766555674301884),0.0,2017.0
36785,Mehmet Ali Paşa,POINT(29.956727137224277 40.76718814976161),0.0,2017.0
36786,Yenişehir,POINT(29.966890583462686 40.76770451774766),0.0,2017.0
36787,Yahya Kaptan,POINT(29.974081701372 40.76745629519945),0.0,2017.0
36788,Otogar,POINT(29.975708484667848 40.7759249954309),0.0,2017.0
36789,Kuruçeşme,POINT(29.87693717099529 40.76420165798018),0.0,2023.0
36791,Eğitim Kampüsü,POINT(29.89221869455318 40.76230520241492),0.0,2019.0
36792,Kongre Merkezi,POINT(29.897018272562548 40.76177168069708),0.0,2019.0
36793,Seka Devlet Hastanesi,POINT(29.901796032771614 40.76118553909686),0.0,2019.0
36790,Plajyolu,POINT(29.88683380382065 40.762731964360455),0.0,2019.0
36794,Şehir Hastanesi,POINT(29.961152341060853 40.78400535529377),0.0,2024.0
36795,FTR,POINT(29.95461338411613 40.78471689699589),0.0,2024.0
