id_station,name,geometry,mode,opening
1325,Holborn,POINT(-0.120056676560353 51.517609760568206),0.0,1900.0
2285,Lower Sydenham,POINT(-0.033346114996846 51.42447945306188),0.0,1857.0
2287,Ladywell,POINT(-0.019123465255859 51.45610450622061),0.0,1857.0
850,South Wimbledon,POINT(-0.19192492012229 51.41531114993157),0.0,1926.0
851,Morden,POINT(-0.194738001953908 51.4023112168548),0.0,1926.0
875,Earl's Court,POINT(-0.193047595628243 51.492235419184816),0.0,1871.0
899,Hammersmith,POINT(-0.223455543321537 51.492253321647674),0.0,1874.0
893,Gloucester Road,POINT(-0.183388444905726 51.49468016175637),0.0,1868.0
839,Elephant & Castle,POINT(-0.100358297572676 51.49524407142817),0.0,1890.0
895,Sloane Square,POINT(-0.156615109100784 51.492550933312344),0.0,1868.0
905,Blackfriars,POINT(-0.10346108283626 51.51189866570314),0.0,1866.0
910,Mansion House,POINT(-0.094066547828517 51.51210484054996),0.0,1871.0
2074,Leyton,POINT(-0.004518777510391 51.55722077152713),0.0,1856.0
2085,Snaresbrook,POINT(0.021493373169875 51.58096921617985),0.0,1856.0
2082,Grange Hill,POINT(0.091731050406821 51.613267572926304),0.0,1903.0
913,Lambeth North,POINT(-0.112073923486577 51.49890578175888),0.0,1906.0
932,Waterloo,POINT(-0.112639522626296 51.50292777637702),0.0,1999.0
902,St. James's Park,POINT(-0.133433767199392 51.49945004114551),0.0,1868.0
903,Westminster,POINT(-0.124383201310332 51.501000805162),0.0,1868.0
909,Cannon Street,POINT(-0.090243141988287 51.51136769388255),1.0,1884.0
938,North Greenwich,POINT(0.00322587334405 51.50061845256101),0.0,1999.0
847,Tooting Broadway,POINT(-0.167970568580753 51.427637500662094),0.0,1926.0
830,Clapham Common,POINT(-0.138072043935634 51.46176962235919),0.0,1900.0
836,Clapham North,POINT(-0.129502061110002 51.465074147553096),0.0,1900.0
820,Kennington,POINT(-0.105969111046448 51.488288778378895),0.0,1890.0
840,Borough,POINT(-0.093640365387245 51.50120148911904),0.0,1890.0
835,Stockwell,POINT(-0.122805089945132 51.472285392134154),0.0,1890.0
891,Willesden Junction,POINT(-0.243335844573046 51.53198913881119),0.0,2007.0
927,Wimbledon,POINT(-0.206368878234684 51.42105741196184),0.0,1838.0
1860,Mitcham,POINT(-0.170289352063861 51.39753832779991),0.0,2000.0
1875,Addiscombe Junction,POINT(-0.077725568503126 51.374835853525695),0.0,2000.0
908,Monument,POINT(-0.086326354327032 51.510881506995304),0.0,1884.0
933,London Bridge,POINT(-0.088259825619076 51.50499350361969),0.0,1999.0
1865,Wandle Park,POINT(-0.113349117489926 51.373467691777705),0.0,2000.0
1872,East Croydon,POINT(-0.092641869332519 51.374852343342525),0.0,2000.0
1899,New Southgate,POINT(-0.14303815562991 51.61406894393153),0.0,1850.0
1896,Hadley Wood,POINT(-0.176209759887826 51.66861091767777),0.0,1885.0
914,Waterloo,POINT(-0.113486341004204 51.502443317369085),0.0,1906.0
906,Temple,POINT(-0.113680251128199 51.51090185497514),0.0,1870.0
898,Barons Court,POINT(-0.213534679975512 51.49033986264406),0.0,1906.0
1893,Waterloo East,POINT(-0.109928686396472 51.50402779615095),0.0,1869.0
921,Brixton,POINT(-0.114733984460421 51.46259619161437),0.0,1971.0
941,Bermondsey,POINT(-0.066010153275814 51.49719873908163),0.0,1999.0
939,Canary Wharf,POINT(-0.018000282638923 51.50359078107476),0.0,1999.0
922,Vauxhall,POINT(-0.122692568960509 51.48601454389519),0.0,1848.0
937,Canning Town,POINT(0.008342572746222 51.51399184405978),0.0,1847.0
935,Stratford,POINT(-0.004107988746137 51.541602249292296),1.0,1840.0
1900,Acton Main Line,POINT(-0.266915402595032 51.51705310099794),0.0,1868.0
2088,Chesham,POINT(-0.611026858091242 51.705026535377975),0.0,1889.0
1859,Ravensbury,POINT(-0.178389197513042 51.40088319398467),0.0,2000.0
