id_station,name,geometry,mode,opening
37952,Transport Nagar,POINT(80.88268573622474 26.778034350531627),0.0,2017.0
37953,Krishna Nagar,POINT(80.89171359110264 26.79446222372421),0.0,2017.0
37954,Singar Nagar,POINT(80.89636055483857 26.803071418436815),0.0,2017.0
37955,Alambagh,POINT(80.90253822763464 26.814141196639014),0.0,2017.0
37956,Alambagh ISBT,POINT(80.90729144464683 26.81858449893609),0.0,2017.0
37957,Mawaiya,POINT(80.90980540683728 26.82539453162947),0.0,2017.0
37958,Durgapuri,POINT(80.91539649146819 26.832085573294094),0.0,2017.0
37959,Charbagh,POINT(80.92301018267091 26.832351277718374),0.0,2017.0
37960,Amausi,POINT(80.87871185176846 26.77149410042675),0.0,2019.0
37961,CCS International Airport,POINT(80.88324434203355 26.76625109889011),0.0,2019.0
37962,Hussain Ganj,POINT(80.93444335866695 26.838824180167123),0.0,2019.0
37963,Sachivalaya,POINT(80.93989409780215 26.84159143817068),0.0,2019.0
37964,Hazratganj,POINT(80.94165070236494 26.850031325557126),0.0,2019.0
37965,KD Singh Babu Stadium,POINT(80.93681895649297 26.853968047203253),0.0,2019.0
37966,Lucknow University,POINT(80.93953668329254 26.865513424211898),0.0,2019.0
37967,IT College,POINT(80.94549185650362 26.870983645252153),0.0,2019.0
37969,Lekhraj Market,POINT(80.97366409278425 26.870842238223318),0.0,2019.0
37970,Bhootnath Market,POINT(80.98234994434574 26.8722230639613),0.0,2019.0
37971,Indira Nagar,POINT(80.99087808064047 26.872725317545914),0.0,2019.0
37972,Munshi Pulia,POINT(80.99582643932604 26.88792312934244),0.0,2019.0
