id_station,name,geometry,mode,opening
2767,Cologno Sud,POINT(9.27493036790321 45.520188532338835),0.0,1981.0
2974,San Donato Milanese,POINT(9.2531938069979 45.41848469047653),0.0,2003.0
11403,Milano Bruzzano,POINT(9.171498805580256 45.52894892652856),0.0,2004.0
11404,Milano Bruzzano,POINT(9.172630876518411 45.53220342552885),0.0,2014.0
11406,Cormano-Cusano Milanino,POINT(9.173783542482113 45.5453941454642),0.0,2015.0
11407,Cusano Milanino,POINT(9.173674301762532 45.54803873060618),0.0,2004.0
11412,Cesano Maderno,POINT(9.141937385626704 45.62620075555009),0.0,2004.0
11415,Milano Cadorna,POINT(9.175335646204957 45.468505549863124),0.0,1879.0
11417,Trecate,POINT(8.73947553027466 45.42859389672421),0.0,2004.0
11421,Pregnana Milanese,POINT(9.00278134113492 45.51006603690857),0.0,2009.0
11405,Cormano-Brusuglio,POINT(9.173492466404355 45.5420140428011),0.0,2004.0
11409,Palazzolo Milanese,POINT(9.156449169713852 45.58102488183886),0.0,2004.0
11410,Varedo,POINT(9.153173629570773 45.59556699481189),0.0,2004.0
11411,Bovisio Masciago-Mombello,POINT(9.14148160284654 45.61198171332231),0.0,2004.0
11418,Magenta,POINT(8.880706878263993 45.468282915068244),0.0,2004.0
11413,Cesano Maderno,POINT(9.14179746203203 45.63154983917835),0.0,2011.0
2939,Milano Nord Domodossola-Fiera,POINT(9.162235675696623 45.48087196865245),0.0,2003.0
11402,Milano Affori,POINT(9.16570890280667 45.5184504709967),0.0,2004.0
11408,Paderno Dugnano,POINT(9.161169336258808 45.56493471320988),0.0,2004.0
11419,Corbetta-Santo Stefano Ticino,POINT(8.917987153799885 45.48102121583486),0.0,2004.0
2819,Forlanini FS,POINT(9.236510350787142 45.464701506753215),0.0,2021.0
2823,Tricolore,POINT(9.20795247613674 45.467885479039154),0.0,2023.0
2824,San Babila,POINT(9.197700886291699 45.46607245571349),0.0,2023.0
2827,Vetra,POINT(9.182382475497832 45.457025822015794),0.0,2024.0
2829,Sant'Ambrogio,POINT(9.173048339990913 45.462463989357985),0.0,2024.0
2830,Parco Solari,POINT(9.165060290458001 45.45925682230617),0.0,2024.0
2831,Foppa,POINT(9.160374137997707 45.45771596388431),0.0,2024.0
2832,Washington-Bolivar,POINT(9.153686617634179 45.4555306197303),0.0,2024.0
2833,Tolstoi,POINT(9.148358955661507 45.453797372582784),0.0,2024.0
2834,Frattini,POINT(9.142427555766687 45.45187926757782),0.0,2024.0
2835,Gelsomini,POINT(9.135714437345229 45.44970048785228),0.0,2024.0
2836,Segneri,POINT(9.131090851249553 45.44721900378241),0.0,2024.0
2837,San Cristoforo FS,POINT(9.129658442120615 45.44330302152815),0.0,2024.0
40560,Tibaldi,POINT(9.187267990995736 45.44464413159031),0.0,2022.0
