id_station,name,geometry,mode,opening
23023,Target Field,POINT(-93.27869419651404 44.98351007959829),0.0,2009.0
23085,Rosedale Transit Center,POINT(-93.16825663485051 45.01255246418211),0.0,2016.0
23086,Snelling & County Rd. B,POINT(-93.166529966361 45.00507797015581),0.0,2016.0
37011,Portland & 73rd St,POINT(-93.26803628433022 44.87097229907343),0.0,2022.0
37012,Portland & 70th St,POINT(-93.26798449239071 44.876332940905826),0.0,2022.0
36981,2nd Ave S & 11th St,POINT(-93.27291210145734 44.97156348247822),0.0,2021.0
30772,Southwest,POINT(-93.44484250090962 44.859859842777894),0.0,2025.0
30773,Eden Prarie Town Center,POINT(-93.43072534979129 44.8593837425401),0.0,2025.0
30774,Golden Triangle,POINT(-93.41015250391811 44.87735335085637),0.0,2025.0
30775,City West,POINT(-93.41153758219423 44.89079434926413),0.0,2025.0
30776,Opus,POINT(-93.4140913365627 44.89796068363427),0.0,2025.0
30777,Shady Oak,POINT(-93.42056382040414 44.917890281237135),0.0,2025.0
30778,Downtown Hopkins,POINT(-93.40980142692001 44.920666337412854),0.0,2025.0
30779,Blake Road,POINT(-93.38631822522564 44.927926042067014),0.0,2025.0
30780,Louisiana Avenue,POINT(-93.3651086656063 44.93491125801171),0.0,2025.0
30781,Wooddale,POINT(-93.35508803200308 44.938602498079206),0.0,2025.0
30787,Royalston Avenue / Farmers Market,POINT(-93.283098634743 44.981182280137375),0.0,2025.0
30782,Beltline Boulevard,POINT(-93.33878824183743 44.94399051345374),0.0,2025.0
30783,West Lake St.,POINT(-93.32428671891923 44.94782254674922),0.0,2025.0
30784,W. 21st St.,POINT(-93.31456307662081 44.960597092316135),0.0,2025.0
30785,Bryn Mawr,POINT(-93.30982517852725 44.96784166348934),0.0,2025.0
30786,Bassett Creek Valley,POINT(-93.29612020008041 44.97420183553817),0.0,2025.0
36982,I-35W & Lake St,POINT(-93.27472560426484 44.948340286409945),0.0,2021.0
36983,I-35W & 46th St,POINT(-93.27473855459431 44.91967248448975),0.0,2021.0
36984,I-35W & 66th,POINT(-93.29589104560458 44.883415846534945),0.0,2021.0
36985,Knox Ave & 76th St,POINT(-93.30238851599307 44.86392575913851),0.0,2021.0
36986,Knox Ave & American Blvd,POINT(-93.30179778934836 44.85931007908863),0.0,2021.0
36987,I-35W & 98th St,POINT(-93.29095771471647 44.82569555417621),0.0,2021.0
36988,I-35W & Burnsville Parkway,POINT(-93.28702651785079 44.77023771819046),0.0,2021.0
36989,Burnsville Heart of the City,POINT(-93.27853183400687 44.77617711332266),0.0,2021.0
23125,Xerxes & 56th Ave.,POINT(-93.32197415509795 45.05684291892126),0.0,2019.0
23126,Brooklyn Center Transit Center,POINT(-93.31850309736608 45.05959869202712),0.0,2019.0
36990,44th Ave & Penn,POINT(-93.30822744767859 45.03544816023964),0.0,2022.0
36991,44th Ave & Girard,POINT(-93.29693446805699 45.03544471349491),0.0,2022.0
36992,Fremont & 42nd Ave,POINT(-93.2957384892573 45.03160005414469),0.0,2022.0
36993,Fremont & Dowling,POINT(-93.29565595250095 45.02396636754847),0.0,2022.0
36994,Fremont & 35th Ave,POINT(-93.29560130873209 45.01853733339584),0.0,2022.0
36995,Fremont & Lowry,POINT(-93.29555700964771 45.01256149903426),0.0,2022.0
36996,Emerson & Lowry,POINT(-93.29431716112903 45.01281755845284),0.0,2022.0
36997,Emerson & 26th Ave,POINT(-93.29421737579086 45.00610015944494),0.0,2022.0
36998,Fremont & 26th Ave,POINT(-93.29565225665522 45.00587361882674),0.0,2022.0
36999,Fremont & West Broadway,POINT(-93.29565225665753 44.99907488986062),0.0,2022.0
37000,West Broadway & Emerson Ave,POINT(-93.29414772138165 44.99946891972158),0.0,2022.0
37001,Emerson & Plymouth,POINT(-93.29408955480348 44.99228574967424),0.0,2022.0
37002,Plymouth & Fremont,POINT(-93.29520402537976 44.99196063448102),0.0,2022.0
37003,7th St & Bryant,POINT(-93.29082456975512 44.98949258813252),0.0,2022.0
37004,7th St & 5th Ave,POINT(-93.28162364160794 44.98292336435384),0.0,2022.0
23112,Olson & 7th St.,POINT(-93.28352013611811 44.98413614921347),0.0,2019.0
23111,Ramp A/7th St Transit Center,POINT(-93.27810180560859 44.978368805538224),0.0,2019.0
23107,7th St & Nicollet,POINT(-93.2722941173531 44.976862885126025),0.0,2019.0
23109,8th St & Nicollet,POINT(-93.27289417423088 44.97583986066732),0.0,2019.0
23106,7th St & 3rd/4th Ave,POINT(-93.26754083316271 44.97490164479834),0.0,2019.0
23110,8th St & 3rd/4th Ave,POINT(-93.26832162933728 44.9739155717335),0.0,2019.0
23105,7th St & Park,POINT(-93.26253281300025 44.97279943779725),0.0,2019.0
37005,8th St and Park,POINT(-93.26383552196394 44.97198883314189),0.0,2019.0
37006,8th St & Hennepin,POINT(-93.27600469840677 44.97726966742934),0.0,2019.0
23084,Mall of America,POINT(-93.2382804044054 44.8535836329342),0.0,2013.0
37007,American & Thunderbird,POINT(-93.24313947062045 44.85998847100197),0.0,2022.0
37008,American & Bloomington,POINT(-93.25285405143171 44.859912101081136),0.0,2022.0
37009,American & Chicago,POINT(-93.26429247644792 44.85981027439891),0.0,2022.0
37013,Portland & 66th St,POINT(-93.26787578751512 44.884107933848696),0.0,2022.0
37014,Portland & 60th St,POINT(-93.2677913199925 44.89409587207007),0.0,2022.0
37015,Chicago & 56th St,POINT(-93.26270807525329 44.90145766158432),0.0,2022.0
37016,Chicago & 52nd St,POINT(-93.26264173747327 44.90888628898216),0.0,2022.0
37017,Chicago & 48th St,POINT(-93.2625698432444 44.91610548621804),0.0,2022.0
37018,Chicago & 46th St,POINT(-93.26253550866812 44.91974795059869),0.0,2022.0
37019,Chicago & 42nd St,POINT(-93.26250111648959 44.92693411695552),0.0,2022.0
37020,Portland & 38th St,POINT(-93.26761831057844 44.934167403557126),0.0,2022.0
37021,Park & 38th St,POINT(-93.26501576417955 44.934158237425265),0.0,2022.0
37022,Chicago & 34th St,POINT(-93.26256620486346 44.94136396445239),0.0,2022.0
37023,Chicago Lake Transit Center,POINT(-93.26257445284139 44.94937709336267),0.0,2022.0
37024,Chicago & 26th St,POINT(-93.26257798294576 44.95554546474409),0.0,2022.0
37025,Chicago & 24th St,POINT(-93.26257798292963 44.95912797419865),0.0,2022.0
37026,Chicago & Franklin,POINT(-93.26256503493339 44.96271942144344),0.0,2022.0
37027,Chicago & 14th St,POINT(-93.26255731044355 44.96889768723196),0.0,2022.0
