id_station,name,geometry,mode,opening
16904,Cuffe Parade,POINT(72.81998982477865 18.912840885548164),0.0,2025.0
17552,Mahalaxmi,POINT(72.82527657039418 18.979368651345496),0.0,2025.0
17533,Vadavali,POINT(73.09356059972208 19.145049950392348),0.0,
17551,Science Museum,POINT(72.82192225831088 18.989991306008733),0.0,2025.0
17532,Nilje Gaon,POINT(73.09441275844526 19.155787289034734),0.0,
17545,Dharavi,POINT(72.8499435242718 19.046280575929757),0.0,2025.0
17568,Wadala Road,POINT(72.8591072733928 19.016375014573427),0.0,0.0
17588,Seawoods-Darave,POINT(73.01902753152768 19.021993646951344),0.0,2004.0
17589,CBD Belapur,POINT(73.03912507261369 19.018930526200826),0.0,2004.0
17591,Mansarovar,POINT(73.08087797898483 19.016336151620578),0.0,2004.0
16891,Thane,POINT(72.97561905539894 19.186194237375645),0.0,1853.0
16888,Kalyan Junction,POINT(73.1314332860812 19.23570992235875),0.0,1854.0
16890,Goregaon,POINT(72.84970153541522 19.164856759689215),0.0,0.0
16897,Uran,POINT(72.94677365436289 18.878469945757857),0.0,2021.0
16892,Kasara,POINT(73.47284380089604 19.648024210225245),0.0,0.0
16894,Roha,POINT(73.12342825940688 18.446815263817413),0.0,1986.0
16896,Diva Junction,POINT(73.04546530241353 19.190063534087884),0.0,1867.0
16899,Versova,POINT(72.82138578011242 19.130265714456755),0.0,2014.0
16900,Ghatkopar,POINT(72.90802982188328 19.086818362578157),0.0,2014.0
16907,Mandale,POINT(72.93837375363296 19.051239278856983),0.0,
16905,Dahisar East,POINT(72.86895005619252 19.25364400759426),0.0,2022.0
16903,SEEPZ,POINT(72.87582201064777 19.129077439921915),0.0,2024.0
16908,Swami Samarth Nagar,POINT(72.82701634668291 19.140604891599377),0.0,
16909,Vikhroli EEH,POINT(72.93433536735459 19.12484857403069),0.0,
16901,NMIA,POINT(73.07340099630352 18.994323258132184),0.0,
16911,Gundavali,POINT(72.85515060824471 19.116406990385542),0.0,2023.0
