id_station,name,geometry,mode,opening
16876,Scheidplatz,POINT(11.572864 48.1715431),,0.0
16877,Josephsplatz,POINT(11.5671573 48.1556853),,0.0
16878,Theresienstraße,POINT(11.5645546 48.1515204),,0.0
9900,Maxmonument,POINT(11.5878234 48.1376614),0.0,0.0
9901,Karlsplatz Nord,POINT(11.5645248 48.1399387),0.0,0.0
9902,Maximilianeum,POINT(11.5960551 48.1360161),0.0,0.0
9903,Maximilianeum,POINT(11.5956874 48.1362058),0.0,0.0
9904,Lenbachplatz,POINT(11.5684269 48.1408543),0.0,0.0
9905,Kammerspiele,POINT(11.5830033 48.1385534),0.0,0.0
9906,Nationaltheater,POINT(11.5790901 48.1393035),0.0,0.0
9915,Max-Weber-Platz,POINT(11.5979608 48.1360989),0.0,0.0
9914,Max-Weber-Platz,POINT(11.5978864 48.1359223),0.0,0.0
9910,Friedensengel/Villa Stuck,POINT(11.5999771 48.1404971),0.0,0.0
9911,Friedensengel/Villa Stuck,POINT(11.6002433 48.140942),0.0,0.0
9980,Agnes-Bernauer-Straße,POINT(11.5107023 48.1393904),0.0,0.0
9912,Holbeinstraße,POINT(11.6013269 48.1429895),0.0,0.0
9913,Holbeinstraße,POINT(11.6012968 48.1433539),0.0,0.0
9916,Sternwartstraße,POINT(11.6030639 48.1459675),0.0,0.0
9981,Fürstenrieder Straße,POINT(11.5035456 48.1397104),0.0,0.0
9917,Sternwartstraße,POINT(11.6035834 48.1463355),0.0,0.0
9908,Bundesfinanzhof,POINT(11.6054367 48.148171),0.0,0.0
9909,Bundesfinanzhof,POINT(11.605655 48.1484186),0.0,0.0
9979,Agnes-Bernauer-Platz,POINT(11.4966634 48.1397754),0.0,0.0
9992,Am Knie,POINT(11.4711221 48.1454449),0.0,0.0
9978,Willibaldplatz,POINT(11.4889418 48.1408471),0.0,0.0
9977,Westbad,POINT(11.4753894 48.14229),0.0,0.0
9993,Rathaus Pasing,POINT(11.4618923 48.1466667),0.0,0.0
9994,Pasing Bahnhof,POINT(11.4611306 48.1488053),0.0,0.0
9907,Marienplatz (Theatinerstraße),POINT(11.5752347 48.1395059),0.0,0.0
9920,Am Gasteig,POINT(11.5915435 48.13284),0.0,0.0
9921,Wiener Platz,POINT(11.595681 48.1340701),0.0,0.0
16879,Hohenzollernplatz,POINT(11.5688536 48.162355),,0.0
9922,Max-Weber-Platz (Johannisplatz),POINT(11.5979598 48.1343557),0.0,0.0
9930,Wörthstraße,POINT(11.5974473 48.1318304),0.0,0.0
9919,Wiener Platz,POINT(11.5959432 48.1341),0.0,0.0
9918,Am Gasteig,POINT(11.5917074 48.1328598),0.0,0.0
9933,Regerplatz,POINT(11.5879578 48.1242464),0.0,0.0
9923,Max-Weber-Platz (Johannisplatz),POINT(11.5982042 48.1344404),0.0,0.0
9924,Ostbahnhof,POINT(11.6034541 48.1287422),0.0,0.0
9940,Schlüsselbergstraße,POINT(11.6222149 48.129864),0.0,0.0
9925,Ostbahnhof,POINT(11.603483 48.1287178),0.0,0.0
9943,St.-Veit-Straße,POINT(11.642259 48.121978),,0.0
9926,Wörthstraße,POINT(11.5980939 48.1319764),0.0,0.0
9944,Baumkirchner Straße,POINT(11.6298299 48.1284978),0.0,0.0
9927,Wörthstraße,POINT(11.5982445 48.131815),0.0,0.0
9932,Regerplatz,POINT(11.5882377 48.1244463),0.0,0.0
9941,Mutschellestraße,POINT(11.638634 48.1266395),0.0,0.0
9929,Rosenheimer Platz,POINT(11.5940253 48.1288281),0.0,0.0
9942,Kreillerstraße,POINT(11.6446495 48.125715),0.0,0.0
9928,Rosenheimer Platz,POINT(11.5941869 48.1289753),0.0,0.0
9931,Wörthstraße,POINT(11.5975673 48.1318501),0.0,0.0
9937,Flurstraße,POINT(11.604576 48.1356477),0.0,0.0
9936,Flurstraße,POINT(11.6050534 48.1355944),0.0,0.0
9958,Hauptbahnhof,POINT(11.5610805 48.1401862),0.0,0.0
9956,Hauptbahnhof,POINT(11.5610935 48.1399545),0.0,0.0
9957,Hauptbahnhof,POINT(11.561126 48.1401869),0.0,0.0
9938,Haidenauplatz,POINT(11.609314 48.131894),0.0,0.0
9939,Haidenauplatz,POINT(11.6098236 48.1321909),0.0,0.0
9935,Max-Weber-Platz,POINT(11.6001004 48.135629),0.0,0.0
9934,Max-Weber-Platz,POINT(11.5984748 48.1356602),0.0,0.0
9945,Kreillerstraße,POINT(11.6444859 48.1254906),,0.0
9953,Lenbachplatz,POINT(11.5685966 48.140888),0.0,0.0
9954,Nationaltheater,POINT(11.5783853 48.1394104),0.0,0.0
9960,Holzapfelstraße,POINT(11.5465872 48.139309),0.0,0.0
9959,Trappentreustraße,POINT(11.5351608 48.139991),0.0,0.0
9991,Offenbachstraße,POINT(11.4659512 48.1460856),0.0,0.0
9949,Ampfingstraße,POINT(11.6150357 48.1310822),0.0,0.0
9950,Ampfingstraße,POINT(11.6164135 48.1308361),0.0,0.0
9948,Schlüsselbergstraße,POINT(11.6234389 48.1296426),0.0,0.0
9947,Baumkirchner Straße,POINT(11.6300536 48.1284128),0.0,0.0
9946,Mutschellestraße,POINT(11.637881 48.1267129),0.0,0.0
9964,Trappentreustraße,POINT(11.5353071 48.1399578),0.0,0.0
9951,Marienplatz (Theatinerstraße),POINT(11.5753716 48.1394412),0.0,0.0
9989,Rathaus Pasing,POINT(11.4605289 48.1466215),,0.0
9952,Kammerspiele,POINT(11.5830678 48.1385107),0.0,0.0
9963,Lautensackstraße,POINT(11.5182583 48.1396591),0.0,0.0
9990,Offenbachstraße,POINT(11.4657247 48.1461427),0.0,0.0
9961,Lautensackstraße,POINT(11.5181692 48.139549),0.0,0.0
