id_station,name,geometry,mode,opening
32663,Nagoya,POINT(136.8809658432458 35.17171006149853),0.0,2027.0
41067,Tokitsu,POINT(137.18205384193448 35.359746829622125),0.0,1903.0
41068,Tokishi,POINT(137.18210115134747 35.359773568176635),0.0,1965.0
23238,Ōzone,POINT(136.93657606132953 35.191421513196964),,1906.0
20642,Hatta,POINT(136.85323524039944 35.1486738021039),0.0,1982.0
20641,Takabata,POINT(136.85336361732405 35.13986973337534),0.0,1982.0
20645,Nakamura Nisseki,POINT(136.86193991502668 35.17251214022872),0.0,1969.0
20643,Iwatsuka,POINT(136.8544003318496 35.158104405792635),0.0,1982.0
20644,Nakamura Kōen,POINT(136.85517916825742 35.16783851052745),0.0,1969.0
20647,Kamejima,POINT(136.87676197558662 35.17755789403918),0.0,1969.0
20646,Honjin,POINT(136.8668874937884 35.177245325130876),0.0,1969.0
20651,Shinsakae-machi,POINT(136.92024626790084 35.17074559978913),0.0,1960.0
20649,Fushimi,POINT(136.89767855416093 35.16922433371108),0.0,1957.0
20648,Nagoya,POINT(136.88393311007914 35.17115058373646),0.0,1957.0
20654,Ikeshita,POINT(136.94624804826952 35.16777479681994),0.0,1960.0
20655,Kakuōzan,POINT(136.95325719157245 35.166622116889314),0.0,1963.0
20656,Motoyama,POINT(136.96352563483717 35.16397592307221),0.0,1963.0
20657,Higashiyama Koen (Higashiyama Park),POINT(136.97278905837118 35.16060010655502),0.0,1963.0
20658,Hoshigaoka,POINT(136.98512683988068 35.162461825657786),0.0,1967.0
20660,Kamiyashiro,POINT(137.0067087065249 35.17351431668461),0.0,1970.0
20662,Fujigaoka,POINT(137.02132731965497 35.182403014868655),0.0,1969.0
20661,Hongo,POINT(137.01343173665262 35.17538402502912),0.0,1969.0
20680,Hisaya-ōdōri,POINT(136.90817987759422 35.173408443841694),0.0,1989.0
20679,Sakae,POINT(136.90861012240578 35.16957433509894),0.0,1965.0
20681,Shiyakusho (City Hall),POINT(136.90551913516776 35.18162447842223),0.0,1965.0
20682,Meijō Kōen,POINT(136.90476559804193 35.19071947011542),0.0,1971.0
20684,Shiga-hondōri,POINT(136.92121051897033 35.196301160777416),0.0,1971.0
20685,Heian-dōri,POINT(136.929827359902 35.19590888854656),0.0,1971.0
20686,Ōzone,POINT(136.9362103601985 35.19275712444413),0.0,1971.0
20688,Sunadabashi,POINT(136.95449255334523 35.188764582955706),0.0,2000.0
20689,Chayagasaka,POINT(136.96229471243535 35.184616146487684),0.0,2003.0
20697,Aratama-bashi,POINT(136.93723470899795 35.117735594148954),0.0,1974.0
20698,Myōon-dōri,POINT(136.929647904612 35.11712655056644),0.0,1974.0
20699,Horita,POINT(136.92153572511265 35.11649972687615),0.0,1974.0
20693,Yagoto Nisseki,POINT(136.96479743088602 35.14488845739696),0.0,2004.0
20695,Sōgō Rihabiri Center,POINT(136.95473724221873 35.13078766703664),0.0,2004.0
20696,Mizuho Undōjō Higashi,POINT(136.94867127824688 35.12312691731885),0.0,2004.0
20694,Yagoto,POINT(136.96462762227452 35.13714124853553),0.0,2004.0
20700,Temma-chō,POINT(136.91042933120167 35.12078901149662),0.0,1974.0
20701,Jingū-Nishi,POINT(136.90679135011328 35.12765230225672),0.0,1974.0
20702,Nishi Takakura,POINT(136.90179506545977 35.134882972210974),0.0,1974.0
20704,Higashi Betsuin,POINT(136.90456756849883 35.14993482096047),0.0,1967.0
20707,Kanayama,POINT(136.9019217011304 35.14386540786568),0.0,2004.0
20705,Kamimaezu,POINT(136.906739479307 35.15763018780125),0.0,1967.0
20709,Rokuban-chō,POINT(136.88835437295918 35.124059746162175),0.0,1971.0
20715,Kamiiida,POINT(136.92965535155508 35.20396875062534),0.0,2003.0
20710,Tōkai-dōri,POINT(136.8860142657093 35.11350257260087),0.0,1971.0
20711,Minato Kuyakusho,POINT(136.88449532433032 35.10620582154475),0.0,1971.0
20712,Tsukiji-guchi,POINT(136.88311076590833 35.09971370675128),0.0,1971.0
20713,Nagoyakō (Nagoya Port),POINT(136.88187642039196 35.09296528342727),0.0,1971.0
20714,Heian-dōri,POINT(136.92978545447485 35.19603775915573),0.0,2003.0
20724,Jōshin,POINT(136.89079064249492 35.192118735252095),0.0,1981.0
20722,Shōnai Ryokuchi Kōen,POINT(136.8866295007641 35.21500528865667),0.0,1984.0
20721,Kami-Otai,POINT(136.87690684758465 35.223520806634085),0.0,1993.0
20725,Sengen-chō,POINT(136.89020806930952 35.183308435875034),0.0,1981.0
20728,Fushimi,POINT(136.89734891583086 35.168938628501664),0.0,1977.0
20729,Ōsu Kannon,POINT(136.89806652323986 35.1613785066112),0.0,1977.0
20734,Kawana,POINT(136.94831741754416 35.148706416052256),0.0,1977.0
20733,Gokiso,POINT(136.93399425078627 35.149508762564786),0.0,1977.0
20732,Arahata,POINT(136.92534540586536 35.14959089318906),0.0,1977.0
20730,Kamimaezu,POINT(136.90634759363184 35.15741711816641),0.0,1977.0
20731,Tsurumai,POINT(136.91537499245604 35.156184955957535),0.0,1977.0
20738,Ueda,POINT(136.98895276163609 35.128376096993975),0.0,1978.0
20737,Shiogama-guchi,POINT(136.9772968919973 35.13256187536),0.0,1978.0
20739,Hara,POINT(136.99715665615594 35.12598447913131),0.0,1978.0
20741,Akaike,POINT(137.01822146863196 35.121075621713565),0.0,1978.0
20740,Hirabari,POINT(137.0071973544998 35.12268632951862),0.0,1978.0
20742,Nakamura Kuyakusho,POINT(136.87327025756466 35.16762450774999),0.0,1989.0
20743,Nagoya,POINT(136.88294648819874 35.17097408218269),0.0,1989.0
41069,Mizunami,POINT(137.2523878373092 35.36905295091347),0.0,1903.0
20747,Takaoka,POINT(136.9169322004645 35.1741603997272),0.0,1989.0
20746,Hisaya-ōdōri,POINT(136.90794513543224 35.173749963078485),0.0,1989.0
20745,Marunouchi,POINT(136.89945952357886 35.17316737290701),0.0,1989.0
20749,Imaike,POINT(136.93692093869356 35.1685271125392),0.0,1989.0
20748,Kurumamichi,POINT(136.93022454375765 35.173314877728416),0.0,1989.0
20751,Gokiso,POINT(136.93362835413868 35.149406772363896),0.0,1994.0
20752,Sakurayama,POINT(136.9334047274645 35.13949556076473),0.0,1994.0
20753,Mizuho Kuyakusho,POINT(136.93450074530583 35.13158344937738),0.0,1994.0
20756,Sakura-hommachi,POINT(136.93673826473704 35.10887140827113),0.0,1994.0
20758,Nonami,POINT(136.95490004016065 35.102635386600966),0.0,1994.0
20757,Tsurusato,POINT(136.94482253298938 35.10549541885378),0.0,1994.0
20759,Naruko Kita,POINT(136.96612477837505 35.1026895768561),0.0,2011.0
20762,Tokushige,POINT(136.9981438582623 35.09443565612098),0.0,2011.0
27021,Yatomi,POINT(136.72562044623822 35.11408896899215),0.0,1898.0
23938,Misono,POINT(136.8969571348499 35.17802293003909),0.0,1911.0
23983,Doishita,POINT(136.90997924628505 35.18737691794409),0.0,1976.0
27022,Yatomi-guchi,POINT(136.71520470483642 35.11869860555318),0.0,1933.0
27023,Yatomi-guchi,POINT(136.7137832565105 35.12105498076764),0.0,1983.0
27024,Gonosan,POINT(136.71145008982347 35.12972075359072),0.0,1924.0
27025,Saya,POINT(136.71657380095587 35.14746279515161),0.0,1898.0
27026,Hibino,POINT(136.72868412655595 35.16382835704154),0.0,1907.0
27027,Minami-Tsushima,POINT(136.7306282733026 35.171598821605464),0.0,1924.0
27029,Kanehira,POINT(136.7286047426271 35.18685848160513),0.0,1924.0
27033,Marubuchi,POINT(136.7289751778863 35.222493021231514),0.0,1912.0
27030,Machikata,POINT(136.7271879447889 35.18973560676875),0.0,1959.0
27031,Rokuwa,POINT(136.72912636718806 35.20224462523404),0.0,1899.0
27032,Fuchidaka,POINT(136.7273048859141 35.214059389939706),0.0,1924.0
27028,Tsushima,POINT(136.7303564416348 35.178063784893425),0.0,1898.0
27035,Morikami,POINT(136.73688999232212 35.24743034353973),0.0,1899.0
27036,Yamazaki,POINT(136.73934031621275 35.256154269217106),0.0,1930.0
27037,Tamano,POINT(136.7475425449844 35.26597598066326),0.0,1924.0
27038,Hagiwara,POINT(136.75750500711723 35.27695102041473),0.0,1899.0
27039,Futago,POINT(136.76605217048927 35.283902177462735),0.0,1924.0
27040,Kariyasuka,POINT(136.77811906821614 35.28714197476933),0.0,1900.0
27041,Kannonji,POINT(136.78636589105355 35.28981547947416),0.0,1928.0
27034,Kami-Marubuchi,POINT(136.73264462095014 35.23412361732852),0.0,1924.0
24171,Hekinan,POINT(136.98555073062516 34.87392588595175),0.0,1954.0
24172,Ōhama-minato,POINT(136.98554661243406 34.87385831369504),0.0,1914.0
24174,Hekinan-Chūō,POINT(136.98950302059228 34.88763284793653),0.0,1981.0
24175,Shinkawamachi,POINT(136.99042532443167 34.896912071355516),0.0,1914.0
24176,Kitashinkawa,POINT(136.99238337224108 34.906400630152135),0.0,1914.0
24177,Takahama Minato,POINT(136.98924216858046 34.92119441239602),0.0,1914.0
24178,Mikawa Takahama,POINT(136.99001156448196 34.930620810113396),0.0,1918.0
24179,Yoshihama,POINT(136.98976459505315 34.94707940952799),0.0,1914.0
24180,Ogakie,POINT(136.99539655938696 34.96378370761063),0.0,1914.0
24181,Kariyashi,POINT(136.99369080749494 34.98468013611459),0.0,1914.0
24182,Kariya,POINT(137.00865231579957 34.99081716728553),0.0,1914.0
24183,Shigehara,POINT(137.02347670817494 34.994493658991246),0.0,1923.0
24173,Shin Suma,POINT(136.989433776539 34.885746643490094),0.0,1915.0
24184,Chiryū,POINT(137.03983435286577 35.00575663867346),0.0,1959.0
27042,Shin-Ichinomiya,POINT(136.7980852476158 35.29984819402898),0.0,1900.0
27046,Nishi-Miyaushiro,POINT(136.78420554820752 35.31335377287931),0.0,1924.0
