id_station,name,geometry,mode,opening
20870,Longmiandadao,POINT(118.87231178000422 31.94209015018101),0.0,2010.0
20859,Tianlongsi,POINT(118.75782557826834 31.98169984326913),0.0,2010.0
20857,Zhonghuamen,POINT(118.76921164735516 32.008610561935164),0.0,2005.0
20847,Maigaoqiao,POINT(118.8044963024143 32.10496481634246),0.0,2005.0
20850,Xinmofan­malu,POINT(118.7785736725611 32.08198552532281),0.0,2005.0
20851,Xuanwumen,POINT(118.77887148468488 32.07238150310384),0.0,2005.0
20852,Gulou,POINT(118.77834970783357 32.06096630416272),0.0,2005.0
20853,Zhujianglu,POINT(118.77903905064335 32.05248701317821),0.0,2005.0
20854,Xinjiekou,POINT(118.77887783978537 32.043816652151335),0.0,2005.0
20855,Zhangfuyuan,POINT(118.7786978541613 32.03287708163097),0.0,2005.0
20856,Sanshanjie,POINT(118.77629446851955 32.024884853349434),0.0,2005.0
20858,Andemen,POINT(118.75644214142727 31.993667393017645),0.0,2005.0
20860,Ruanjiandadao,POINT(118.76951686735532 31.978740721342888),0.0,2010.0
20861,Huashenmiao,POINT(118.78052979791454 31.97992962763925),0.0,2010.0
20863,Shuanglongdadao,POINT(118.81220093532113 31.96610872890635),0.0,2010.0
20864,Hedingqiao,POINT(118.81485118874787 31.955059471977847),0.0,2010.0
20865,Shengtailu,POINT(118.81629615512765 31.94569213003193),0.0,2010.0
20866,Baijiahu,POINT(118.81625612206324 31.9341453091845),0.0,2010.0
20867,Xiaolongwan,POINT(118.82879189982987 31.93203340969852),0.0,2010.0
20868,Zhushanlu,POINT(118.83958072700614 31.934280454220072),0.0,2010.0
20848,Hongshan Zoo,POINT(118.79696592852952 32.09802028681885),0.0,2005.0
20862,Nanjing South Railway Station,POINT(118.79199495764857 31.971869770916165),0.0,2011.0
20869,Tianyindadao,POINT(118.85873850867233 31.9398844257704),0.0,2010.0
20873,CPU (China Pharmaceutical University),POINT(118.90921739005597 31.899725938536406),0.0,2010.0
20872,NJCI (Nanjing Communications Institute of Technology),POINT(118.90002317571401 31.914864384934077),0.0,2010.0
20871,NMU / JITT (Nanjing Medical University – Jiangsu Institute of Economic and Trade Technology),POINT(118.88556605590082 31.935255754818414),0.0,2010.0
20964,Shanghailu,POINT(118.77080803026415 32.04439737042651),0.0,2010.0
20981,Linchang,POINT(118.66638132926764 32.16577694463736),0.0,2015.0
20955,Youfangqiao,POINT(118.71618370425415 31.968133606218498),0.0,2010.0
20963,Hanzhongmen,POINT(118.76372163525467 32.044872349704804),0.0,2010.0
20991,Xiaoshi,POINT(118.7801 32.09801875439509),0.0,2015.0
20989,Shangyuanmen,POINT(118.76369127241155 32.118387730439245),0.0,2015.0
20956,Yurundajie,POINT(118.71740893370901 31.98559712420078),0.0,2010.0
20957,Yuantong,POINT(118.71643930234023 31.997946899525274),0.0,2010.0
20958,Aoti Dong (Olympic Stadium East),POINT(118.72378949051785 32.00678539676244),0.0,2010.0
20959,Xinglongdajie,POINT(118.73183444943129 32.02054853677302),0.0,2010.0
20960,Jiqingmen­dajie,POINT(118.73427597417447 32.02963275373972),0.0,2010.0
20961,Yunjinlu,POINT(118.74149872581825 32.03708222014225),0.0,2010.0
20962,Mochouhu,POINT(118.75369418997599 32.039388139617486),0.0,2010.0
20965,Xinjiekou,POINT(118.77889195224134 32.04383449923422),0.0,2010.0
20966,Daxinggong,POINT(118.78933823156285 32.04316066416385),0.0,2010.0
20967,Xi'anmen,POINT(118.79983232699504 32.042375328937084),0.0,2010.0
20968,Minggugong,POINT(118.81443238163814 32.04123293827078),0.0,2010.0
20969,Muxuyuan,POINT(118.829993240855 32.04242313768334),0.0,2010.0
20970,Xiamafang,POINT(118.8432681672989 32.03976585960473),0.0,2010.0
20971,Xiaolingwei,POINT(118.8521244641006 32.037549001253154),0.0,2010.0
20972,Zhonglingjie,POINT(118.86396924430466 32.041044269125635),0.0,2010.0
20973,Maqun,POINT(118.88931167837893 32.05183881664182),0.0,2010.0
20974,Jinmalu,POINT(118.90027414475583 32.07454512550949),0.0,2010.0
20975,Xianhemen,POINT(118.89962401908627 32.08707572015844),0.0,2010.0
20976,Xuezelu,POINT(118.9108334880462 32.09308556129152),0.0,2010.0
20977,Xianlin Zhongxin,POINT(118.92558932531779 32.10107500860602),0.0,2010.0
20978,Yangshan­ Gongyuan,POINT(118.9349681479053 32.106027245725514),0.0,2010.0
20979,Nanda Xian Lin Xiaoqu (Nanjing University Xianlin Campus),POINT(118.95441065956715 32.11091305856537),0.0,2010.0
20980,Jingtianlu,POINT(118.97162376557128 32.118301870186826),0.0,2010.0
20987,Tianruncheng,POINT(118.72877366981623 32.15302765996006),0.0,2015.0
20988,Liuzhou­donglu,POINT(118.74116223187485 32.14239150783533),0.0,2015.0
20990,Wutang­guangchang,POINT(118.77261160049068 32.112404026932836),0.0,2015.0
20994,Jimingsi,POINT(118.79272187942934 32.059365633862),0.0,2015.0
20995,Daxinggong,POINT(118.78939837859491 32.04290625363416),0.0,2015.0
20996,Fuqiao,POINT(118.79048005288399 32.05016607784144),0.0,2015.0
20997,Changfujie,POINT(118.78714136992613 32.03559700005049),0.0,2015.0
20998,Fuzimiao,POINT(118.78571774688356 32.02595964745299),0.0,2015.0
20999,Wudingmen,POINT(118.78927324608071 32.01514779595972),0.0,2015.0
21000,Yuhuamen,POINT(118.78701416150102 32.005809362123486),0.0,2015.0
20985,SEU Chengxian College,POINT(118.70215274017873 32.15855),0.0,2015.0
20992,Nanjing Railway Station,POINT(118.7914801147872 32.09088538259851),0.0,2015.0
20993,NFU / Xinzhuang ,POINT(118.80516965934322 32.078532924125795),0.0,2015.0
21003,Kazimen,POINT(118.79041274372997 31.99689388510089),0.0,2015.0
21005,Mingfaguangchang,POINT(118.79557886749384 31.97882438731357),0.0,2015.0
21004,Daminglu,POINT(118.79468095538482 31.987650048813947),0.0,2015.0
21011,Chengxin­dadao,POINT(118.82472422102664 31.9113249995099),0.0,2015.0
21023,Jiangwangmiao,POINT(118.82576581046987 32.07910425980783),0.0,2017.0
21007,Hongyun­dadao,POINT(118.79703520137838 31.961788018415945),0.0,0.0
21022,Gangzicun,POINT(118.81091595981187 32.067552988176615),0.0,2017.0
21019,Gulou,POINT(118.77796707292819 32.06088313119934),0.0,2017.0
21020,Jimingsi,POINT(118.791548440052 32.059456362945134),0.0,2017.0
21009,Tianyuan­xilu,POINT(118.80349865422482 31.929293249208698),0.0,2015.0
21013,Mozhou­donglu,POINT(118.82580273944865 31.871104781710315),0.0,2015.0
21016,Longjiang,POINT(118.73462428593712 32.060095243981195),0.0,2017.0
21018,Yunnanlu,POINT(118.76901031053222 32.06122140718503),0.0,2017.0
21021,Jiuhuashan,POINT(118.80063937129091 32.05943612183722),0.0,2017.0
21024,Wangjiawan,POINT(118.83194285319217 32.08743871184369),0.0,2017.0
