id_station,name,geometry,mode,opening
19840,Ursulines St.,POINT(-90.05911550353785 29.95952399984928),0.0,1988.0
19841,Dumaine St.,POINT(-90.0607915279157 29.957923667651002),0.0,1988.0
19842,Toulouse St.,POINT(-90.06278345209466 29.955696084080756),0.0,1988.0
19843,Bienville St.,POINT(-90.06373533633268 29.952738430745526),0.0,1988.0
19844,Canal St.,POINT(-90.0635673590373 29.950214970490208),0.0,1988.0
19845,Poydras St.,POINT(-90.06323829660838 29.948089859220843),0.0,1988.0
19846,Julia St.,POINT(-90.06249683750791 29.944118594526074),0.0,1988.0
19847,John Churchill Chase St.,POINT(-90.06223008562142 29.94142715010385),0.0,1988.0
19848,Canal + Carondelet,POINT(-90.07017949632072 29.953546415891694),0.0,1835.0
19849,St. Charles + Common,POINT(-90.06977636597114 29.952292084700687),0.0,1835.0
19850,St. Charles + Union,POINT(-90.07019293324244 29.951110929055886),0.0,1835.0
19851,St. Charles + Poydras,POINT(-90.0705673755879 29.949813175656047),0.0,1835.0
19852,St. Charles + Lafayette,POINT(-90.07107419653748 29.948131970009996),0.0,1835.0
19853,St. Charles + Girod,POINT(-90.07127087333392 29.947447026185003),0.0,1835.0
19854,St. Charles + Julia,POINT(-90.0716869766158 29.946070375074186),0.0,1835.0
19855,St. Charles + Joseph,POINT(-90.07216682629655 29.94450950944595),0.0,1835.0
19856,Howard Ave. + Carondelet,POINT(-90.0734690388788 29.943973650855767),0.0,1835.0
19857,Carondelet + Julia,POINT(-90.07296135441841 29.946091947776836),0.0,1835.0
19858,Carondelet + Girod,POINT(-90.07254047491116 29.94751339593158),0.0,1835.0
19859,Carondelet + Poydras,POINT(-90.07192109451753 29.94962394047755),0.0,1835.0
19860,Carondelet + Gravier,POINT(-90.07124741102648 29.951854953583904),0.0,1835.0
19861,St. Charles at Lee Circle,POINT(-90.07277398420024 29.942773796839603),0.0,1835.0
19862,St. Charles + Erato,POINT(-90.07444813704181 29.940515712510887),0.0,1835.0
19863,St. Charles + Melpomene,POINT(-90.07550761834673 29.939076395602484),0.0,1835.0
19864,St. Charles + Euterpe,POINT(-90.07650964967043 29.937739272293143),0.0,1835.0
19865,St. Charles + Felicity,POINT(-90.07760911650492 29.936273456024693),0.0,1835.0
19866,St. Charles + St. Andrew,POINT(-90.07875411897496 29.935326168537756),0.0,1835.0
19867,St. Charles + Josephine,POINT(-90.07965483071366 29.934733480069426),0.0,1835.0
19869,St. Charles + First Street,POINT(-90.08274212320579 29.932780434427585),0.0,1835.0
19870,St. Charles + Third Street,POINT(-90.0843551992761 29.931883880432665),0.0,1835.0
19871,St. Charles + Washington,POINT(-90.08600911275553 29.930951927472734),0.0,1835.0
19872,St. Charles + Sixth Street,POINT(-90.08735394891042 29.930245774635765),0.0,1835.0
19873,St. Charles + Eighth Street,POINT(-90.08899424989748 29.92925482082495),0.0,1835.0
19874,St. Charles + Louisiana,POINT(-90.09145810453192 29.928252059872932),0.0,1835.0
19868,St. Charles + Jackson,POINT(-90.08065324682394 29.93408522314911),0.0,1835.0
19875,St. Charles + Foucher,POINT(-90.09367040121272 29.92744022838629),0.0,1835.0
19876,St. Charles + Peniston,POINT(-90.0956101079417 29.927009810653615),0.0,1835.0
19877,St. Charles + Constantinople,POINT(-90.09743268257935 29.926847388226392),0.0,1835.0
19878,St. Charles + Milan,POINT(-90.0996769326815 29.926676844481477),0.0,1835.0
19880,St. Charles + Cadiz,POINT(-90.10443668926953 29.92630432354379),0.0,1835.0
19881,St. Charles + Bordeaux,POINT(-90.10669832170798 29.926121142156262),0.0,1835.0
19882,St. Charles + Robert,POINT(-90.10882120081952 29.926548345140347),0.0,1835.0
19883,St. Charles + Dufossat,POINT(-90.11071360380896 29.927442205103645),0.0,1835.0
19884,St. Charles + Valmont,POINT(-90.11154699781446 29.927833266289753),0.0,1835.0
19886,St. Charles + Joseph,POINT(-90.1149016737506 29.92943267968964),0.0,1835.0
19887,St. Charles + Nashville,POINT(-90.11658227488245 29.930231681298423),0.0,1835.0
19888,St. Charles + State,POINT(-90.1180879093309 29.931085605289795),0.0,1835.0
19889,St. Charles + Webster,POINT(-90.11932648920154 29.931944055002674),0.0,1835.0
19890,St. Charles + Calhoun,POINT(-90.12070320076076 29.932925650934067),0.0,1835.0
19891,St. Charles + Exposition,POINT(-90.12156357527064 29.933543991357908),0.0,1835.0
19892,St. Charles + Tulane/Loyola,POINT(-90.12248101785808 29.934198886062944),0.0,1835.0
19879,St. Charles + Napoleon,POINT(-90.10207463891231 29.926491875814676),0.0,1835.0
19885,St. Charles + Jefferson,POINT(-90.11301686550749 29.928534147860802),0.0,1835.0
19893,St. Charles + Tulane University,POINT(-90.12391351804379 29.935192894653156),0.0,1835.0
19894,St. Charles + Walnut,POINT(-90.12540920611666 29.936240173834776),0.0,1835.0
19896,St. Charles + Lowerline,POINT(-90.12820916271798 29.938296950589802),0.0,1835.0
19897,St. Charles + Hilary,POINT(-90.13020289896681 29.939849141453223),0.0,1835.0
19898,St. Charles + Burdette,POINT(-90.13176378585977 29.941141870496324),0.0,1835.0
19899,St. Charles + Fern,POINT(-90.13253737679268 29.94178034254493),0.0,1835.0
19900,S. Carrollton + St. Charles,POINT(-90.13400785412347 29.942944139093655),0.0,1835.0
19901,S. Carrollton + Maple,POINT(-90.13271737483255 29.94446704993254),0.0,1893.0
19902,S. Carrollton + Freret,POINT(-90.13122365980391 29.945869159750345),0.0,1893.0
19903,S. Carrollton + Oak,POINT(-90.12972162344917 29.947281019932674),0.0,1893.0
19904,S. Carrollton + Willow,POINT(-90.12820890686555 29.94868735354531),0.0,1893.0
19905,S. Carrollton + Jeanette,POINT(-90.12742238384331 29.94942031515798),0.0,1893.0
19906,S. Carrollton + Birch,POINT(-90.12664560896565 29.950157134400328),0.0,1900.0
19907,S. Carrollton + Hickory,POINT(-90.1251875865894 29.95152557701884),0.0,1900.0
19908,S. Carrollton + Spruce,POINT(-90.12365436036507 29.952950231454665),0.0,1900.0
19909,S. Carrollton + Sycamore,POINT(-90.12216254292515 29.954340073193194),0.0,1900.0
19910,S. Carrollton + S. Clairborne,POINT(-90.12049775784095 29.955897316735257),0.0,1900.0
19991,Canal and Rampart Streets,POINT(-90.07310583650893 29.955879354830756),0.0,2004.0
19990,Conti St.,POINT(-90.0705757079542 29.958091418833945),0.0,2016.0
19992,Loyola + Tulane,POINT(-90.07464414962038 29.954775066509967),0.0,2013.0
34752,Union Passenger Terminal,POINT(-90.07774095906198 29.945457699296885),0.0,2000.0
34854,Claiborne/Columbus,POINT(-90.06717803482239 29.97109149774755),0.0,2022.0
34855,Claiborne/St. Bernard Terminal,POINT(-90.06397925602307 29.97309522244977),0.0,2022.0
34853,Claiborne/Esplinade,POINT(-90.06868538461099 29.9693817981821),0.0,2022.0
34906,Esplanade/Roman,POINT(-90.07039040035016 29.970637064384775),0.0,2022.0
34907,Esplanade/Johnson,POINT(-90.07211047102525 29.971822024991084),0.0,2022.0
34965,Earhart/Broadway,POINT(-90.11017537410424 29.958537055695103),0.0,2022.0
34966,Earhart/Fern,POINT(-90.11298267662751 29.960101424883845),0.0,2022.0
34740,S. Carrollton + Fontainebleau,POINT(-90.1188544341365 29.957456939400018),0.0,1900.0
34741,S. Carrollton + Pritchard,POINT(-90.11658947400463 29.95959365967876),0.0,1900.0
34743,S. Carrollton + Edinburgh,POINT(-90.11207678264635 29.963754565024146),0.0,1900.0
34745,S. Carrollton + Tulane,POINT(-90.10649896602511 29.968934987459534),0.0,2020.0
34746,Tulane + Ulloa,POINT(-90.10162847492049 29.96681876826797),0.0,2020.0
