id_station,name,geometry,mode,opening
8421,Carling,POINT(-75.70951997157265 45.39739993745604),0.0,2001.0
8422,Bayview,POINT(-75.72162988471396 45.40899544024006),0.0,2001.0
32413,UOttawa O-Train West/Ouest,POINT(-75.6823488 45.4205805),0.0,2019.0
32414,Lees O-Train West/Ouest,POINT(-75.6708992 45.4165481),0.0,2019.0
26532,Lyon ,POINT(-75.7047637 45.4188602),0.0,2019.0
26529,Parliament/Parlement B,POINT(-75.6991027 45.4212983),0.0,2019.0
32415,Hurdman O-Train West/Ouest,POINT(-75.6642459 45.4123777),0.0,2019.0
32416,Tremblay O-Train West/Ouest,POINT(-75.6536678 45.4167808),0.0,2019.0
32417,St-Laurent O-Train West/Ouest,POINT(-75.6373878 45.4206771),0.0,2019.0
32418,Cyrville O-Train West/Ouest,POINT(-75.6264401 45.4227016),0.0,2019.0
32419,Blair O-Train West/Ouest,POINT(-75.6083057 45.4310388),0.0,2019.0
32420,Pimisi O-Train West/Ouest,POINT(-75.7134687 45.4137261),0.0,2019.0
32421,Bayview O-Train West/Ouest,POINT(-75.7221505 45.4093624),0.0,2019.0
32423,Tunney's Pasture O-Train East/Est,POINT(-75.7352128 45.4037118),0.0,2019.0
