id_station,name,geometry,mode,opening
27713,Marshall Road,POINT(-75.29654861472666 39.94024599395908),0.0,1906.0
27714,Creek Road,POINT(-75.29518328151975 39.935148030840566),0.0,1906.0
27728,School Lane,POINT(-75.2997084086484 39.948608399732535),0.0,1913.0
27715,Baltimore Pike,POINT(-75.2929156461088 39.93127903211186),0.0,1906.0
27716,Penn Street,POINT(-75.29208353509574 39.928675065618876),0.0,1906.0
27717,Springfield Road,POINT(-75.29266492072642 39.92732252176762),0.0,1906.0
27718,Clifton-Aldan,POINT(-75.29006658254484 39.92564003779083),0.0,1906.0
27719,Shisler Avenue,POINT(-75.29009160453897 39.92361393321835),0.0,1906.0
27720,Providence Road,POINT(-75.28861649926058 39.92172181729239),0.0,1906.0
27721,Magnolia Avenue,POINT(-75.28687808556751 39.919469338760166),0.0,1906.0
27722,North Street,POINT(-75.28558549541746 39.9176071981268),0.0,1906.0
27723,Bartram Street,POINT(-75.28425328423663 39.91462516079477),0.0,1906.0
27724,Andrews Avenue,POINT(-75.28197957009867 39.911691563002705),0.0,1906.0
27725,MacDade Boulevard,POINT(-75.28096725046689 39.91036324381477),0.0,1906.0
27726,Sharon Hill,POINT(-75.2782166755528 39.90669680250008),0.0,1906.0
27727,Huey Avenue,POINT(-75.29757160502581 39.94747323474539),0.0,1913.0
27729,Aronimink,POINT(-75.3061699654223 39.94927019711125),0.0,1913.0
27730,Anderson Avenue,POINT(-75.31284779145905 39.947851826533366),0.0,1913.0
27731,Drexelbrook,POINT(-75.3160084133482 39.94717876084229),0.0,1913.0
27732,Drexeline,POINT(-75.32150103295814 39.94483359738442),0.0,1913.0
27733,Scenic Road,POINT(-75.32591424169749 39.940859935010565),0.0,1913.0
27734,Springfield Road,POINT(-75.32966036987432 39.93425310036727),0.0,1913.0
27735,Saxer Avenue,POINT(-75.33367830696068 39.92867825817592),0.0,1913.0
27736,Leamy Avenue,POINT(-75.33730755204807 39.92628031301609),0.0,1913.0
27737,Woodland Avenue,POINT(-75.33971121921702 39.92469459315234),0.0,1913.0
27738,Thompson Avenue,POINT(-75.34534655553736 39.92122592257249),0.0,1913.0
27739,Springfield Mall,POINT(-75.34908326496131 39.91807672466592),0.0,1913.0
27740,Paper Mill Road,POINT(-75.35792563557646 39.91538559435017),0.0,1913.0
27741,Pine Ridge,POINT(-75.36999538013845 39.91503571609982),0.0,1913.0
27742,Beatty Road,POINT(-75.37690040149222 39.91618461260549),0.0,1913.0
27743,Providence Road,POINT(-75.38078902005392 39.916719685693465),0.0,1913.0
27744,Manchester Avenue,POINT(-75.38291137000857 39.917006598810474),0.0,1913.0
27745,Edgemont Street,POINT(-75.38565280154567 39.917391579886726),0.0,1913.0
