id_station,name,geometry,mode,opening
28363,50th St,POINT(-111.9756297 33.4470664),0.0,2019.0
28360,44th St,POINT(-111.9884345 33.448216),0.0,2008.0
28362,Priest Dr,POINT(-111.9563381 33.4423406),0.0,2008.0
28361,Center Pkwy,POINT(-111.946979 33.438338),0.0,2008.0
28366,Rural Rd / University Dr,POINT(-111.9272764 33.4211149),0.0,2008.0
28364,Dorsey Ln,POINT(-111.9173531 33.4148026),0.0,2008.0
28365,Smith-Martin,POINT(-111.9012512 33.4148268),0.0,2008.0
28372,Mesa Dr,POINT(-111.8226128 33.4151001),0.0,2015.0
28375,Center St,POINT(-111.8311134 33.4151479),0.0,2015.0
28373,Country Club Dr,POINT(-111.8396844 33.4151611),0.0,2015.0
28374,Alma School Rd,POINT(-111.8562565 33.4149689),0.0,2015.0
28369,Mill Ave,POINT(-111.9411537 33.4275262),0.0,2008.0
28368,Veterans Way / College,POINT(-111.9363506 33.4263189),0.0,2008.0
28367,McClintock Dr,POINT(-111.9087192 33.4147585),0.0,2008.0
28371,Price-101,POINT(-111.888569 33.4148553),0.0,2008.0
28370,Sycamore,POINT(-111.8713734 33.4148941),0.0,2008.0
28377,Gilbert Rd,POINT(-111.7910621 33.4153682),0.0,2019.0
28398,Van Buren St,POINT(-112.073944 33.4522663),0.0,2008.0
28397,Van Buren St,POINT(-112.0750995 33.4515753),0.0,2008.0
28395,Washington St,POINT(-112.0739103 33.4492389),0.0,2008.0
28396,Jefferson St,POINT(-112.0752063 33.4474133),0.0,2008.0
28394,3rd St,POINT(-112.0710398 33.4483166),0.0,2008.0
28393,3rd St,POINT(-112.0688872 33.446301),0.0,2008.0
28391,12th St,POINT(-112.0576414 33.4482219),0.0,2008.0
28392,12th St,POINT(-112.0552026 33.4472323),0.0,2008.0
28390,24th St,POINT(-112.0288282 33.4471931),0.0,2008.0
28376,Stapley Dr,POINT(-111.8066566 33.4151513),0.0,2019.0
28411,Montebello Ave,POINT(-112.0996775 33.5209696),0.0,2008.0
28410,Camelback Rd / 19th Ave,POINT(-112.0992589 33.5095775),0.0,2008.0
28409,7th Ave,POINT(-112.0837882 33.5093508),0.0,2008.0
28408,Central Ave / Camelback Rd,POINT(-112.0757 33.5088496),0.0,2008.0
28407,Campbell Ave,POINT(-112.0737476 33.5017892),0.0,2008.0
28405,Thomas Rd,POINT(-112.073735 33.4816146),0.0,2008.0
28402,Encanto Blvd,POINT(-112.0737693 33.4740507),0.0,2008.0
28399,38th St,POINT(-112.0003494 33.4481438),0.0,2008.0
28412,Dunlap Ave / 19th Ave,POINT(-112.1013292 33.5674076),0.0,2016.0
28414,Northern Ave,POINT(-112.099589 33.5525916),0.0,2016.0
28413,Glendale Ave,POINT(-112.0996352 33.5379954),0.0,2016.0
28406,Indian School Rd,POINT(-112.073744 33.4961351),0.0,2008.0
28403,Osborn Rd,POINT(-112.073765 33.4872442),0.0,2008.0
28404,McDowell Rd,POINT(-112.0737809 33.4651125),0.0,2008.0
28401,Roosevelt St,POINT(-112.07398891343641 33.45916374718891),0.0,2008.0
28400,24th St,POINT(-112.0297424 33.4482236),0.0,2008.0
28415,Metrocenter,POINT(-112.11973680393396 33.57506021100666),0.0,2024.0
28416,Mountain Vew Rd / 24th Ave,POINT(-112.11225257492904 33.572998238678),0.0,2024.0
28417,25th Ave,POINT(-112.11190914125059 33.56757108404673),0.0,2024.0
