id_station,name,geometry,mode,opening
23570,Norwood Incline lower station,POINT(-80.06430092617111 40.47447982663843),0.0,1901.0
23571,Norwood Incline upper station,POINT(-80.06648650525095 40.47383151177141),0.0,1901.0
22405,Station Square,POINT(-80.00322054091497 40.431589672812606),0.0,1985.0
22404,First Avenue,POINT(-79.99659315799718 40.435461960765906),0.0,2001.0
22406,South Hills Junction,POINT(-80.00723515795156 40.42085424120043),0.0,1904.0
23385,Bethel Church,POINT(-80.04933534815214 40.33877645295996),0.0,1909.0
23386,Washington Main Street,POINT(-80.24349510204667 40.16511832813367),0.0,1885.0
23387,Washington Chestnut Street,POINT(-80.25399364838358 40.17224217768961),0.0,1871.0
23388,Tylerdale,POINT(-80.27003666417214 40.18749229917282),0.0,1871.0
22778,Swissvale,POINT(-79.87890424050038 40.41482970932262),,2003.0
22779,Harwood Steps,POINT(-80.00372360357302 40.421545372643436),0.0,1984.0
22780,Haberman,POINT(-80.0021547202032 40.421039581626246),0.0,1984.0
22781,Estella,POINT(-80.00061047497215 40.4210423349208),0.0,1984.0
22782,Curtin,POINT(-79.99888154651266 40.42116901033501),0.0,1984.0
22783,Beltzhoover,POINT(-79.99756536675073 40.4216150333057),0.0,1984.0
22784,Allen,POINT(-79.99381114174578 40.421795404220205),0.0,1984.0
22785,New Arlington,POINT(-79.99211577589358 40.42196360470501),0.0,1984.0
22786,Roanoke,POINT(-79.99042016522162 40.42512965397526),0.0,1984.0
22787,Newton,POINT(-79.99299252224911 40.426396730467985),0.0,1984.0
22788,William,POINT(-79.99647643944422 40.42793890665189),0.0,1984.0
22789,Knoxville Incline upper station,POINT(-79.99158459782159 40.422069048584405),0.0,1890.0
22790,Knoxville Incline lower station,POINT(-79.98691563656425 40.42712741502456),0.0,1890.0
22791,Mount Oliver Incline lower station,POINT(-79.98643826500415 40.42654161152382),0.0,1872.0
22792,Mount Oliver Incline upper station,POINT(-79.98642360440316 40.42222501791775),0.0,1872.0
22793,Penn Incline lower station,POINT(-79.98569939446328 40.44961995019764),0.0,1884.0
22794,Penn Incline upper station,POINT(-79.98356183979139 40.44783910141558),0.0,1884.0
22795,Castle Shannon Incline lower station,POINT(-80.0017635292514 40.43088198725823),0.0,1890.0
22796,Castle Shannon Incline upper station,POINT(-80.00309332537394 40.42709075729749),0.0,1890.0
22803,St. Clair Incline lower station,POINT(-79.974417432202 40.42464458995599),0.0,1888.0
22804,St. Clair Incline upper station,POINT(-79.97484730667104 40.41916941112996),0.0,1888.0
22805,Nunnery Hill Incline lower station,POINT(-80.00760149386582 40.45906156931943),0.0,1888.0
