id_station,name,geometry,mode,opening
35470,Santo Ovídio,POINT(-8.6066161024184 41.11545876935003),0.0,2011.0
35475,Jardim do Morro,POINT(-8.608722821193169 41.1376262217461),0.0,
35476,São Bento,POINT(-8.610770003665863 41.14463645472284),0.0,
35477,Aliados,POINT(-8.610876593513467 41.14784953452977),0.0,
35471,D. João I,POINT(-8.606176190636859 41.11968557813856),0.0,2008.0
35472,João de Deus,POINT(-8.605671182321089 41.126103141779424),0.0,
35478,Trindade,POINT(-8.609178863474925 41.15217360235523),0.0,
35479,Faria Guimarães,POINT(-8.609172187313362 41.157293886690155),0.0,
35480,Marquês,POINT(-8.604852481289072 41.16116644063641),0.0,
35481,Combatentes,POINT(-8.598566495258638 41.165477540603916),0.0,
35482,Salgueiros,POINT(-8.598782524808058 41.16966696703955),0.0,
35483,Polo Universitario,POINT(-8.60360824049826 41.17412345224068),0.0,
35484,IPO,POINT(-8.604625675359529 41.181141902981466),0.0,
35485,Hospital de São João,POINT(-8.600888688805384 41.18291529194312),0.0,
35529,Senhor de Matosinhos,POINT(-8.68515714052296 41.188200727304206),0.0,
35528,Mercado,POINT(-8.69341530894502 41.18747705672945),0.0,
35527,Brito Capelo,POINT(-8.691514902279351 41.1838980550491),0.0,
35526,Matosinhos Sul,POINT(-8.688588295354947 41.180139381801496),0.0,
35525,Câmara de Matosinhos,POINT(-8.681277560440236 41.18066176509626),0.0,
35524,Parque Real,POINT(-8.673603825510497 41.179085057215616),0.0,
35523,Pedro Hispano,POINT(-8.666227995703167 41.180347607038215),0.0,
35522,Estádio do Mar,POINT(-8.661225652466953 41.18575348315858),0.0,
35521,Vasco da Gama,POINT(-8.661025695633896 41.190315590905726),0.0,
35486,Fânzeres,POINT(-8.543007286960346 41.17067383530457),0.0,
35487,Venda Nova,POINT(-8.541904854766443 41.17509989609397),0.0,
35488,Carreira,POINT(-8.543514038737811 41.17983925637657),0.0,
35489,Baguim,POINT(-8.54584557950244 41.18553099238491),0.0,
35490,Campainha,POINT(-8.553855280446612 41.18334219060699),0.0,
35491,Rio Tinto,POINT(-8.560231755302652 41.17935961116538),0.0,
35492,Levada,POINT(-8.562173153568438 41.17575013740898),0.0,
35493,Nau Vitoria,POINT(-8.573480027357192 41.174103081754566),0.0,
35494,Nasoni,POINT(-8.577271720334437 41.17066237282518),0.0,
35495,Contumil,POINT(-8.57866638459447 41.16570244915738),0.0,
35496,Estádio do Dragão,POINT(-8.582138496705198 41.160462223329205),0.0,
35497,Campanhã,POINT(-8.585673845469216 41.15079545361715),0.0,
35498,Heroismo,POINT(-8.593030975469475 41.146683766491066),0.0,
35499,Campo 24 de Agosto,POINT(-8.598533655874576 41.14855810091319),0.0,
35500,Bolhão,POINT(-8.606670648560112 41.150006409048075),0.0,
35501,Lapa,POINT(-8.616773770931445 41.157097840802294),0.0,
35502,Carolina Michaelis,POINT(-8.622251560455197 41.15861932389814),0.0,
35503,Casa da Música,POINT(-8.629579618083028 41.1608011034015),0.0,
35504,Francos,POINT(-8.636389352162638 41.16551112804743),0.0,
35505,Ramalde,POINT(-8.641602187313367 41.17270516207364),0.0,
35506,Viso,POINT(-8.646534451723312 41.17723964600262),0.0,
35507,Sete Bicas,POINT(-8.652200932465433 41.18240360457838),0.0,
35508,Senhora da Hora,POINT(-8.65450243630022 41.188085064705376),0.0,
35510,Fonte do Cuco,POINT(-8.655961696549156 41.194174890803936),0.0,
35509,Fonte do Cuco,POINT(-8.655660297798619 41.194149433983),0.0,
35511,Candido dos Reis,POINT(-8.64974801949424 41.200714674403486),0.0,
35512,Pias,POINT(-8.647152727389994 41.20821616301595),0.0,
35513,Araújo,POINT(-8.641032592814412 41.21688191280356),0.0,
35514,Custió,POINT(-8.639047403405215 41.22227440724629),0.0,
35515,Parque Maia,POINT(-8.626545854399126 41.22910838392903),0.0,
35516,Fórum Maia,POINT(-8.623983230899569 41.23433982423629),0.0,
35517,Zona Indústrial,POINT(-8.62851157828726 41.24378418244723),0.0,
35518,Mandim,POINT(-8.62838365179661 41.25355157494252),0.0,
35519,Castelo da Maia,POINT(-8.617025458842477 41.26273125123777),0.0,
35520,ISMAI,POINT(-8.615432027923077 41.26889057914937),0.0,
35474,Câmara Gaia,POINT(-8.606165443062281 41.129630675577204),0.0,
35473,General Torres,POINT(-8.607532501119863 41.13393629428376),0.0,
35530,Custóias,POINT(-8.655606227146222 41.20026840840862),0.0,
35531,Esposade,POINT(-8.654575876156997 41.216036313386184),0.0,
35532,Crestins,POINT(-8.656664090795857 41.23301756325273),0.0,
35533,Verdes,POINT(-8.65829720889107 41.23818058013782),0.0,
35535,Aeroporto,POINT(-8.669635264778748 41.237101432178775),0.0,
35538,Vilar de Pinheiro,POINT(-8.679648087352035 41.27037508026592),0.0,
35537,Lidador,POINT(-8.668063246264921 41.2549267486074),0.0,
35536,Pedras Rubras,POINT(-8.661872430572856 41.246364559461824),0.0,
35539,Modivas Sul,POINT(-8.693563601124538 41.2852275615019),0.0,
35540,Modivas Centro,POINT(-8.699281273535405 41.2936450724753),0.0,
35541,Modivas Outlet,POINT(-8.703987217089178 41.30046419186314),0.0,
35542,Mindelo,POINT(-8.71421613828349 41.315057621904856),0.0,
35543,Espaço Natureza,POINT(-8.718689928099877 41.32118311395291),0.0,
35544,Varziela,POINT(-8.72068014156909 41.334213722172194),0.0,
35545,Árvore,POINT(-8.72555786775024 41.34035179653159),0.0,
35546,Azurara,POINT(-8.728071796357597 41.345953094628186),0.0,
35547,Santa Clara,POINT(-8.735661010922257 41.353940816919106),0.0,
35548,Vila do Conde,POINT(-8.739847765973053 41.35906790249979),0.0,
35549,Alto de Pega,POINT(-8.744949290577921 41.36437612471573),0.0,
35550,Portas Fronhas,POINT(-8.749673141753163 41.36925424290172),0.0,
35551,São Brás,POINT(-8.75382456193202 41.37320952048955),0.0,
35552,Póvoa de Varzim,POINT(-8.758237314137688 41.37773462689037),0.0,
35534,Botica,POINT(-8.665211683219866 41.237542527358954),0.0,2011.0
