id_station,name,geometry,mode,opening
40545,Łopuchowo Osiedle,POINT(17.1099835872009 52.61910026549273),0.0,2015.0
40547,Przebędowo,POINT(17.023813893166675 52.58366928054309),0.0,2015.0
40546,Łopuchowo,POINT(17.09493455598556 52.6134828287492),0.0,1905.0
40544,Sława Wlkp.,POINT(17.143946564780407 52.63412883672163),0.0,1905.0
40543,Skoki,POINT(17.162106118214382 52.67451762373054),0.0,1905.0
40542,Roszkowo Wągr.,POINT(17.176251577986307 52.70872952096164),0.0,1905.0
40541,Przysieczyn,POINT(17.18394791645784 52.75351014810735),0.0,1905.0
40539,Wągrowiec,POINT(17.202074441415913 52.80953565082067),0.0,1888.0
40549,Zielone Wzgórza,POINT(17.00855444935962 52.56522786569914),0.0,2011.0
40550,Bolechowo,POINT(16.979160461941177 52.53939767460676),0.0,1905.0
40551,Owińska,POINT(16.987593341264983 52.51143386555776),0.0,1905.0
40552,Czerwonak Osiedle,POINT(16.978100448893372 52.47999709807891),0.0,2011.0
40554,Poznań Karolin,POINT(16.981441737704586 52.43841011141649),0.0,1983.0
40556,Główna,POINT(16.971068376805277 52.417972138291134),,1887.0
40559,Grodzisk Wlkp.,POINT(16.364144940137294 52.23026237893197),0.0,1881.0
40548,Murowana Goślina,POINT(17.015875757459742 52.57511003669733),0.0,1905.0
40553,Czerwonak,POINT(16.979599674563133 52.46855268610551),0.0,1905.0
40540,Poznań Główny,POINT(16.91277479043018 52.40274039730529),0.0,1879.0
40555,Poznań Wschód,POINT(16.971248495244623 52.41802727763084),0.0,1926.0
40557,Poznań Garbary,POINT(16.937824042668847 52.41627493141965),0.0,1947.0
40572,Ogrody,POINT(16.881997273752546 52.4168695273826),0.0,2019.0
40573,Polska,POINT(16.87283483119876 52.41865527224661),0.0,2019.0
40574,Piękna,POINT(16.876366153017386 52.41757831028838),0.0,2019.0
40575,Meissnera,POINT(16.865602189809266 52.41849582855835),0.0,2019.0
40576,Ogrody,POINT(16.883250775242544 52.41631472751186),0.0,1971.0
40638,Przebędowo/Pętla,POINT(17.009879549343424 52.58721664338668),0.0,2015.0
40640,M. Goślina/Okrężna,POINT(17.01768771478116 52.58433729946399),0.0,2015.0
40643,M. Goślina/PKM,POINT(17.015226923850065 52.57500617834563),0.0,2015.0
40644,M. Goślina/Poznańska,POINT(17.01086791517188 52.57368849778765),0.0,2015.0
40645,M. Goślina/Poznańska,POINT(17.00941191781213 52.5730105667246),0.0,2015.0
40639,Przebędowo/Park,POINT(17.01480134129987 52.58597517566376),0.0,2015.0
40641,M. Goślina/Okrężna,POINT(17.01650689475308 52.583405561739994),0.0,2015.0
40642,M. Goślina/Polna,POINT(17.017795159100967 52.57824729431472),0.0,2015.0
40646,M. Goślina/Cmentarz,POINT(17.007944956734804 52.571189930500964),0.0,2015.0
40647,M. Goślina/Modrzewiowa,POINT(17.002446003735372 52.56640819833541),0.0,2015.0
40649,M. Goślina/Nowy Rynek,POINT(16.995491484406386 52.5673231167215),0.0,2015.0
40651,M. Goślina/Leśna,POINT(16.988977009219298 52.564386207034744),0.0,2015.0
40652,Szlachęcin,POINT(16.980574018125253 52.55999256777508),0.0,2015.0
40653,Bolechowo-Os./Kasztanowa,POINT(16.97334613348619 52.55033921193814),,2015.0
40654,Bolechowo-Os./Fabryka Samochodów,POINT(16.97277949041913 52.545164790220866),0.0,2015.0
40655,Bolechowo-Os./Wojska Polskiego,POINT(16.972456995228413 52.54160106175462),0.0,2015.0
40648,M. Goślina/Kręta,POINT(16.999245093701788 52.566721086151446),0.0,2015.0
40650,M. Goślina/Leśna,POINT(16.99003042925395 52.56503894561402),0.0,2015.0
40657,Promnice/Klub Iskra,POINT(16.9642211770917 52.54865876735647),0.0,2015.0
40656,Promnice/Klonowa,POINT(16.96195391912596 52.5520798005133),0.0,2015.0
41102,Wiry,POINT(16.868141969746205 52.31534188463286),0.0,1938.0
41103,Szreniawa,POINT(16.80078290939798 52.317790801117525),0.0,1909.0
41104,Trzebaw Rosnówko,POINT(16.76714689459638 52.29656327005446),0.0,1909.0
41105,Stęszew,POINT(16.70975862659111 52.280399294338935),0.0,1909.0
41106,Strykowo Poznańskie,POINT(16.613781807453734 52.24353937672413),0.0,
41107,Granowo,POINT(16.530840872414103 52.2254681275418),0.0,1909.0
41108,Kotowo,POINT(16.484010561765928 52.22830887742958),0.0,2012.0
41109,Ptaszkowo,POINT(16.44070968116469 52.22911294705193),0.0,1909.0
41110,Grąblewo,POINT(16.38950861316721 52.23580372222867),0.0,2014.0
41111,Jarocin,POINT(17.494194631162173 51.96863073993549),0.0,1875.0
41101,Luboń k/Poznania,POINT(16.89305332968698 52.3442343093323),0.0,1856.0
41100,Poznań Dębiec,POINT(16.90135126612796 52.36912783576145),0.0,1933.0
41137,Środa Wlkp.,POINT(17.274946440379097 52.21797741673771),0.0,1875.0
