id_station,name,geometry,mode,opening
19918,Watt/I-80,POINT(-121.38330305920418 38.64508204998219),0.0,1987.0
19919,Watt/I-80 West,POINT(-121.39462660329872 38.64280343886749),0.0,1987.0
19921,Roseville Road,POINT(-121.4021788288659 38.638173048103795),0.0,1987.0
19920,Marconi/Arcade,POINT(-121.42466747296812 38.621403531343134),0.0,1987.0
19922,Swanston,POINT(-121.43938996172625 38.60777883012321),0.0,1987.0
19923,Royal Oaks,POINT(-121.44766216487952 38.60607198011161),0.0,1987.0
19924,Arden/Del Paso,POINT(-121.45681107089015 38.60625653387919),0.0,1987.0
19925,Globe,POINT(-121.46588662789236 38.60290174225915),0.0,1987.0
19926,Alkali Flat/La Valentina,POINT(-121.48814089253321 38.58562238920149),0.0,1987.0
19927,12th & I,POINT(-121.49016937955327 38.58100781840531),0.0,1987.0
19928,Cathedral Square,POINT(-121.49259833203845 38.57887092643844),0.0,1987.0
19929,St. Rose of Lima Park,POINT(-121.49412309956108 38.57926479182234),0.0,1987.0
19930,7th & K,POINT(-121.49725225014863 38.58013159762157),0.0,1987.0
19931,7th & K,POINT(-121.49810601916084 38.57973748690824),0.0,2010.0
19932,8th & K,POINT(-121.49648833853047 38.58036086621891),0.0,2007.0
19933,7th & Capital,POINT(-121.49863777548394 38.57851653363633),0.0,1987.0
19934,8th & Capital,POINT(-121.49778249284427 38.5773560823057),0.0,1987.0
19935,8th & O,POINT(-121.49825516965687 38.57543319436135),0.0,1987.0
19936,Archives Plaza,POINT(-121.4938679362583 38.57421799564105),0.0,1987.0
19937,13th St.,POINT(-121.49388424749299 38.57109734101752),0.0,1987.0
19938,16th St.,POINT(-121.4895611834261 38.56994200732433),0.0,1987.0
19939,Broadway,POINT(-121.48790385516186 38.559756059578234),0.0,2003.0
19940,4th Ave./Wayne Hultgren,POINT(-121.4881953130403 38.55174018741775),0.0,2003.0
19941,City College,POINT(-121.48529973448194 38.54189522243024),0.0,2003.0
19942,Fruitridge,POINT(-121.48011471160473 38.5255595020665),0.0,2003.0
19943,47th Ave.,POINT(-121.47585450566481 38.51185966990971),0.0,2003.0
19944,Florin,POINT(-121.47157870255512 38.49792415565065),0.0,2003.0
19945,Meadowview,POINT(-121.4670767492201 38.483313823959264),,2003.0
19957,Morrison Creek,POINT(-121.46311088713209 38.46625087905099),0.0,2021.0
19958,Franklin,POINT(-121.44851285506746 38.46302919094882),0.0,2015.0
19959,Center Parkway,POINT(-121.42959340968838 38.45871074384749),0.0,2015.0
19960,Cosumnes River College,POINT(-121.41831538745103 38.45363426890768),0.0,2015.0
19961,7th and Richards/Township 9,POINT(-121.49236505859022 38.59647350382775),0.0,2012.0
19962,7th & I/County Center,POINT(-121.49681329530766 38.58277039978546),0.0,2007.0
19963,8th & H/County Center,POINT(-121.49535681505101 38.58291533401845),0.0,2012.0
19964,Sacramento Valley Station,POINT(-121.4998539433964 38.58450720362811),0.0,2006.0
19965,23rd St.,POINT(-121.4788420674696 38.56657272254705),0.0,1987.0
19966,29th St.,POINT(-121.47109561760001 38.56450167750353),0.0,1987.0
19967,39th St./UC Davis Health,POINT(-121.45723343398056 38.5607201696059),0.0,1994.0
19968,48th St.,POINT(-121.44863507861535 38.558343153585724),0.0,1994.0
19969,59th St.,POINT(-121.43571604200733 38.5547850576657),0.0,1987.0
19970,University/65th St.,POINT(-121.42724273206679 38.55251422069958),0.0,1987.0
19971,Power Inn,POINT(-121.40752820737583 38.54731100422711),0.0,1987.0
19972,College Greens,POINT(-121.39322507985543 38.547048366745656),0.0,1987.0
19973,Watt/Manlove,POINT(-121.37306000339817 38.55391767603871),0.0,1987.0
19974,Starfire,POINT(-121.3621586879189 38.55939178834953),0.0,1987.0
19975,Tiber,POINT(-121.35274289280143 38.56409708057055),0.0,1987.0
19976,Butterfield,POINT(-121.34661826915047 38.56714170060553),0.0,1987.0
19977,Mather Field/Mills,POINT(-121.31085787349716 38.584908219165044),0.0,1998.0
19978,Zinfandel,POINT(-121.29025239853453 38.59513574979027),0.0,2004.0
19979,Cordova Town Center,POINT(-121.28319465835177 38.59861927241451),0.0,2004.0
19980,Sunrise,POINT(-121.26688885154812 38.60664493588203),0.0,2004.0
19981,Hazel,POINT(-121.21219731972175 38.630374896976605),0.0,2005.0
19982,Iron Point,POINT(-121.19021298384092 38.64463487539908),0.0,2005.0
19983,Glenn,POINT(-121.18368244028045 38.66287596052132),0.0,2005.0
19984,Historic Folsom,POINT(-121.1806575389682 38.67595204439536),0.0,2005.0
