id_station,name,geometry,mode,opening
6675,Vila Tolstói,POINT(-46.52862446451247 -23.59992463350473),0.0,2018.0
6648,Alto da Boa Vista,POINT(-46.69960028510899 -23.641684286737053),0.0,2017.0
6646,Oscar Freire,POINT(-46.67310705875113 -23.561017678710314),0.0,2018.0
6670,Perdizes,POINT(-46.674043188360706 -23.536520950885652),0.0,
6673,Camilo Haddad,POINT(-46.53837349917456 -23.594749385139973),0.0,2018.0
6677,Sapopemba,POINT(-46.501242856983694 -23.61471560282203),0.0,2019.0
6672,São Lucas,POINT(-46.54492008282469 -23.588588216025457),0.0,2018.0
6687,Paranapiacaba,POINT(-46.30309165867121 -23.778043338911004),0.0,1867.0
6674,Jardim Planalto,POINT(-46.50879563100836 -23.604980908921696),0.0,2019.0
6676,Vila União,POINT(-46.516533071572546 -23.602876163355802),0.0,2018.0
6678,Fazenda da Juta,POINT(-46.48702014258526 -23.611298104668855),0.0,2019.0
6692,Natura,POINT(-46.834579080217395 -23.40082532736284),0.0,2008.0
6669,Angélica - Pacaembu,POINT(-46.65918091309643 -23.546606706165154),0.0,
6668,SESC - Pompeia,POINT(-46.68298881700345 -23.529357054918464),0.0,
6690,Mineral,POINT(-46.77619742740464 -23.398809221125703),0.0,1914.0
6693,Ecologia,POINT(-46.78925690165369 -23.404261679288922),0.0,1914.0
6647,São Paulo - Morumbi,POINT(-46.72360779805522 -23.58664769300993),0.0,2018.0
6694,Luis Carlos,POINT(-46.05822420169895 -23.458944930677774),0.0,1914.0
6671,PUC - Cardoso de Almeida,POINT(-46.66480884211509 -23.54174220119442),0.0,
6645,Higienópolis - Mackenzie,POINT(-46.653757935164435 -23.549832991472258),0.0,2018.0
6661,Santa Marina,POINT(-46.69090686588192 -23.51528935069234),0.0,
6662,Freguesia do Ó,POINT(-46.69356382191521 -23.502237843635168),0.0,
6656,Borba Gato,POINT(-46.69223171617733 -23.632662744058877),0.0,2017.0
6680,Chucri Zaidan,POINT(-46.69522834705927 -23.613519175316014),0.0,
6667,14 Bis-Saracura,POINT(-46.64990180280574 -23.555682229204024),0.0,
6685,Vereador José Diniz,POINT(-46.67912661518576 -23.62197078812691),0.0,
6666,Bela Vista,POINT(-46.64338070088884 -23.56038075419242),0.0,999999.0
6682,Campo Belo,POINT(-46.68254602838327 -23.619079318582568),0.0,999999.0
6655,Brooklin,POINT(-46.687914742475044 -23.626413940679203),0.0,2017.0
6653,Eucaliptos,POINT(-46.66850352829167 -23.61022947777661),0.0,2018.0
6686,Brooklin Paulista,POINT(-46.67437394442 -23.629028055304044),0.0,
6683,Jardim Aeroporto,POINT(-46.6661565047934 -23.635401441680642),0.0,
6658,São Joaquim,POINT(-46.63890486790115 -23.561722318399646),0.0,
6659,Higienópolis - Mackenzie,POINT(-46.6534132250558 -23.549674892623813),0.0,
6684,Congonhas,POINT(-46.6614510719854 -23.627463038951646),0.0,
6660,Água Branca,POINT(-46.68819096231931 -23.521105584720644),0.0,
6652,AACD - Servidor,POINT(-46.65209260574256 -23.597747700239495),0.0,2018.0
6664,Itaberaba,POINT(-46.69146014591666 -23.483957001940286),0.0,
6665,João Paulo I,POINT(-46.69066123851727 -23.492087474892383),0.0,
6681,Vila Cordeiro,POINT(-46.68956941464003 -23.61517333967383),0.0,999999.0
6688,Mooca,POINT(-46.608285530642206 -23.557916317771557),0.0,1898.0
6679,Morumbi,POINT(-46.70185984671739 -23.621667235662965),0.0,
6689,Hospedaria dos Imigrantes,POINT(-46.61362675233508 -23.54952182366989),0.0,1888.0
6691,Santa Fé,POINT(-46.823114281279686 -23.401278750136854),0.0,1914.0
6695,Guararema,POINT(-46.03208332290208 -23.41436227430401),0.0,1876.0
6714,Diadema,POINT(-46.625932663095455 -23.685291929734205),0.0,1990.0
6715,Berrini,POINT(-46.69334546372214 -23.60601168680356),0.0,2010.0
6716,Morumbi,POINT(-46.6971143584613 -23.622438541378884),0.0,2010.0
6723,Sônia Maria,POINT(-46.48133881361659 -23.62384545030416),0.0,1988.0
6720,Ferrazópolis,POINT(-46.55110331882261 -23.720668653797418),0.0,1988.0
6719,São Bernardo,POINT(-46.552228479604 -23.69831801980323),0.0,1988.0
6717,Jabaquara,POINT(-46.63972651378887 -23.64666669969067),0.0,1990.0
6718,Piraporinha,POINT(-46.584901206428185 -23.69164501163185),0.0,1990.0
3365,Socorro,POINT(-46.71085942299581 -23.663285023450953),0.0,1960.0
3230,Bresser-Mooca,POINT(-46.60707327875886 -23.54638021631914),0.0,1920.0
6722,São Mateus,POINT(-46.47619282524897 -23.61346665452095),0.0,1988.0
6721,Santo André,POINT(-46.526918562352705 -23.65178173836418),0.0,1988.0
7032,Itapevi,POINT(-46.93500231594397 -23.5460064966809),0.0,2012.0
7033,Jandira,POINT(-46.90207467189484 -23.527907351964885),0.0,2012.0
7037,Parelheiros,POINT(-46.73518285804167 -23.804111861395157),0.0,2004.0
7040,Guarapiranga,POINT(-46.712040621793136 -23.66581267476529),0.0,2004.0
7043,João Dias,POINT(-46.734046025301154 -23.643426636764147),0.0,2000.0
7046,Vila Nova Cachoeirinha,POINT(-46.673329290801746 -23.480359940032372),0.0,1991.0
7049,Amaral Gurgel,POINT(-46.64880233157385 -23.537446790968758),0.0,2003.0
