id_station,name,geometry,mode,opening
8663,Convention Center,POINT(-122.4385147 47.2495043),0.0,2003.0
8665,Tacoma Dome,POINT(-122.4281148 47.2398391),0.0,2003.0
8667,Theater District,POINT(-122.440014 47.2562005),0.0,2003.0
28216,Rainier Beach,POINT(-122.279453 47.5224409),0.0,2009.0
28215,Othello,POINT(-122.2816158 47.5379905),0.0,2009.0
28212,Columbia City,POINT(-122.2927376 47.5597267),0.0,2009.0
28220,Mount Baker,POINT(-122.2977276 47.5765538),0.0,2009.0
28218,Beacon Hill,POINT(-122.3116391 47.5790849),0.0,2009.0
28222,Stadium,POINT(-122.3272659 47.5911093),0.0,2009.0
28223,SODO,POINT(-122.3274335 47.5812626),0.0,2009.0
28224,Westlake,POINT(-122.3368952 47.611567),0.0,2009.0
28225,Pioneer Square,POINT(-122.3310213 47.6022251),0.0,2009.0
28226,University Street,POINT(-122.3356689 47.6072826),0.0,2009.0
28227,International District/Chinatown,POINT(-122.32804844809696 47.598271949520495),0.0,2009.0
28229,University of Washington,POINT(-122.3038558 47.6498516),0.0,2016.0
28228,Capitol Hill,POINT(-122.3202798 47.6190753),0.0,2016.0
28230,U District,POINT(-122.314221 47.660491),0.0,2021.0
28231,Roosevelt,POINT(-122.316073 47.676221),0.0,2021.0
28232,Northgate,POINT(-122.328377 47.7030237),0.0,2021.0
28233,Tukwila International Boulevard,POINT(-122.2879013 47.4640175),0.0,2009.0
28234,Concourse B,POINT(-122.3034745 47.4409398),,
28236,Main Terminal North,POINT(-122.3009016 47.445545),,
28237,SeaTac/Airport,POINT(-122.29699 47.4453473),0.0,2009.0
28238,A Gates,POINT(-122.3007514 47.4419374),,
28239,D Gates,POINT(-122.3009001 47.4447622),,
28240,Angle Lake,POINT(-122.2978768 47.4224108),0.0,2016.0
28241,Tukwila,POINT(-122.24041062333258 47.460165778968786),0.0,2001.0
28242,Seattle King Street,POINT(-122.3295168 47.5975188),0.0,2000.0
28243,Kent,POINT(-122.2329992 47.3849712),0.0,2001.0
28244,Auburn,POINT(-122.2322632 47.3072265),0.0,2000.0
28245,Sumner,POINT(-122.24487393364643 47.20120077443363),0.0,2000.0
28246,Puyallup,POINT(-122.29571375435799 47.19270506890001),0.0,2001.0
28247,Tacoma Dome,POINT(-122.42704259766272 47.23948395187418),0.0,2000.0
28248,South Tacoma,POINT(-122.485545 47.203276),0.0,2012.0
28249,Lakewood,POINT(-122.5000967 47.1526186),0.0,2012.0
8659,Westlake Center,POINT(-122.3369213 47.6120286),0.0,1962.0
28250,Edmonds,POINT(-122.384681 47.8109998),0.0,2003.0
28251,Mukilteo,POINT(-122.2994694 47.9489332),0.0,2008.0
28252,Everett,POINT(-122.19743702604438 47.97549520723811),0.0,2003.0
28254,Westlake & Thomas,POINT(-122.3385364 47.6214115),0.0,
28255,Pacific Place,POINT(-122.3373091 47.6129623),0.0,2007.0
28256,Terry & Thomas,POINT(-122.3372118 47.6214212),0.0,
28257,Terry & Mercer,POINT(-122.3371901 47.6243402),0.0,2007.0
28258,Lake Union Park,POINT(-122.3363286 47.6258835),0.0,
28259,Westlake & Mercer,POINT(-122.3385417 47.6242704),0.0,2007.0
28260,Westlake & 7th,POINT(-122.3378525 47.6149952),,2007.0
28261,Westlake & Denny,POINT(-122.3384552 47.6178973),,2007.0
28262,Fairview & Campus Drive,POINT(-122.3321781 47.6276927),0.0,2007.0
28272,Occidental Mall,POINT(-122.3332511 47.599223),0.0,2016.0
28273,7th & Jackson,POINT(-122.3234466 47.5992263),0.0,2016.0
28274,Yesler & Broadway,POINT(-122.3199768 47.6016689),0.0,2016.0
28275,Broadway & Terrace,POINT(-122.320849 47.6049981),0.0,2016.0
28276,Broadway & Pike,POINT(-122.3208604 47.6143027),0.0,2016.0
28277,12th & Jackson,POINT(-122.3159021 47.5992345),0.0,2016.0
28278,5th & Jackson,POINT(-122.3268088 47.5992259),0.0,2016.0
28279,14th & Washington,POINT(-122.3142174 47.6006711),0.0,2016.0
28280,Broadway & Marion,POINT(-122.3208583 47.6099146),0.0,2016.0
28281,Broadway & Denny,POINT(-122.32094287638134 47.61808080121614),0.0,2016.0
37998,Judkins Park,POINT(-122.304331882448 47.590306652102186),0.0,2026.0
37999,Mercer Island,POINT(-122.23361383668703 47.588332269101016),0.0,2026.0
38000,South Bellevue,POINT(-122.19046543876523 47.58658125346514),0.0,2024.0
38001,East Main,POINT(-122.19118191349374 47.60803322087139),0.0,2024.0
38002,Bellevue Downtown,POINT(-122.19194642592862 47.615248077720196),0.0,2024.0
38003,Wilburton,POINT(-122.18381997106599 47.61797517123085),0.0,2024.0
38004,Spring District,POINT(-122.17858769254539 47.623787685928335),0.0,2024.0
38005,BelRed,POINT(-122.16571551794365 47.624466716584976),0.0,2024.0
38006,Overlake Village,POINT(-122.13896379679585 47.63633193528938),0.0,2024.0
38007,Redmond Technology,POINT(-122.13361118659083 47.6445652662789),0.0,2024.0
38008,Downtown Redmond,POINT(-122.11838912975759 47.67162424116361),0.0,2025.0
38009,Marymoor Village,POINT(-122.10948872687115 47.66732326424102),0.0,2025.0
38010,NE 130th Street,POINT(-122.32389776586267 47.724070122935814),0.0,2026.0
38011,Shoreline South/148th,POINT(-122.3253265114082 47.7361189267867),0.0,2024.0
38012,Shoreline North/185th,POINT(-122.32289915230797 47.76420168265136),0.0,2024.0
38013,Mountlake Terrace,POINT(-122.3148578362219 47.7849802356823),0.0,2024.0
38014,Lynnwood City Center,POINT(-122.29481001603844 47.81563978902676),0.0,2024.0
38016,Star Lake,POINT(-122.29725923411965 47.35956019095923),0.0,2026.0
38017,Federal Way Downtown,POINT(-122.30385242016754 47.3159103667995),0.0,2026.0
38015,Kent Des Moines,POINT(-122.29442622793712 47.389527302685735),0.0,2026.0
8660,Theater District,POINT(-122.4393333 47.2528831),0.0,2011.0
8661,Theater District,POINT(-122.4393082 47.2530104),0.0,2011.0
38031,Old City Hall,POINT(-122.44042668708275 47.25772716374448),0.0,2023.0
38032,South 4th Street,POINT(-122.44270136873968 47.26130398066675),0.0,2023.0
