id_station,name,geometry,mode,opening
32459,SU Sveti Kliment Ohridski,POINT(23.334615838422565 42.69250990172412),0.0,2009.0
32453,Lyulin,POINT(23.257653730948505 42.71822349534537),0.0,1998.0
32452,Slivnitsa,POINT(23.261824973249105 42.72660992812888),0.0,1998.0
32448,Sofia Airport,POINT(23.41605682405242 42.68798876383701),0.0,2015.0
32483,Hadzhi Dimitar,POINT(23.3513410114075 42.70212892762788),0.0,2020.0
32484,Teatralna,POINT(23.34701242246973 42.697160063514104),0.0,2020.0
32485,Orlov Most,POINT(23.336126631024513 42.69050971057595),0.0,2020.0
32458,Serdika,POINT(23.321326314404672 42.697861142549044),0.0,2000.0
32457,Opalchenska,POINT(23.31012227736653 42.69996438690208),0.0,1999.0
32456,Konstantin Velichkov,POINT(23.297742144223434 42.70201068880172),0.0,1998.0
32455,Vardar,POINT(23.28458685836341 42.706019009282045),0.0,1998.0
32454,Zapaden Park,POINT(23.270406527267056 42.7112504478319),0.0,1998.0
32451,Druzhba,POINT(23.394456526962443 42.65849529486255),0.0,2015.0
32450,Iskarsko shose,POINT(23.40224503053497 42.66865480096607),0.0,2015.0
32465,Aleksandar Malinov,POINT(23.37635952753891 42.64782048039177),0.0,2015.0
32466,Akad. Aleksandar Teodorov-Balan,POINT(23.37302089378983 42.6410887948484),0.0,2015.0
32467,Business Park,POINT(23.37312879207218 42.62979517964362),0.0,2015.0
32469,Lomsko shose,POINT(23.286944676794036 42.740747301014466),0.0,2012.0
32470,Beli Dunav,POINT(23.292603332013698 42.735644015581215),0.0,2012.0
32471,Nadezhda,POINT(23.300949255073277 42.72797657434893),0.0,2012.0
32472,Han Kubrat,POINT(23.306308635908408 42.72301496420235),0.0,2012.0
32473,Knyaginya Maria Luiza,POINT(23.31430319836818 42.71373555657405),0.0,2012.0
32474,Central Railway Station,POINT(23.31999041050446 42.7111674746194),0.0,2012.0
32464,Mladost I,POINT(23.37278526645297 42.65338602129111),0.0,2009.0
32463,Musagenitsa,POINT(23.364400849853894 42.658555824270906),0.0,2009.0
32462,G.M. Dimitrov,POINT(23.35740799251667 42.66323887429277),0.0,2009.0
32468,Obelya,POINT(23.276062686946517 42.740700018169434),0.0,2003.0
32475,Lavov Most,POINT(23.32372679112663 42.70561541695949),0.0,2012.0
32476,Serdika II,POINT(23.32205063493072 42.698725486175135),0.0,2012.0
32478,European Union,POINT(23.32175222472165 42.67862512073549),0.0,2012.0
32479,James Bourchier,POINT(23.320754594537192 42.67110930115979),0.0,2012.0
32480,Vitosha,POINT(23.31642055394994 42.65899718334765),0.0,2016.0
32449,Sofiyska Sveta Gora,POINT(23.410189319837656 42.6764719070147),0.0,2015.0
32482,Inter Expo Center – Tsarigradsko shose,POINT(23.394321904618774 42.64907698774009),0.0,2012.0
32481,Mladost III,POINT(23.383522440034557 42.64669332926633),0.0,2012.0
32477,National Palace of Culture,POINT(23.31905 42.688971656198895),0.0,2012.0
32461,F. Joliot-Curie,POINT(23.35081082022097 42.671640852422314),0.0,2009.0
32460,Vasil Levski Stadium,POINT(23.332067453349254 42.686221100604854),0.0,2009.0
32486,St. Patriarh Evtimiy,POINT(23.32719129752428 42.68829312032392),0.0,2020.0
32487,Meditsinski Universitet,POINT(23.3092381177635 42.68642374488638),0.0,2020.0
32488,Bul. Bulgaria,POINT(23.301780804464187 42.67934413907716),0.0,2020.0
32489,Krasno Selo,POINT(23.284671884250628 42.67878494099648),0.0,2020.0
32490,Ovcha Kupel ,POINT(23.27020370242809 42.68304662768904),0.0,2021.0
32491,Miziya / NBU,POINT(23.256844615607775 42.683862515036964),0.0,2021.0
32492,Ovcha Kupel II,POINT(23.247509326224048 42.68482001180888),0.0,2021.0
32493,Gorna Banya,POINT(23.241533392591833 42.68291724598245),0.0,2021.0
