id_station,name,geometry,mode,opening
22002,NTU Hospital,POINT(121.51617665816667 25.041616603159127),0.0,1998.0
22003,Chiang Kai-shek Memorial Hall,POINT(121.51768941039916 25.033654164319245),0.0,1998.0
22122,Zhongxiao Xinsheng,POINT(121.53284485887616 25.041657016225358),0.0,2010.0
22124,Xingtian Temple,POINT(121.53317924169829 25.05941401672213),0.0,2010.0
22125,Zhongshan Elementary School,POINT(121.52656896802068 25.062672261821433),0.0,2010.0
22126,Minquan West Road,POINT(121.5200574000242 25.06286816981367),0.0,2010.0
22121,Dongmen,POINT(121.5286483264835 25.03395324799297),0.0,2012.0
22123,Songjiang Nanjing,POINT(121.53303676649057 25.05195541509627),0.0,2010.0
22638,Airport Terminal 1,POINT(121.23836408453803 25.080486709509927),0.0,2017.0
22218,Tamsui District Office,POINT(121.4444432615079 25.18897858016856),0.0,2019.0
22219,Binhai Yishan,POINT(121.43735121339157 25.18973616134249),0.0,2019.0
22220,Binhai Shalun,POINT(121.43154629034817 25.190477021631338),0.0,2019.0
21802,Taipei Zoo,POINT(121.57943748216326 24.99830550929626),0.0,1996.0
21803,Muzha,POINT(121.57317470143693 24.99825129390325),0.0,1996.0
22212,Hongshulin,POINT(121.458918096062 25.155482107295867),0.0,2019.0
21873,Dazhi,POINT(121.54684197794705 25.079457171072292),0.0,2009.0
21874,Jiannan Road,POINT(121.55568038697533 25.084858518057715),0.0,2009.0
21875,Xihu,POINT(121.56740773517663 25.082182615997027),0.0,2009.0
21876,Gangqian,POINT(121.57528243449786 25.08008311358205),0.0,2009.0
21877,Wende,POINT(121.58500172561372 25.078553763979073),0.0,2009.0
21878,Neihu,POINT(121.59399696795487 25.08332656285657),0.0,2009.0
22369,Taipei University of Marine Technology,POINT(121.42634520902507 25.191158848962115),0.0,2021.0
22370,Shalun,POINT(121.4171956615545 25.187457843721532),0.0,2021.0
22371,Tamsui Fisherman's Wharf,POINT(121.4186700266117 25.18205218990919),0.0,2021.0
22372,Shuangcheng,POINT(121.48700272845173 24.942869705958934),0.0,2023.0
22373,Rose China Town,POINT(121.49387028363186 24.950765276431923),0.0,2023.0
22374,Taipei Xiaocheng,POINT(121.49935738807558 24.953684754854645),0.0,2023.0
22376,Jinwen University of Science and Technology,POINT(121.51042554247694 24.955526231017018),0.0,2023.0
22377,Ankang,POINT(121.51740473750988 24.965655022887535),0.0,2023.0
22378,Sunrise Sports Park,POINT(121.5194731565922 24.972212996057713),0.0,2023.0
22379,Xinhe Elementary School,POINT(121.52004469431166 24.984144864322207),0.0,2023.0
22375,Cardinal Tien Hospital Ankang Branch,POINT(121.50421482501001 24.954425537987994),0.0,2023.0
22213,Ganzhenlin,POINT(121.45622223269658 25.162201294210405),0.0,2019.0
22214,Danjin Denggong,POINT(121.46084276291998 25.169134510900307),0.0,2019.0
22215,Tamkang University,POINT(121.45592065699697 25.177170965454692),0.0,2019.0
22216,Danjin Beixin,POINT(121.45233720023009 25.18108539777984),0.0,2019.0
22217,Xinshi 1st Road,POINT(121.44833342086139 25.183711852664345),0.0,2019.0
22382,Mazutian,POINT(121.41268939933889 24.95423555507419),0.0,2024.0
22381,Dingpu,POINT(121.41852571709319 24.959120200723945),0.0,2024.0
32737,Zhongli,POINT(121.22610789484509 24.952821293848245),0.0,2028.0
22716,Laojie River,POINT(121.21941180516235 24.95857593973087),0.0,2022.0
21804,Wanfang Community,POINT(121.56811081387451 24.998609668511264),0.0,1996.0
