id_station,name,geometry,mode,opening
37473,Hervantajärvi A,POINT(23.8694368 61.4382811),,
37475,Etelä-Hervanta B,POINT(23.8585373 61.4425726),,
37474,Hervantajärvi,POINT(23.8703809 61.4383409),0.0,2021.0
37479,Hervantakeskus A,POINT(23.8497318 61.4504758),,
37482,Opiskelija A,POINT(23.8468858 61.4544469),,
37476,Etelä-Hervanta,POINT(23.858139544244 61.44293994702207),0.0,2021.0
37484,Pohjois-Hervanta A,POINT(23.8453474 61.4574989),,
37485,Hallila,POINT(23.8399109 61.4668775),0.0,2021.0
37489,Hakametsä A,POINT(23.8179819 61.4930142),,
37490,Kalevanrinne A,POINT(23.8117874 61.4946588),,
37491,Kaleva A,POINT(23.7955906 61.4976655),,
37492,Hakametsä,POINT(23.8175279 61.4926059),0.0,2021.0
37493,Kalevanrinne,POINT(23.8125561 61.494463),0.0,2021.0
37501,Sammonaukio A,POINT(23.7857169 61.4990454),,
37500,Kalevan kirkko,POINT(23.7931477 61.5001989),0.0,2021.0
37502,Tulli A,POINT(23.7783489 61.4988991),,
37504,Hippos A,POINT(23.800249 61.5015873),,
37503,Tulli,POINT(23.7792501 61.498879),0.0,2021.0
37506,Kaupin kampus A,POINT(23.820792 61.5045791),,
37507,TAYS A,POINT(23.8118025 61.5040907),,
37509,Rautatieasema A,POINT(23.7703385 61.4984409),,
37510,Rautatieasema,POINT(23.7712168 61.4984684),0.0,2021.0
37511,Koskipuisto A,POINT(23.7660792 61.4981336),,
37515,Sorin aukio B,POINT(23.7697473 61.4946596),,
37516,Sorin aukio,POINT(23.7694633 61.4951437),0.0,2021.0
37518,Tuulensuu A,POINT(23.7537034 61.4972337),,
37517,Tuulensuu,POINT(23.7545281 61.497257),0.0,2021.0
37519,Pyynikintori,POINT(23.7423906 61.4978665),0.0,2021.0
37520,Pyynikintori A,POINT(23.7415929 61.4979542),,
37521,Särkänniemi A,POINT(23.7372319 61.5009515),,
37522,Särkänniemi,POINT(23.7373252 61.5004587),0.0,2023.0
37525,Santalahti A,POINT(23.7154914 61.5056894),,
37523,Tikkutehdas,POINT(23.7221861 61.5037108),0.0,2023.0
37524,Santalahti,POINT(23.7154569 61.5056653),0.0,2023.0
37526,Tikkutehdas A,POINT(23.7222155 61.503736),,
37480,Hervantakeskus,POINT(23.8498402 61.4501597),0.0,2021.0
37478,Hervannan kampus,POINT(23.853211067561876 61.44705454049091),0.0,2021.0
37481,Opiskelija,POINT(23.8467883 61.4539977),0.0,2021.0
37483,Pohjois-Hervanta,POINT(23.8454797 61.4570807),0.0,2021.0
37496,Kaleva,POINT(23.7963972 61.4975053),0.0,2021.0
37498,Hippos,POINT(23.8010403 61.50171),0.0,2021.0
41727,Hiedanranta,POINT(23.686384362689097 61.511942792449446),0.0,2025.0
41728,Tehdas,POINT(23.68194527913755 61.51720974334165),0.0,2025.0
41729,Niemen kartano,POINT(23.684166573732767 61.52076662844391),0.0,2025.0
41730,Niemenranta,POINT(23.695445720633728 61.522566661344655),0.0,2025.0
41731,Lentävänniemi,POINT(23.701989152067398 61.52675849186292),0.0,2025.0
41732,Pyhällönpuisto,POINT(23.704252168298808 61.52914210397316),0.0,2025.0
