id_station,name,geometry,mode,opening
39055,Cambrils Nord,POINT(1.046573232163439 41.07969732786577),0.0,
39054,Les Comes,POINT(1.045921672056721 41.07325565110921),0.0,
39056,Estació de Cambrils,POINT(1.052963584971479 41.0692337898879),0.0,
39057,Cambrils Centre,POINT(1.057205465824893 41.06944215074935),0.0,
39058,Torre de Cambrils,POINT(1.071682708453153 41.07012330988974),0.0,
39059,Vilafortuny,POINT(1.100151239322827 41.07173500900299),0.0,
39060,Plaça de Venus,POINT(1.11859991165025 41.07525825491351),0.0,
39061,Salou,POINT(1.129289763261795 41.07729344698518),0.0,
39062,Nou Salou,POINT(1.139709745435766 41.080553048902686),0.0,
39063,Salou Port Aventura,POINT(1.146365277928766 41.08855484938604),0.0,
39065,Vila-seca Universitat,POINT(1.151313310466918 41.1025008395641),0.0,
39066,Plaça Països Catalans,POINT(1.149367101838294 41.1078488843294),0.0,
39067,Vila-seca Rodalies,POINT(1.150852084293717 41.11273882854351),0.0,
39064,Mossos,POINT(1.152030211178455 41.09407837039559),0.0,
