id_station,name,geometry,mode,opening
20890,Sipelem,POINT(109.12078797282999 -6.868645249682288),0.0,0.0
20892,Gili Tugel,POINT(109.13643863714049 -6.8701762778784),0.0,0.0
20893,Masjid Agung,POINT(109.13650312525596 -6.867349360897947),0.0,0.0
20894,Pasar Pagi,POINT(109.13697964732035 -6.86355959591944),0.0,0.0
20895,Klenteng,POINT(109.13771364167661 -6.859324045691963),0.0,0.0
20897,PAI,POINT(109.14286760774513 -6.8507852068049),0.0,0.0
20909,Purwahamba,POINT(109.25913558074052 -6.873607383185657),0.0,0.0
20910,Larangan,POINT(109.18826547325756 -6.86540659995886),0.0,0.0
20911,Takaru,POINT(109.17327238502219 -6.859755557963894),0.0,0.0
20912,Dampyak,POINT(109.1566133976371 -6.860480218812142),0.0,0.0
20913,Pala Raya,POINT(109.1551153423697 -6.866547444910182),0.0,0.0
20914,Pasar Mejasem,POINT(109.15113704499197 -6.885835465255255),0.0,0.0
20915,Pasar Langon,POINT(109.14315557771687 -6.886124820895958),0.0,0.0
20916,Kejambon,POINT(109.13620218547288 -6.885440618572957),0.0,0.0
20917,Srigunting,POINT(109.13621378503882 -6.878132381304965),0.0,0.0
20918,Mangunkusuman,POINT(109.1363257639735 -6.873852188999024),0.0,0.0
20919,Gili Tugel,POINT(109.13641505806874 -6.870350851891715),0.0,0.0
20920,Dr Soetomo,POINT(109.13343465331843 -6.867196901711239),0.0,0.0
20921,Gajah Mada,POINT(109.13404256189324 -6.863393496538308),0.0,0.0
20922,Pasar Sore,POINT(109.13474826894668 -6.859521480436726),0.0,0.0
20923,Klenteng,POINT(109.13763631844546 -6.859910050027139),0.0,0.0
20925,Pasar Beras,POINT(109.14367904947193 -6.855551528061127),0.0,0.0
20926,Martoloyo,POINT(109.14984638150617 -6.852429472501257),0.0,0.0
20927,Kejambon,POINT(109.13586082043906 -6.885414267886844),0.0,0.0
20928,Randu Gunting,POINT(109.13073261042513 -6.884336562079383),0.0,0.0
20929,Tirus,POINT(109.12631620394541 -6.883026882566028),0.0,0.0
20930,Sudibyo,POINT(109.12742045324057 -6.875204130001265),0.0,0.0
20932,Asem Tiga,POINT(109.13009685420985 -6.863433015073525),0.0,0.0
20933,Hang Tuah,POINT(109.13159065160454 -6.858503069270867),0.0,0.0
20891,Terminal Lawas,POINT(109.12881860178368 -6.869294594234844),0.0,0.0
20931,Terminal Lawas,POINT(109.12839368982037 -6.868514738592594),0.0,0.0
20896,Balkotwas,POINT(109.13820334087659 -6.856504512972228),0.0,0.0
20924,Setiabudhi,POINT(109.14104931506701 -6.859522262729096),0.0,0.0
20934,Jongor,POINT(109.12554889532379 -6.853246430186871),0.0,0.0
20935,Cinde,POINT(109.12054026399932 -6.857398877552598),0.0,0.0
20936,Kaligangsa,POINT(109.07677349217238 -6.878071292759799),0.0,0.0
20937,Terminal Anyar,POINT(109.1099155094011 -6.873734445766431),0.0,0.0
20938,Sipelem,POINT(109.12076798048031 -6.86846015039103),0.0,0.0
20939,Sipelem,POINT(109.12082756249595 -6.868806886909852),0.0,0.0
20940,Sudibyo,POINT(109.12731904157903 -6.875183269172297),0.0,0.0
20941,Srigunting,POINT(109.13634726938369 -6.878184558415157),0.0,0.0
20942,Wisanggeni,POINT(109.14169193887551 -6.87862755825428),0.0,0.0
20943,Yos Sudarso,POINT(109.14244449282995 -6.873519552504874),,0.0
20944,Stasiun,POINT(109.14255023144511 -6.869783002951578),0.0,0.0
20945,Jati Segara Wening,POINT(109.15026006997431 -6.869904986610621),0.0,0.0
20946,Pala Raya,POINT(109.15492302613404 -6.866559963416279),0.0,0.0
20947,Jongor,POINT(109.12561706464703 -6.853203429297992),0.0,0.0
20948,Balkotwas,POINT(109.13787567941694 -6.856864904542448),0.0,0.0
20949,Setiabudhi,POINT(109.14138257966329 -6.859352354884891),0.0,0.0
20950,Taman Poci,POINT(109.14224045894639 -6.863149127445851),0.0,0.0
20951,Pasar Langon,POINT(109.14307127867136 -6.886001960044524),0.0,0.0
20952,Wisanggeni,POINT(109.14180696128562 -6.878879986185225),0.0,0.0
20953,Yos Sudarso,POINT(109.14259836809623 -6.873216567596998),0.0,0.0
20954,Stasiun,POINT(109.14257928634674 -6.869276093767866),0.0,0.0
33517,Kaligangsa,POINT(109.0768483037113 -6.878125705896167),0.0,0.0
33518,Cabawan,POINT(109.0888562821932 -6.881616002270931),0.0,0.0
33519,Sumur Panggang,POINT(109.10451554847964 -6.881563832956573),0.0,0.0
33521,Terminal Anyar,POINT(109.11002687126171 -6.874049515701444),0.0,0.0
33523,Muarareja,POINT(109.11002687244303 -6.847686436732403),0.0,0.0
33524,Jongor,POINT(109.12533668773318 -6.853066102209411),0.0,0.0
33522,Pesurungan,POINT(109.10845191702042 -6.862955182278368),0.0,0.0
33529,Sumur Panggang,POINT(109.10461607804211 -6.88157706428909),0.0,0.0
33535,Debong,POINT(109.11657736280887 -6.881427951109828),0.0,0.0
33536,Martoloyo,POINT(109.14988680438205 -6.852199708790025),0.0,0.0
33537,Dampyak,POINT(109.15661210754388 -6.86034153368216),0.0,0.0
