id_station,name,geometry,mode,opening
36094,Kouhsar,POINT(51.27986883022311 35.7698103535066),0.0,2023.0
36097,Shahr-e Ziba,POINT(51.295821156714624 35.74615030002303),0.0,2023.0
36096,Shahran,POINT(51.287664922007764 35.753557010842755),0.0,2023.0
42915,Chaharrah-e Haft-e Tir,POINT(50.98660257277936 35.81259953625661),0.0,
34049,Roudaki,POINT(51.37944171207303 35.68762173001292),0.0,2017.0
34051,Modafean-e Salamat,POINT(51.37769240193987 35.70650973170052),0.0,2017.0
34052,Goftogo Park,POINT(51.382786710733455 35.73301272515816),0.0,2017.0
34053,Milad Tower,POINT(51.37827122748965 35.747645603822846),0.0,2017.0
34050,Daneshgah-e Tarbiat,POINT(51.38093178559927 35.724246308163984),0.0,2017.0
34054,Meydan-e San'at,POINT(51.3676615081507 35.75464001818605),0.0,2017.0
34042,Chehel Tan-e Doolab,POINT(51.462384115659034 35.668242694438106),0.0,2017.0
34043,Shohada-ye Hefdah-e Shahrivar,POINT(51.44572071876604 35.668499698579126),0.0,2017.0
34079,Dowlat Abad,POINT(51.464505040269614 35.61759694281713),0.0,2019.0
34080,Kian Shahr,POINT(51.44852151560198 35.63275708705552),0.0,2019.0
34081,Besat,POINT(51.44451312141726 35.64474980025582),0.0,2019.0
34082,Shahid Rezaei,POINT(51.44454894498375 35.652238614315166),0.0,2019.0
34083,Amir Kabir,POINT(51.446757351860924 35.682655655231116),0.0,2019.0
34084,Shahrak-e-Azmayesh,POINT(51.369517713618734 35.72923745738801),0.0,2019.0
34085,Marzdaran,POINT(51.35938081508854 35.73439486966086),0.0,2019.0
34086,Yadegar-e Emam,POINT(51.34613308748567 35.734768156407156),0.0,2019.0
34087,Shahid Ashrafi Esfahani,POINT(51.331806378335926 35.73616267998),0.0,2019.0
34088,Shahid Sattari,POINT(51.32131198491717 35.73722125067533),0.0,2019.0
34090,Bahar-e Shirazi,POINT(51.43930579426282 35.715463632924056),0.0,2024.0
35402,Chehel-o-panj Metri Golshahr,POINT(50.94312983320074 35.83675195432643),0.0,2023.0
35403,Mianjadde,POINT(50.95147200957504 35.83415263838279),0.0,
35401,Ayatallah Taleqani,POINT(50.98695025136206 35.821929968635644),0.0,2023.0
35415,Shahid Dadman,POINT(51.36687046555727 35.76649698106924),0.0,2023.0
34093,Karegar,POINT(51.38944869025323 35.71489038152744),0.0,2023.0
34092,Laheh Park,POINT(51.39708475771414 35.70894225144632),0.0,2023.0
34026,Meydan-e Vali Asr,POINT(51.40704918322729 35.71209791742379),0.0,2012.0
35585,Allameh Ja'fari,POINT(51.305074964195256 35.7308737433039),0.0,2023.0
37470,Ma'moot,POINT(50.79138013964774 35.91772249953492),0.0,2023.0
35978,Ketab Square,POINT(51.355840929040625 35.77724278689034),0.0,2023.0
35979,Ayatollah Kashani,POINT(51.30513789913232 35.73904669928223),0.0,2024.0
35981,Cheshme Ali,POINT(51.451484890358046 35.60947833808393),0.0,
35980,Ibn Babouyeh,POINT(51.43888399003558 35.597052614879715),0.0,
36007,Chahardangeh,POINT(51.30465100421955 35.605511718612775),0.0,
34089,Sarbaz,POINT(51.443197990554836 35.70998093717033),0.0,
36095,Shohada-ye Kan,POINT(51.284116098850006 35.762846397507545),0.0,2024.0
38658,Ansar Mahdi,POINT(51.3258645977009 35.77034410434176),0.0,
42882,Shahid Soltani,POINT(51.00524809748481 35.78719666292034),0.0,2025.0
